dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1
SEIR01_sl1000_mr025_nv5_1,0.732,0.732,0.732,0.818,0.659,0.73
SEIR01_sl1000_mr025_nv5_10,0.676,0.697,0.687,0.885,0.697,0.78
SEIR01_sl1000_mr025_nv5_11,0.714,0.789,0.75,0.765,0.684,0.722
SEIR01_sl1000_mr025_nv5_12,0.789,0.789,0.789,0.824,0.737,0.778
SEIR01_sl1000_mr025_nv5_13,0.833,0.833,0.833,0.917,0.917,0.917
SEIR01_sl1000_mr025_nv5_14,0.818,0.9,0.857,0.905,0.95,0.927
SEIR01_sl1000_mr025_nv5_15,0.679,0.704,0.691,0.692,0.667,0.679
SEIR01_sl1000_mr025_nv5_16,0.944,0.944,0.944,0.944,0.944,0.944
SEIR01_sl1000_mr025_nv5_17,0.909,0.909,0.909,0.909,0.909,0.909
SEIR01_sl1000_mr025_nv5_18,0.708,0.723,0.716,0.8,0.681,0.736
SEIR01_sl1000_mr025_nv5_19,0.931,0.931,0.931,0.948,0.948,0.948
SEIR01_sl1000_mr025_nv5_2,0.588,0.625,0.606,0.75,0.562,0.643
SEIR01_sl1000_mr025_nv5_20,0.708,0.708,0.708,0.652,0.625,0.638
SEIR01_sl1000_mr025_nv5_3,0.727,0.8,0.762,0.727,0.8,0.762
SEIR01_sl1000_mr025_nv5_4,0.74,0.74,0.74,0.902,0.74,0.813
SEIR01_sl1000_mr025_nv5_5,0.574,0.608,0.59,0.771,0.529,0.628
SEIR01_sl1000_mr025_nv5_6,0.75,0.75,0.75,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv5_7,0.9,0.9,0.9,0.9,0.9,0.9
SEIR01_sl1000_mr025_nv5_8,0.833,0.87,0.851,0.875,0.913,0.894
SEIR01_sl1000_mr025_nv5_9,0.778,0.778,0.778,0.778,0.778,0.778
SEIR01_sl1000_mr05_nv10_1,0.846,0.846,0.846,0.909,0.769,0.833
SEIR01_sl1000_mr05_nv10_10,0.857,0.857,0.857,0.857,0.857,0.857
SEIR01_sl1000_mr05_nv10_11,0.686,0.75,0.716,0.8,0.75,0.774
SEIR01_sl1000_mr05_nv10_12,0.898,0.914,0.906,0.891,0.845,0.867
SEIR01_sl1000_mr05_nv10_13,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_14,0.725,0.744,0.734,0.867,0.667,0.754
SEIR01_sl1000_mr05_nv10_15,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_16,0.955,0.955,0.955,0.955,0.955,0.955
SEIR01_sl1000_mr05_nv10_17,0.913,0.955,0.933,0.952,0.909,0.93
SEIR01_sl1000_mr05_nv10_18,0.793,0.821,0.807,0.87,0.839,0.855
SEIR01_sl1000_mr05_nv10_19,0.5,0.571,0.533,0.4,0.286,0.333
SEIR01_sl1000_mr05_nv10_2,0.889,1,0.941,0.889,1,0.941
SEIR01_sl1000_mr05_nv10_20,0.87,0.904,0.887,0.918,0.865,0.891
SEIR01_sl1000_mr05_nv10_3,0.84,0.84,0.84,0.913,0.84,0.875
SEIR01_sl1000_mr05_nv10_4,0.75,0.818,0.783,0.8,0.727,0.762
SEIR01_sl1000_mr05_nv10_5,0.889,0.889,0.889,0.889,0.889,0.889
SEIR01_sl1000_mr05_nv10_6,0.85,0.85,0.85,0.865,0.8,0.831
SEIR01_sl1000_mr05_nv10_7,0.83,0.848,0.839,0.844,0.826,0.835
