dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1
SEIR01_sl1000_mr025_nv20_18,0.885,0.885,0.885,0.885,0.885,0.885
SEIR01_sl1000_mr025_nv20_19,0.943,0.943,0.943,0.943,0.943,0.943
SEIR01_sl1000_mr025_nv20_2,0.907,0.929,0.918,0.907,0.929,0.918
SEIR01_sl1000_mr025_nv20_20,0.812,0.839,0.825,0.867,0.839,0.852
SEIR01_sl1000_mr025_nv20_3,0.864,0.905,0.884,0.864,0.905,0.884
SEIR01_sl1000_mr025_nv20_4,0.75,0.75,0.75,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv20_5,0.8,0.848,0.824,0.824,0.848,0.836
SEIR01_sl1000_mr025_nv20_6,0.917,1,0.957,0.917,1,0.957
SEIR01_sl1000_mr025_nv20_7,0.882,0.882,0.882,0.882,0.882,0.882
SEIR01_sl1000_mr025_nv20_8,0.6,0.6,0.6,0.6,0.6,0.6
SEIR01_sl1000_mr025_nv20_9,0.917,0.917,0.917,0.923,1,0.96
SEIR01_sl1000_mr025_nv5_1,0.732,0.732,0.732,0.8,0.683,0.737
SEIR01_sl1000_mr025_nv5_10,0.676,0.697,0.687,0.821,0.697,0.754
SEIR01_sl1000_mr025_nv5_11,0.714,0.789,0.75,0.706,0.632,0.667
SEIR01_sl1000_mr025_nv5_12,0.789,0.789,0.789,0.833,0.789,0.811
SEIR01_sl1000_mr025_nv5_13,0.833,0.833,0.833,0.833,0.833,0.833
SEIR01_sl1000_mr025_nv5_14,0.818,0.9,0.857,0.818,0.9,0.857
SEIR01_sl1000_mr025_nv5_15,0.679,0.704,0.691,0.704,0.704,0.704
SEIR01_sl1000_mr025_nv5_16,0.944,0.944,0.944,0.944,0.944,0.944
SEIR01_sl1000_mr025_nv5_17,0.909,0.909,0.909,0.909,0.909,0.909
SEIR01_sl1000_mr025_nv5_18,0.708,0.723,0.716,0.744,0.681,0.711
SEIR01_sl1000_mr025_nv5_19,0.931,0.931,0.931,0.931,0.931,0.931
SEIR01_sl1000_mr025_nv5_2,0.588,0.625,0.606,0.75,0.562,0.643
SEIR01_sl1000_mr025_nv5_20,0.708,0.708,0.708,0.652,0.625,0.638
SEIR01_sl1000_mr025_nv5_3,0.727,0.8,0.762,0.818,0.9,0.857
SEIR01_sl1000_mr025_nv5_4,0.74,0.74,0.74,0.881,0.74,0.804
SEIR01_sl1000_mr025_nv5_5,0.574,0.608,0.59,0.667,0.51,0.578
SEIR01_sl1000_mr025_nv5_6,0.75,0.75,0.75,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv5_7,0.9,0.9,0.9,0.9,0.9,0.9
SEIR01_sl1000_mr025_nv5_8,0.833,0.87,0.851,0.87,0.87,0.87
SEIR01_sl1000_mr025_nv5_9,0.778,0.778,0.778,0.778,0.778,0.778
SEIR01_sl1000_mr05_nv10_1,0.846,0.846,0.846,0.917,0.846,0.88
SEIR01_sl1000_mr05_nv10_10,0.857,0.857,0.857,0.857,0.857,0.857
SEIR01_sl1000_mr05_nv10_11,0.686,0.75,0.716,0.774,0.75,0.762
SEIR01_sl1000_mr05_nv10_12,0.898,0.914,0.906,0.895,0.879,0.887
SEIR01_sl1000_mr05_nv10_13,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_14,0.725,0.744,0.734,0.871,0.692,0.771
SEIR01_sl1000_mr05_nv10_15,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_16,0.955,0.955,0.955,0.955,0.955,0.955
SEIR01_sl1000_mr05_nv10_17,0.913,0.955,0.933,0.952,0.909,0.93
SEIR01_sl1000_mr05_nv10_18,0.793,0.821,0.807,0.852,0.821,0.836
SEIR01_sl1000_mr05_nv10_19,0.5,0.571,0.533,0.5,0.429,0.462
SEIR01_sl1000_mr05_nv10_2,0.889,1,0.941,0.889,1,0.941
SEIR01_sl1000_mr05_nv10_20,0.87,0.904,0.887,0.918,0.865,0.891
SEIR01_sl1000_mr05_nv10_3,0.84,0.84,0.84,0.875,0.84,0.857
SEIR01_sl1000_mr05_nv10_4,0.75,0.818,0.783,0.727,0.727,0.727
SEIR01_sl1000_mr05_nv10_5,0.889,0.889,0.889,0.889,0.889,0.889
SEIR01_sl1000_mr05_nv10_6,0.85,0.85,0.85,0.895,0.85,0.872
SEIR01_sl1000_mr05_nv10_7,0.83,0.848,0.839,0.884,0.826,0.854
SEIR01_sl1000_mr05_nv10_8,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_9,0.923,0.923,0.923,0.92,0.885,0.902
SEIR01_sl250_mr025_nv10_1,0.564,0.689,0.62,0.604,0.644,0.624
SEIR01_sl250_mr025_nv10_10,0.722,0.765,0.743,0.765,0.765,0.765
SEIR01_sl250_mr025_nv10_11,0.65,0.812,0.722,0.7,0.875,0.778
SEIR01_sl250_mr025_nv10_12,0.771,0.86,0.813,0.787,0.86,0.822
