dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1
SEIR01_sl1000_mr025_nv20_14,0.786,0.846,0.815,0.786,0.846,0.815
SEIR01_sl1000_mr025_nv20_15,0.917,0.957,0.936,0.957,0.957,0.957
SEIR01_sl1000_mr025_nv20_16,0.545,0.857,0.667,0.545,0.857,0.667
SEIR01_sl1000_mr025_nv20_17,0.88,0.88,0.88,0.88,0.88,0.88
SEIR01_sl1000_mr025_nv20_18,0.885,0.885,0.885,0.885,0.885,0.885
SEIR01_sl1000_mr025_nv20_19,0.926,0.943,0.935,0.943,0.943,0.943
SEIR01_sl1000_mr025_nv20_2,0.907,0.929,0.918,0.907,0.929,0.918
SEIR01_sl1000_mr025_nv20_20,0.889,0.774,0.828,0.889,0.774,0.828
SEIR01_sl1000_mr025_nv20_3,0.826,0.905,0.864,0.864,0.905,0.884
SEIR01_sl1000_mr025_nv20_4,0.75,0.75,0.75,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv20_5,0.875,0.848,0.862,0.875,0.848,0.862
SEIR01_sl1000_mr025_nv20_6,0.917,1,0.957,0.917,1,0.957
SEIR01_sl1000_mr025_nv20_7,0.882,0.882,0.882,0.882,0.882,0.882
SEIR01_sl1000_mr025_nv20_8,0.6,0.6,0.6,0.6,0.6,0.6
SEIR01_sl1000_mr025_nv20_9,0.923,1,0.96,1,1,1
SEIR01_sl1000_mr025_nv5_1,0.824,0.683,0.747,0.818,0.659,0.73
SEIR01_sl1000_mr025_nv5_10,0.92,0.697,0.793,0.885,0.697,0.78
SEIR01_sl1000_mr025_nv5_11,0.765,0.684,0.722,0.765,0.684,0.722
SEIR01_sl1000_mr025_nv5_12,0.824,0.737,0.778,0.824,0.737,0.778
SEIR01_sl1000_mr025_nv5_13,0.917,0.917,0.917,0.917,0.917,0.917
SEIR01_sl1000_mr025_nv5_14,0.864,0.95,0.905,0.905,0.95,0.927
SEIR01_sl1000_mr025_nv5_15,0.731,0.704,0.717,0.692,0.667,0.679
SEIR01_sl1000_mr025_nv5_16,0.944,0.944,0.944,0.944,0.944,0.944
SEIR01_sl1000_mr025_nv5_17,0.909,0.909,0.909,0.909,0.909,0.909
SEIR01_sl1000_mr025_nv5_18,0.821,0.681,0.744,0.8,0.681,0.736
SEIR01_sl1000_mr025_nv5_19,0.948,0.948,0.948,0.948,0.948,0.948
SEIR01_sl1000_mr025_nv5_2,0.75,0.562,0.643,0.75,0.562,0.643
SEIR01_sl1000_mr025_nv5_20,0.652,0.625,0.638,0.652,0.625,0.638
SEIR01_sl1000_mr025_nv5_3,0.75,0.9,0.818,0.727,0.8,0.762
SEIR01_sl1000_mr025_nv5_4,0.881,0.74,0.804,0.902,0.74,0.813
SEIR01_sl1000_mr025_nv5_5,0.818,0.529,0.643,0.771,0.529,0.628
SEIR01_sl1000_mr025_nv5_6,0.75,0.75,0.75,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv5_7,0.9,0.9,0.9,0.9,0.9,0.9
SEIR01_sl1000_mr025_nv5_8,0.87,0.87,0.87,0.875,0.913,0.894
SEIR01_sl1000_mr025_nv5_9,0.778,0.778,0.778,0.778,0.778,0.778
SEIR01_sl1000_mr05_nv10_1,0.909,0.769,0.833,0.909,0.769,0.833
SEIR01_sl1000_mr05_nv10_10,0.857,0.857,0.857,0.857,0.857,0.857
SEIR01_sl1000_mr05_nv10_11,0.806,0.781,0.794,0.8,0.75,0.774
SEIR01_sl1000_mr05_nv10_12,0.891,0.845,0.867,0.891,0.845,0.867
SEIR01_sl1000_mr05_nv10_13,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_14,0.839,0.667,0.743,0.867,0.667,0.754
SEIR01_sl1000_mr05_nv10_15,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_16,0.955,0.955,0.955,0.955,0.955,0.955
SEIR01_sl1000_mr05_nv10_17,0.952,0.909,0.93,0.952,0.909,0.93
SEIR01_sl1000_mr05_nv10_18,0.87,0.839,0.855,0.87,0.839,0.855
SEIR01_sl1000_mr05_nv10_19,0.625,0.714,0.667,0.4,0.286,0.333
SEIR01_sl1000_mr05_nv10_2,0.889,1,0.941,0.889,1,0.941
SEIR01_sl1000_mr05_nv10_20,0.918,0.865,0.891,0.918,0.865,0.891
SEIR01_sl1000_mr05_nv10_3,0.875,0.84,0.857,0.913,0.84,0.875
SEIR01_sl1000_mr05_nv10_4,0.727,0.727,0.727,0.8,0.727,0.762
SEIR01_sl1000_mr05_nv10_5,0.889,0.889,0.889,0.889,0.889,0.889
SEIR01_sl1000_mr05_nv10_6,0.865,0.8,0.831,0.865,0.8,0.831
SEIR01_sl1000_mr05_nv10_7,0.905,0.826,0.864,0.844,0.826,0.835
SEIR01_sl1000_mr05_nv10_8,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_9,0.92,0.885,0.902,0.958,0.885,0.92
SEIR01_sl250_mr025_nv10_1,0.592,0.644,0.617,0.604,0.644,0.624
SEIR01_sl250_mr025_nv10_10,0.75,0.706,0.727,0.722,0.765,0.743
SEIR01_sl250_mr025_nv10_11,0.7,0.875,0.778,0.684,0.812,0.743
SEIR01_sl250_mr025_nv10_12,0.818,0.837,0.828,0.8,0.837,0.818
SEIR01_sl250_mr025_nv10_13,0.5,0.667,0.571,0.571,0.667,0.615
SEIR01_sl250_mr025_nv10_14,0.61,0.543,0.575,0.625,0.543,0.581
SEIR01_sl250_mr025_nv10_15,0.583,1,0.737,0.6,0.857,0.706
SEIR01_sl250_mr025_nv10_16,0.458,0.587,0.514,0.475,0.63,0.542
SEIR01_sl250_mr025_nv10_17,0.273,0.375,0.316,0.417,0.625,0.5
SEIR01_sl250_mr025_nv10_18,0.714,0.781,0.746,0.694,0.781,0.735
SEIR01_sl250_mr025_nv10_19,0.714,0.833,0.769,0.714,0.833,0.769
SEIR01_sl250_mr025_nv10_2,0.714,0.714,0.714,0.714,0.714,0.714
SEIR01_sl250_mr025_nv10_20,0.65,0.722,0.684,0.619,0.722,0.667
SEIR01_sl250_mr025_nv10_3,0.69,0.741,0.714,0.69,0.741,0.714
SEIR01_sl250_mr025_nv10_4,0.812,0.929,0.867,0.812,0.929,0.867
SEIR01_sl250_mr025_nv10_5,0.689,0.756,0.721,0.689,0.756,0.721
SEIR01_sl250_mr025_nv10_6,0.63,0.773,0.694,0.63,0.773,0.694
SEIR01_sl250_mr025_nv10_7,0.706,0.857,0.774,0.706,0.857,0.774
SEIR01_sl250_mr025_nv10_8,0.643,0.794,0.711,0.643,0.794,0.711
SEIR01_sl250_mr025_nv10_9,0.761,0.836,0.797,0.761,0.836,0.797
SEIR01_sl500_mr025_nv10_1,0.6,0.6,0.6,0.625,0.5,0.556
SEIR01_sl500_mr025_nv10_10,0.786,0.786,0.786,0.786,0.786,0.786
SEIR01_sl500_mr025_nv10_11,0.824,0.824,0.824,0.824,0.824,0.824
SEIR01_sl500_mr025_nv10_12,0.852,0.902,0.876,0.868,0.902,0.885
SEIR01_sl500_mr025_nv10_13,0.824,0.7,0.757,0.824,0.7,0.757
SEIR01_sl500_mr025_nv10_14,0.667,0.667,0.667,0.667,0.667,0.667
SEIR01_sl500_mr025_nv10_15,0.842,0.828,0.835,0.828,0.828,0.828
SEIR01_sl500_mr025_nv10_16,0.857,0.8,0.828,0.857,0.8,0.828
SEIR01_sl500_mr025_nv10_17,0.4,0.333,0.364,0.4,0.333,0.364
SEIR01_sl500_mr025_nv10_18,0.333,0.333,0.333,0.333,0.333,0.333
SEIR01_sl500_mr025_nv10_19,0.583,0.875,0.7,0.6,0.75,0.667
SEIR01_sl500_mr025_nv10_2,0.556,0.625,0.588,0.625,0.625,0.625
SEIR01_sl500_mr025_nv10_20,0.815,0.688,0.746,0.821,0.719,0.767
SEIR01_sl500_mr025_nv10_3,0.857,0.857,0.857,0.864,0.905,0.884
SEIR01_sl500_mr025_nv10_4,0.667,0.857,0.75,0.75,0.857,0.8
SEIR01_sl500_mr025_nv10_5,1,0.8,0.889,1,0.8,0.889
SEIR01_sl500_mr025_nv10_6,0.898,0.83,0.863,0.917,0.83,0.871
SEIR01_sl500_mr025_nv10_7,0.829,0.853,0.841,0.829,0.853,0.841
SEIR01_sl500_mr025_nv10_8,0.737,0.875,0.8,0.737,0.875,0.8
SEIR01_sl500_mr025_nv10_9,0.778,0.778,0.778,0.778,0.778,0.778
SIR003_sl1000_mr025_nv10_1,0.769,0.714,0.741,0.833,0.714,0.769
SIR003_sl1000_mr025_nv10_10,0.833,0.769,0.8,0.833,0.769,0.8
SIR003_sl1000_mr025_nv10_11,0.739,0.567,0.642,0.696,0.533,0.604
SIR003_sl1000_mr025_nv10_12,0.844,0.776,0.809,0.826,0.776,0.8
SIR003_sl1000_mr025_nv10_13,0.667,0.364,0.471,0.667,0.364,0.471
SIR003_sl1000_mr025_nv10_14,0.846,0.733,0.786,0.846,0.733,0.786
SIR003_sl1000_mr025_nv10_15,0.737,0.583,0.651,0.722,0.542,0.619
SIR003_sl1000_mr025_nv10_16,0.688,0.647,0.667,0.688,0.647,0.667
SIR003_sl1000_mr025_nv10_17,0.857,0.783,0.818,0.818,0.783,0.8
SIR003_sl1000_mr025_nv10_18,1,1,1,1,1,1
