strain,nextstrain_0,nextstrain_1,nextstrain_2,nextstrain_3,nextstrain_4,nextstrain_5,nextstrain_6,nextstrain_7,nextstrain_8,nextstrain_9,tnet_bias, tnet_random_sample
EPI_ISL_416423,Washington,Connecticut,Washington,Washington,Connecticut,Washington,Connecticut,Connecticut,Washington,Washington,Connecticut,Connecticut
EPI_ISL_420095,Michigan,Connecticut,Michigan,Maryland,NewYork,Connecticut,NewYork,Connecticut,NewYork,Connecticut,Connecticut,Connecticut
EPI_ISL_419521,NewYork,NewYork,NewYork,Oregon,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork
EPI_ISL_428371,California,Connecticut,Connecticut,NewYork,Connecticut,Connecticut,Connecticut,Connecticut,NewYork,Connecticut,Connecticut,Connecticut
EPI_ISL_420097,Connecticut,Connecticut,Connecticut,NewYork,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut
EPI_ISL_419512,Connecticut,Connecticut,Connecticut,Massachusetts,Connecticut,Connecticut,Connecticut,Massachusetts,Connecticut,Connecticut,Utah,Connecticut
EPI_ISL_428379,Connecticut,NewYork,Connecticut,Virginia,Connecticut,Massachusetts,Connecticut,Connecticut,NewYork,Connecticut,Connecticut,Connecticut
EPI_ISL_428391,Connecticut,Michigan,Pennsylvania,Minnesota,NewYork,Connecticut,Pennsylvania,Wisconsin,Connecticut,Connecticut,NewYork,Connecticut
EPI_ISL_428387,NewYork,Connecticut,Ohio,Connecticut,NewYork,Connecticut,NewYork,Ohio,NewYork,Connecticut,Connecticut,Connecticut
EPI_ISL_428385,NewYork,Connecticut,Connecticut,NewYork,Connecticut,NewYork,Connecticut,Louisiana,Connecticut,NewYork,NewYork,Connecticut
EPI_ISL_428745,Michigan,Connecticut,Connecticut,Connecticut,Wyoming,California,Connecticut,NewMexico,Michigan,Maryland,Michigan,Connecticut
EPI_ISL_428389,Pennsylvania,Wisconsin,NewYork,Illinois,NewMexico,Connecticut,Connecticut,Connecticut,Pennsylvania,Connecticut,Connecticut,Connecticut
EPI_ISL_431080,California,Maryland,Maryland,Ohio,Maryland,Ohio,Connecticut,Maryland,Maryland,Connecticut,Utah,Connecticut
EPI_ISL_428747,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut
EPI_ISL_431081,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,California,Connecticut,Connecticut,California,California
EPI_ISL_435706,Connecticut,Connecticut,Connecticut,Michigan,Connecticut,NewYork,Connecticut,Connecticut,NewYork,Connecticut,Connecticut,Connecticut
EPI_ISL_428751,NewYork,NewYork,Connecticut,Wisconsin,NewMexico,Maryland,Connecticut,Michigan,Connecticut,NewJersey,Connecticut,Connecticut
EPI_ISL_431082,Florida,Florida,Oregon,Florida,Florida,Florida,Florida,Massachusetts,Florida,Florida,Oregon,Florida
EPI_ISL_431083,Connecticut,Connecticut,Ohio,Connecticut,Connecticut,Connecticut,NewYork,Ohio,Connecticut,Connecticut,Ohio,Ohio
EPI_ISL_431084,NewYork,Connecticut,Ohio,NewYork,NewYork,Connecticut,NewYork,Ohio,NewYork,Connecticut,Ohio,Ohio
EPI_ISL_431085,NewYork,Connecticut,Ohio,Connecticut,NewYork,Connecticut,NewYork,Ohio,NewYork,Connecticut,Ohio,Ohio
EPI_ISL_431086,Connecticut,California,Connecticut,Connecticut,Connecticut,Utah,Nebraska,NewJersey,NewYork,Virginia,Connecticut,Connecticut
EPI_ISL_431089,California,California,California,Utah,Maryland,California,Utah,Utah,California,Maryland,California,California
EPI_ISL_431092,NewYork,Oregon,NewYork,NewYork,Louisiana,NewYork,Connecticut,Utah,Utah,NewYork,NewYork,Connecticut
EPI_ISL_463138,Connecticut,Connecticut,Connecticut,Michigan,Connecticut,Connecticut,Connecticut,Washington,Connecticut,Connecticut,Massachusetts,Connecticut
EPI_ISL_463151,Connecticut,Connecticut,Connecticut,NewYork,Connecticut,Maryland,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut
EPI_ISL_463164,Michigan,Oregon,Connecticut,California,Connecticut,Maryland,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut
EPI_ISL_469178,Connecticut,Connecticut,Texas,Connecticut,Texas,Connecticut,Connecticut,Pennsylvania,Minnesota,Texas,Connecticut,Connecticut
EPI_ISL_469182,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Utah,Connecticut,Connecticut,Connecticut
EPI_ISL_469183,Virginia,Connecticut,Michigan,Michigan,Louisiana,Michigan,NewYork,Michigan,Utah,Michigan,Connecticut,Connecticut
EPI_ISL_469186,Connecticut,Michigan,Connecticut,Connecticut,Texas,Massachusetts,Connecticut,Connecticut,Connecticut,Louisiana,Connecticut,Connecticut
EPI_ISL_469189,Connecticut,Virginia,Ohio,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut
EPI_ISL_469203,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Utah,Connecticut,Connecticut,Connecticut
EPI_ISL_469208,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut
EPI_ISL_476526,Maryland,Connecticut,Connecticut,California,Connecticut,Michigan,Connecticut,Maryland,Connecticut,Connecticut,Connecticut,Connecticut
EPI_ISL_476553,Connecticut,Texas,Connecticut,Connecticut,Connecticut,NewYork,Connecticut,Connecticut,Connecticut,Louisiana,Connecticut,Connecticut
EPI_ISL_480791,Virginia,Florida,Virginia,Massachusetts,Massachusetts,Florida,Massachusetts,Virginia,Virginia,Florida,Massachusetts,Florida
EPI_ISL_480796,Utah,Florida,Utah,Washington,Utah,Washington,Minnesota,Minnesota,Washington,Utah,Washington,Washington
EPI_ISL_480804,Michigan,Florida,Florida,Florida,Texas,Connecticut,Florida,Florida,Utah,Louisiana,Florida,Florida
EPI_ISL_480810,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Virginia,Florida,Florida,Florida
EPI_ISL_480817,Florida,Texas,Florida,Michigan,NewYork,California,Florida,Florida,Minnesota,Maryland,Florida,Florida
EPI_ISL_480819,NewYork,NewYork,NewYork,Florida,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,Florida
EPI_ISL_480823,Florida,Florida,Pennsylvania,Virginia,Connecticut,Florida,Florida,Florida,Michigan,Florida,Michigan,Florida
EPI_ISL_480825,Florida,Florida,Florida,Virginia,Michigan,Florida,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_480829,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_480839,Florida,Florida,Florida,Florida,Florida,Pennsylvania,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_480855,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_480856,Florida,Florida,Virginia,Pennsylvania,Florida,Florida,NewYork,NorthCarolina,Florida,Florida,Florida,Florida
EPI_ISL_480862,Florida,Florida,Florida,Florida,Louisiana,Florida,Florida,Florida,Michigan,Florida,Florida,Florida
EPI_ISL_480863,Florida,Florida,Florida,Florida,Florida,Minnesota,Florida,Florida,Illinois,Florida,Florida,Florida
EPI_ISL_480872,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_480879,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Utah,Louisiana,Louisiana,Louisiana,Florida
EPI_ISL_480884,Florida,Florida,Florida,Florida,Florida,Texas,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_480893,Florida,Florida,Virginia,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_480896,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_480897,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_480898,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_480899,Florida,Wisconsin,Florida,Wisconsin,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_480901,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_480902,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_480903,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_480904,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_480906,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_480907,Florida,Florida,Oregon,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_480908,Florida,Florida,Virginia,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_480910,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Pennsylvania,Florida,Florida,Florida,Florida
EPI_ISL_480914,Florida,Wisconsin,Florida,Florida,Florida,Florida,Florida,Illinois,Florida,Florida,Florida,Florida
EPI_ISL_480916,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,NewYork,Florida,Florida,Florida
EPI_ISL_480917,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Wisconsin,Florida,Florida,Florida
EPI_ISL_480918,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Illinois,Wisconsin,Arizona,Wisconsin,Wisconsin,Florida,Arizona,Florida
EPI_ISL_480926,California,California,California,Oregon,California,California,Oregon,Oregon,California,California,Oregon,Florida
EPI_ISL_480935,Virginia,Oregon,Virginia,Maryland,Louisiana,Maryland,NewYork,Florida,NewYork,Louisiana,Florida,Florida
EPI_ISL_480942,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Louisiana,Florida,Florida
EPI_ISL_480944,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Texas,Florida,Florida
EPI_ISL_480947,Florida,Florida,Florida,Florida,Florida,Florida,Louisiana,Florida,Florida,Florida,Florida,Florida
EPI_ISL_480948,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_480950,Florida,Florida,Florida,Florida,Florida,Florida,Louisiana,Florida,Florida,Louisiana,Florida,Florida
EPI_ISL_480951,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_489712,Florida,Florida,Florida,Florida,Florida,Pennsylvania,Florida,Florida,California,Florida,Florida,Florida
EPI_ISL_489716,Florida,Florida,Florida,Florida,Florida,Florida,Louisiana,Florida,Florida,Florida,Florida,Florida
EPI_ISL_489717,Idaho,Louisiana,Idaho,Idaho,Idaho,Louisiana,Utah,Louisiana,Idaho,Idaho,Utah,Idaho
EPI_ISL_489720,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_489722,Florida,Florida,Florida,Florida,California,Florida,Florida,Florida,Florida,Florida,Pennsylvania,Florida
EPI_ISL_489724,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_489730,Florida,Wyoming,Florida,Michigan,Louisiana,Florida,Florida,California,Pennsylvania,Louisiana,Wyoming,Florida
EPI_ISL_489753,Florida,Florida,Virginia,Florida,Florida,Maryland,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_489762,Virginia,NewYork,California,Michigan,Florida,Florida,Washington,Michigan,Michigan,Minnesota,Michigan,Florida
EPI_ISL_489764,Florida,Florida,Oregon,Florida,Florida,Florida,Florida,Maryland,Florida,Florida,Oregon,Florida
EPI_ISL_489784,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_489791,Florida,Florida,Florida,Louisiana,Florida,Louisiana,Florida,Louisiana,Florida,Florida,Florida,Florida
EPI_ISL_489792,Florida,Florida,Florida,Maryland,Florida,Florida,Illinois,Florida,Illinois,Florida,SouthCarolina,Maryland
EPI_ISL_489795,Florida,Florida,Florida,Florida,Florida,Florida,Florida,California,California,Florida,Florida,Florida
EPI_ISL_489796,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_489803,Michigan,Florida,Michigan,California,Utah,Virginia,Florida,California,Iowa,Florida,Utah,Florida
EPI_ISL_489810,Maryland,Florida,Florida,Florida,Florida,Florida,Utah,Florida,Florida,Florida,Florida,Florida
EPI_ISL_489819,Maryland,Florida,Florida,Florida,Florida,Florida,Illinois,Florida,Illinois,Florida,Georgia,SouthCarolina
EPI_ISL_489823,Florida,Florida,Florida,Louisiana,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_489827,Florida,NewYork,Florida,Maryland,Louisiana,NewJersey,NewYork,Michigan,California,Louisiana,Florida,Florida
EPI_ISL_452132,Pennsylvania,Oregon,Oregon,Oregon,Florida,Maryland,Florida,Florida,Florida,Florida,Maryland,Florida
EPI_ISL_452111,Florida,Illinois,Florida,SouthCarolina,Florida,Illinois,Florida,Illinois,Illinois,Florida,Florida,Florida
EPI_ISL_452110,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_447841,Florida,Florida,NewJersey,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Maryland,Maryland
EPI_ISL_479760,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_479764,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,NewYork,Florida,Florida,Florida
EPI_ISL_479765,Florida,Virginia,Oregon,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Arizona,Florida
EPI_ISL_479769,California,California,California,Utah,California,California,Utah,Utah,California,Maryland,Minnesota,Florida
EPI_ISL_479771,Florida,NewYork,Florida,NewYork,Arizona,Washington,Washington,Florida,Florida,Florida,Florida,Florida
EPI_ISL_468719,Florida,Florida,Florida,NewYork,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_468720,Florida,Florida,Florida,NewYork,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_434636,Virginia,Florida,Florida,Florida,Arizona,NewYork,Florida,Minnesota,Florida,Florida,Washington,Florida
EPI_ISL_447903,Florida,Michigan,California,Florida,Louisiana,Massachusetts,Florida,Florida,Florida,Utah,Alaska,Alaska
EPI_ISL_434637,Florida,Florida,SouthCarolina,SouthCarolina,Florida,Georgia,Florida,Florida,Georgia,Florida,Florida,Florida
EPI_ISL_447588,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Florida,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_491305,Illinois,Illinois,NewYork,NewYork,Wisconsin,Wisconsin,Minnesota,Wisconsin,Illinois,NewYork,Wisconsin,Florida
EPI_ISL_491306,Illinois,Illinois,Illinois,California,Florida,Illinois,Illinois,Illinois,Florida,Illinois,Illinois,Illinois
EPI_ISL_490988,Florida,Connecticut,Florida,Connecticut,Massachusetts,Wisconsin,NewJersey,NewJersey,Florida,Connecticut,Wisconsin,Connecticut
EPI_ISL_424857,Florida,Florida,California,Florida,Florida,Florida,Florida,California,Florida,Florida,Florida,Florida
EPI_ISL_419560,Minnesota,Washington,Washington,Florida,Washington,Washington,Washington,Washington,Washington,Washington,Arizona,Florida
EPI_ISL_419559,Florida,Florida,Florida,Florida,Florida,Arizona,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_420785,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida
EPI_ISL_424855,Florida,Florida,California,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida
