strain,nextstrain_0,nextstrain_1,nextstrain_2,nextstrain_3,nextstrain_4,nextstrain_5,nextstrain_6,nextstrain_7,nextstrain_8,nextstrain_9,tnet_bias, tnet_random_sample
EPI_ISL_483523,California,California,California,California,California,California,California,Utah,California,NewYork,California,California
EPI_ISL_483525,California,California,California,California,California,California,California,California,California,Oregon,California,California
EPI_ISL_483530,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_483531,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_475582,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_475613,California,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,California,California,Connecticut,Connecticut,California,California
EPI_ISL_436656,California,California,California,California,California,California,California,California,California,Wisconsin,California,California
EPI_ISL_436667,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_444070,California,California,California,NewYork,Virginia,California,California,Arizona,Connecticut,California,California,California
EPI_ISL_445177,California,California,California,California,California,California,California,California,NewYork,Wyoming,California,California
EPI_ISL_447892,Louisiana,Louisiana,Arizona,Louisiana,California,Florida,Utah,Michigan,Florida,Louisiana,Louisiana,California
EPI_ISL_450454,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,California,Maryland,Maryland,Maryland,California,California
EPI_ISL_454672,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_454687,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_454638,Maryland,California,Maryland,Illinois,Maryland,Minnesota,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland
EPI_ISL_468349,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_468354,Louisiana,Louisiana,California,Louisiana,California,California,Michigan,Louisiana,California,Florida,California,California
EPI_ISL_468356,California,Michigan,California,Utah,California,California,California,Michigan,California,California,California,California
EPI_ISL_468383,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_468394,NewJersey,California,Michigan,NewYork,NewJersey,California,NewYork,California,NewYork,Maryland,California,California
EPI_ISL_468401,Florida,California,California,Florida,California,Florida,Florida,California,Florida,Florida,California,California
EPI_ISL_468431,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_468432,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_468436,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_468440,Michigan,California,Texas,California,Utah,California,California,California,California,Michigan,Texas,California
EPI_ISL_468464,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_468471,California,California,California,Minnesota,California,California,California,California,California,California,California,California
EPI_ISL_468502,Pennsylvania,California,California,Maryland,Maryland,California,California,Michigan,NewYork,California,Wyoming,California
EPI_ISL_468509,Washington,California,California,Utah,California,Virginia,Oregon,Oregon,Oregon,California,Washington,California
EPI_ISL_468522,Florida,Florida,California,Florida,California,Florida,Florida,Missouri,Florida,Florida,Florida,Florida
EPI_ISL_468539,California,California,Michigan,Michigan,NewYork,Michigan,Virginia,NewYork,NewMexico,California,California,California
EPI_ISL_468552,Michigan,Michigan,California,California,California,California,California,California,California,Louisiana,Michigan,Michigan
EPI_ISL_468631,California,California,California,Minnesota,California,California,California,California,California,California,California,California
EPI_ISL_486209,California,California,California,California,Virginia,California,California,Louisiana,California,California,California,California
EPI_ISL_486224,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_486226,California,California,California,Oregon,California,California,Oregon,California,California,California,Oregon,California
EPI_ISL_486238,California,California,California,California,California,California,California,NewYork,California,California,California,California
EPI_ISL_486239,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_486241,California,California,Michigan,California,California,California,California,California,California,California,California,California
EPI_ISL_486249,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_486250,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_486251,California,Maryland,California,California,Texas,Maryland,Michigan,California,California,Michigan,Maryland,California
EPI_ISL_486265,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_486270,California,California,California,Florida,Maryland,California,Utah,California,California,Maryland,California,California
EPI_ISL_486286,Connecticut,NewJersey,California,Minnesota,Louisiana,Michigan,NewYork,Louisiana,NewYork,Louisiana,Pennsylvania,Pennsylvania
EPI_ISL_486323,California,California,California,Utah,California,Missouri,California,California,Utah,Oregon,California,California
EPI_ISL_486326,Utah,California,California,Utah,California,California,California,California,California,Massachusetts,California,California
EPI_ISL_486345,California,California,California,California,California,NewYork,California,California,California,California,California,California
