dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_min_prec,tnet_min_rec,tnet_min_f1
SEIR01_sl1000_mr0125_nv10_2,1,0.962,0.98,1,1,1,1,1,1
SIR01_sl1000_mr15_nv10_14,0.667,0.75,0.706,0.889,1,0.941,0.889,1,0.941
SIR003_sl500_mr05_nv10_11,0.8,0.667,0.727,0.667,0.667,0.667,0.8,0.667,0.727
SEIR015_sl1000_mr0125_nv10_18,0.778,0.7,0.737,0.889,0.8,0.842,0.889,0.8,0.842
SEIR01_sl500_mr025_nv10_2,0.714,0.625,0.667,0.75,0.75,0.75,0.75,0.75,0.75
SIR003_sl1000_mr1_nv10_6,0.88,0.733,0.8,0.7,0.7,0.7,0.7,0.7,0.7
SIR003_sl1000_mr05_nv5_5,0.889,0.727,0.8,1,0.636,0.778,1,0.636,0.778
SIR01_sl1000_mr15_nv20_19,0.872,0.804,0.837,0.898,0.863,0.88,0.88,0.863,0.871
SEIR01_sl1000_mr05_nv10_17,0.952,0.909,0.93,0.909,0.909,0.909,0.909,0.909,0.909
SIR003_sl1000_mr05_nv5_16,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833
SIR01_sl1000_mr075_nv10_16,0.944,0.944,0.944,0.895,0.944,0.919,0.895,0.944,0.919
SEIR015_sl1000_mr025_nv10_17,0.875,0.737,0.8,0.892,0.868,0.88,0.892,0.868,0.88
SIR01_sl1000_mr15_nv10_16,0.75,0.857,0.8,0.714,0.714,0.714,0.714,0.714,0.714
SIR003_sl1000_mr05_nv20_18,0.824,0.737,0.778,0.811,0.789,0.8,0.811,0.789,0.8
SEIR015_sl1000_mr05_nv10_2,0.838,0.738,0.785,0.905,0.905,0.905,0.905,0.905,0.905
SEIR01_sl1000_mr025_nv20_8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
SIR01_sl1000_mr15_nv20_3,1,0.6,0.75,0.6,0.6,0.6,0.6,0.6,0.6
SEIR015_sl1000_mr05_nv10_16,0.925,0.902,0.914,0.975,0.951,0.963,1,0.976,0.988
SIR01_sl1000_mr15_nv10_7,0.837,0.72,0.774,0.745,0.7,0.722,0.761,0.7,0.729
SIR003_sl1000_mr1_nv10_10,0.667,0.545,0.6,0.727,0.727,0.727,0.727,0.727,0.727
SIR01_sl1000_mr075_nv10_1,0.906,0.842,0.873,0.828,0.842,0.835,0.828,0.842,0.835
SIR01_sl1000_mr15_nv5_6,0.8,0.522,0.632,0.765,0.565,0.65,0.609,0.609,0.609
SEIR015_sl500_mr025_nv10_10,0.864,0.884,0.874,0.949,0.86,0.902,0.902,0.86,0.881
SEIR01_sl1000_mr025_nv20_1,0.875,0.875,0.875,0.8,0.875,0.836,0.8,0.875,0.836
SEIR015_sl1000_mr025_nv20_9,0.786,0.611,0.688,0.722,0.722,0.722,0.722,0.722,0.722
SEIR01_sl1000_mr025_nv10_14,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882
SIR003_sl1000_mr05_nv20_12,0.784,0.727,0.755,0.812,0.709,0.757,0.812,0.709,0.757
SEIR01_sl1000_mr0125_nv10_15,0.955,0.875,0.913,0.958,0.958,0.958,0.958,0.958,0.958
SEIR015_sl1000_mr025_nv10_9,0.963,0.929,0.945,0.964,0.964,0.964,0.982,1,0.991
SIR01_sl1000_mr15_nv10_4,0.8,0.5,0.615,0.8,0.5,0.615,0.8,0.5,0.615
SEIR015_sl500_mr025_nv10_12,0.75,0.623,0.68,0.854,0.774,0.812,0.86,0.811,0.835
SEIR015_sl1000_mr025_nv10_12,1,0.4,0.571,1,0.5,0.667,1,0.5,0.667
SEIR01_sl1000_mr05_nv10_7,0.925,0.804,0.86,0.86,0.804,0.831,0.86,0.804,0.831
SIR01_sl1000_mr15_nv10_18,0.912,0.754,0.825,0.791,0.768,0.779,0.791,0.768,0.779
SIR003_sl1000_mr025_nv10_18,1,1,1,1,1,1,1,1,1
