strain	virus	date	country
EPI_ISL_416579	hCoV-19	2020-02-15	Japan
EPI_ISL_422413	hCoV-19	2020-03-16	Taiwan
EPI_ISL_425214	hCoV-19	2020-03-11	Spain
EPI_ISL_418373	hCoV-19	2020-03-14	Canada
EPI_ISL_421670	hCoV-19	2020-03-12	India
EPI_ISL_413604	hCoV-19	2020-03-03	Finland
EPI_ISL_414624	hCoV-19	2020-02-26	France
EPI_ISL_419607	hCoV-19	2020-03-14	Luxembourg
EPI_ISL_413017	hCoV-19	2020-02-06	South Korea
EPI_ISL_416499	hCoV-19	2020-03-11	France
EPI_ISL_415742	hCoV-19	2020-02-27	Taiwan
EPI_ISL_420136	hCoV-19	2020-03-04	Norway
EPI_ISL_416512	hCoV-19	2020-03-07	France
EPI_ISL_418239	hCoV-19	2020-03-16	France
EPI_ISL_416495	hCoV-19	2020-03-10	France
EPI_ISL_416629	hCoV-19	2020-02-17	Japan
EPI_ISL_418393	hCoV-19	2020-03-13	Finland
EPI_ISL_415644	hCoV-19	2020-02-28	Georgia
EPI_ISL_408667	hCoV-19	2020-01-31	Japan
EPI_ISL_418022	hCoV-19	2020-03-15	Portugal
EPI_ISL_421492	hCoV-19	2020-03-22	Portugal
EPI_ISL_413515	hCoV-19	2020-02-27	South Korea
EPI_ISL_418011	hCoV-19	2020-03-04	Portugal
EPI_ISL_418355	hCoV-19	2020-03-08	Canada
EPI_ISL_414569	hCoV-19	2020-02-12	Hong Kong
EPI_ISL_421762	hCoV-19	2020-03-17	Luxembourg
EPI_ISL_416479	hCoV-19	2020-03-05	Georgia
EPI_ISL_420544	hCoV-19	2020-XX-XX	India
EPI_ISL_416631	hCoV-19	2020-02-17	Japan
EPI_ISL_416632	hCoV-19	2020-02-17	Japan
EPI_ISL_425179	hCoV-19	2020-03-10	Spain
EPI_ISL_420132	hCoV-19	2020-03-18	Spain
EPI_ISL_417178	hCoV-19	2020-01-25	Hong Kong
EPI_ISL_421756	hCoV-19	2020-03-17	Luxembourg
EPI_ISL_425180	hCoV-19	2020-03-10	Spain
EPI_ISL_418330	hCoV-19	2020-03-05	Canada
EPI_ISL_413024	hCoV-19	2020-02-29	Switzerland
EPI_ISL_417955	hCoV-19	2020-03-21	Democratic Republic of the Congo
EPI_ISL_425229	hCoV-19	2020-03-19	Czech Republic
EPI_ISL_424361	hCoV-19	2020-03-10	India
EPI_ISL_424363	hCoV-19	2020-03-12	India
EPI_ISL_418336	hCoV-19	2020-03-12	Canada
EPI_ISL_416570	hCoV-19	2020-02-15	Japan
EPI_ISL_415699	hCoV-19	2020-02-27	Switzerland
EPI_ISL_417531	hCoV-19	2020-03-18	Luxembourg
EPI_ISL_417941	hCoV-19	2020-03-18	Democratic Republic of the Congo
EPI_ISL_425139	hCoV-19	2020-03-19	Germany
EPI_ISL_419309	hCoV-19	2020-03-12	Japan
EPI_ISL_416485	hCoV-19	2020-02-27	Spain
EPI_ISL_417992	hCoV-19	2020-03-07	Portugal
EPI_ISL_418403	hCoV-19	2020-03-14	Finland
EPI_ISL_417523	hCoV-19	2020-03-13	Taiwan
EPI_ISL_420073	hCoV-19	2020-03-19	Senegal
EPI_ISL_412973	hCoV-19	2020-02-20	Italy
EPI_ISL_420085	hCoV-19	2020-03-20	Taiwan
EPI_ISL_418340	hCoV-19	2020-03-09	Canada
EPI_ISL_418243	hCoV-19	2020-02-28	Spain
EPI_ISL_415641	hCoV-19	2020-02-27	Georgia
EPI_ISL_426169	hCoV-19	2020-02-05	South Korea
EPI_ISL_419680	hCoV-19	2020-03-10	Spain
EPI_ISL_419224	hCoV-19	2020-02-13	Hong Kong
EPI_ISL_418023	hCoV-19	2020-03-17	Portugal
EPI_ISL_420082	hCoV-19	2020-03-19	Taiwan
EPI_ISL_416603	hCoV-19	2020-02-16	Japan
EPI_ISL_421481	hCoV-19	2020-03-21	Portugal
EPI_ISL_418367	hCoV-19	2020-03-12	Canada
EPI_ISL_420139	hCoV-19	2020-03-05	Norway
EPI_ISL_410719	hCoV-19	2020-02-02	Singapore
EPI_ISL_422407	hCoV-19	2020-03-04	Taiwan
EPI_ISL_422415	hCoV-19	2020-03-17	Taiwan
EPI_ISL_420903	hCoV-19	2020-03-14	Germany
EPI_ISL_418401	hCoV-19	2020-03-14	Finland
EPI_ISL_417197	hCoV-19	2020-02-09	Hong Kong
EPI_ISL_424342	hCoV-19	2020-03-07	Italy
EPI_ISL_418387	hCoV-19	2020-03-13	Finland
EPI_ISL_415705	hCoV-19	2020-03-06	Switzerland
EPI_ISL_410532	hCoV-19	2020-01-23	Japan
EPI_ISL_420566	hCoV-19	2020-03-19	Italy
EPI_ISL_418581	hCoV-19	2020-03-08	Ireland
EPI_ISL_418584	hCoV-19	2020-03-10	Ireland
EPI_ISL_425121	hCoV-19	2020-03-16	Germany
EPI_ISL_421672	hCoV-19	2020-03-12	India
EPI_ISL_416594	hCoV-19	2020-02-16	Japan
EPI_ISL_416583	hCoV-19	2020-02-15	Japan
EPI_ISL_424970	hCoV-19	2020-03-17	Taiwan
EPI_ISL_421471	hCoV-19	2020-03-21	Portugal
EPI_ISL_420101	hCoV-19	2020-03-04	Singapore
EPI_ISL_420105	hCoV-19	2020-03-06	Singapore
EPI_ISL_424362	hCoV-19	2020-03-10	India
EPI_ISL_418008	hCoV-19	2020-03-13	Portugal
EPI_ISL_419306	hCoV-19	2020-03-20	Japan
EPI_ISL_421735	hCoV-19	2020-03-17	Luxembourg
EPI_ISL_421479	hCoV-19	2020-03-21	Portugal
EPI_ISL_420890	hCoV-19	2020-03-09	Japan
EPI_ISL_421482	hCoV-19	2020-03-18	Portugal
EPI_ISL_419536	hCoV-19	2020-03-14	Germany
EPI_ISL_416625	hCoV-19	2020-02-17	Japan
EPI_ISL_417463	hCoV-19	2020-03-13	Germany
EPI_ISL_419304	hCoV-19	2020-03-17	Japan
EPI_ISL_418371	hCoV-19	2020-03-07	Canada
EPI_ISL_419661	hCoV-19	2020-03-10	Austria
EPI_ISL_418339	hCoV-19	2020-03-09	Canada
EPI_ISL_420104	hCoV-19	2020-03-05	Singapore
EPI_ISL_420548	hCoV-19	2020-XX-XX	India
EPI_ISL_417533	hCoV-19	2020-03-18	Luxembourg
EPI_ISL_418825	hCoV-19	2020-03-10	Canada
EPI_ISL_418826	hCoV-19	2020-03-10	Canada
EPI_ISL_418248	hCoV-19	2020-03-01	Spain
EPI_ISL_415583	hCoV-19	2020-03-03	Canada
EPI_ISL_420912	hCoV-19	2020-03-21	Germany
EPI_ISL_418830	hCoV-19	2020-03-09	Canada
EPI_ISL_421175	hCoV-19	2020-03-29	Spain
EPI_ISL_419552	hCoV-19	2020-03-16	Germany
EPI_ISL_419387	hCoV-19	2020-03-18	Portugal
EPI_ISL_417423	hCoV-19	2020-03-01	Italy
EPI_ISL_417946	hCoV-19	2020-03-18	Democratic Republic of the Congo
EPI_ISL_421750	hCoV-19	2020-03-17	Luxembourg
EPI_ISL_414571	hCoV-19	2020-02-22	Hong Kong
EPI_ISL_407193	hCoV-19	2020-01-25	South Korea
EPI_ISL_418253	hCoV-19	2020-03-02	Spain
EPI_ISL_419236	hCoV-19	2020-03-07	Spain
EPI_ISL_416524	hCoV-19	2020-03-11	Japan
EPI_ISL_419659	hCoV-19	2020-03-10	Austria
EPI_ISL_417922	hCoV-19	2020-02-28	Italy
EPI_ISL_419595	hCoV-19	2020-03-12	Luxembourg
EPI_ISL_420103	hCoV-19	2020-03-05	Singapore
EPI_ISL_418360	hCoV-19	2020-03-11	Canada
EPI_ISL_414045	hCoV-19	2020-03-04	Brazil
EPI_ISL_419593	hCoV-19	2020-03-16	Luxembourg
EPI_ISL_418810	hCoV-19	2020-03-09	Canada
EPI_ISL_419709	hCoV-19	2020-03-04	Spain
EPI_ISL_421671	hCoV-19	2020-03-12	India
EPI_ISL_419662	hCoV-19	2020-03-14	Austria
EPI_ISL_416592	hCoV-19	2020-02-16	Japan
EPI_ISL_416585	hCoV-19	2020-02-16	Japan
EPI_ISL_421447	hCoV-19	2020-03-18	Portugal
EPI_ISL_419238	hCoV-19	2020-03-05	Spain
EPI_ISL_412028	hCoV-19	2020-01-22	Hong Kong
EPI_ISL_416611	hCoV-19	2020-02-17	Japan
EPI_ISL_418025	hCoV-19	2020-03-17	Portugal
EPI_ISL_418003	hCoV-19	2020-03-10	Portugal
EPI_ISL_415708	hCoV-19	2020-03-07	Switzerland
EPI_ISL_418382	hCoV-19	2020-XX-XX	Canada
EPI_ISL_420146	hCoV-19	2020-03-11	Norway
EPI_ISL_416581	hCoV-19	2020-02-15	Japan
EPI_ISL_424978	hCoV-19	2020-03-18	Taiwan
EPI_ISL_419707	hCoV-19	2020-XX-XX	Spain
EPI_ISL_426357	hCoV-19	2020-03-18	Czech Republic
EPI_ISL_406973	hCoV-19	2020-01-23	Singapore
EPI_ISL_420112	hCoV-19	2020-03-09	Spain
EPI_ISL_418338	hCoV-19	2020-03-12	Canada
EPI_ISL_416615	hCoV-19	2020-02-17	Japan
EPI_ISL_413020	hCoV-19	2020-02-27	Switzerland
EPI_ISL_414511	hCoV-19	2020-01-XX	Japan
EPI_ISL_417994	hCoV-19	2020-03-08	Portugal
EPI_ISL_418818	hCoV-19	2020-03-06	Canada
EPI_ISL_415743	hCoV-19	2020-02-27	Taiwan
EPI_ISL_417488	hCoV-19	2020-02-29	Norway
EPI_ISL_418823	hCoV-19	2020-03-09	Canada
EPI_ISL_426365	hCoV-19	2020-03-12	Mexico
EPI_ISL_418841	hCoV-19	2020-03-11	Canada
EPI_ISL_425220	hCoV-19	2020-03-17	Spain
EPI_ISL_418322	hCoV-19	2020-03-08	Canada
EPI_ISL_418819	hCoV-19	2020-03-09	Canada
EPI_ISL_424670	hCoV-19	2020-03-10	Mexico
EPI_ISL_425199	hCoV-19	2020-03-19	Spain
EPI_ISL_417987	hCoV-19	2020-03-03	Portugal
EPI_ISL_418846	hCoV-19	2020-03-12	Canada
EPI_ISL_419588	hCoV-19	2020-03-16	Luxembourg
EPI_ISL_410714	hCoV-19	2020-02-03	Singapore
EPI_ISL_414497	hCoV-19	2020-02-25	Germany
EPI_ISL_420143	hCoV-19	2020-03-10	Norway
EPI_ISL_418247	hCoV-19	2020-02-26	Spain
EPI_ISL_421667	hCoV-19	2020-03-10	India
EPI_ISL_415459	hCoV-19	2020-02-29	Switzerland
EPI_ISL_421454	hCoV-19	2020-03-18	Portugal
EPI_ISL_417467	hCoV-19	2020-03-15	Germany
EPI_ISL_421746	hCoV-19	2020-03-17	Luxembourg
EPI_ISL_420035	hCoV-19	2020-03-22	Democratic Republic of the Congo
EPI_ISL_425117	hCoV-19	2020-02-23	South Korea
EPI_ISL_418847	hCoV-19	2020-03-12	Canada
EPI_ISL_425185	hCoV-19	2020-03-10	Spain
EPI_ISL_413513	hCoV-19	2020-02-27	South Korea
EPI_ISL_422417	hCoV-19	2020-03-18	Taiwan
EPI_ISL_419602	hCoV-19	2020-03-12	Luxembourg
EPI_ISL_416630	hCoV-19	2020-02-17	Japan
EPI_ISL_425183	hCoV-19	2020-03-10	Spain
EPI_ISL_418832	hCoV-19	2020-03-11	Canada
EPI_ISL_419255	hCoV-19	2020-03-23	Italy
EPI_ISL_422408	hCoV-19	2020-03-13	Taiwan
EPI_ISL_416035	hCoV-19	2020-03-05	Brazil
EPI_ISL_425182	hCoV-19	2020-03-10	Spain
EPI_ISL_425196	hCoV-19	2020-03-17	Spain
EPI_ISL_410535	hCoV-19	2020-02-03	Singapore
EPI_ISL_416314	hCoV-19	2020-02-07	Hong Kong
EPI_ISL_417193	hCoV-19	2020-02-09	Hong Kong
EPI_ISL_426360	hCoV-19	2020-03-18	Czech Republic
EPI_ISL_408669	hCoV-19	2020-01-29	Japan
EPI_ISL_418368	hCoV-19	2020-03-12	Canada
EPI_ISL_415701	hCoV-19	2020-03-02	Switzerland
EPI_ISL_421757	hCoV-19	2020-03-17	Luxembourg
EPI_ISL_416034	hCoV-19	2020-03-04	Brazil
EPI_ISL_415455	hCoV-19	2020-02-28	Switzerland
EPI_ISL_419673	hCoV-19	2020-03-22	Austria
EPI_ISL_426363	hCoV-19	2020-03-12	Mexico
EPI_ISL_418361	hCoV-19	2020-03-12	Canada
EPI_ISL_416613	hCoV-19	2020-02-17	Japan
EPI_ISL_416580	hCoV-19	2020-02-15	Japan
EPI_ISL_421489	hCoV-19	2020-03-20	Portugal
EPI_ISL_421483	hCoV-19	2020-03-18	Portugal
EPI_ISL_418363	hCoV-19	2020-03-11	Canada
EPI_ISL_415457	hCoV-19	2020-02-29	Switzerland
EPI_ISL_420553	hCoV-19	2020-03-03	India
EPI_ISL_417465	hCoV-19	2020-03-14	Germany
EPI_ISL_419598	hCoV-19	2020-03-14	Luxembourg
EPI_ISL_416576	hCoV-19	2020-02-15	Japan
EPI_ISL_419670	hCoV-19	2020-03-16	Austria
EPI_ISL_426187	hCoV-19	2020-02-12	South Korea
EPI_ISL_420312	hCoV-19	2020-03-18	Norway
EPI_ISL_415456	hCoV-19	2020-02-29	Switzerland
EPI_ISL_417464	hCoV-19	2020-03-14	Germany
EPI_ISL_420845	hCoV-19	2020-03-26	Democratic Republic of the Congo
EPI_ISL_421519	hCoV-19	2020-03-21	Spain
EPI_ISL_422438	hCoV-19	2020-03-25	Italy
EPI_ISL_421666	hCoV-19	2020-03-10	India
EPI_ISL_417442	hCoV-19	2020-03-18	Democratic Republic of the Congo
EPI_ISL_416618	hCoV-19	2020-02-17	Japan
EPI_ISL_418212	hCoV-19	2020-03-11	Senegal
EPI_ISL_421498	hCoV-19	2020-03-24	Portugal
EPI_ISL_424972	hCoV-19	2020-03-16	Taiwan
EPI_ISL_418837	hCoV-19	2020-03-10	Canada
EPI_ISL_417440	hCoV-19	2020-03-17	Democratic Republic of the Congo
EPI_ISL_425187	hCoV-19	2020-03-16	Spain
EPI_ISL_416617	hCoV-19	2020-02-17	Japan
EPI_ISL_421742	hCoV-19	2020-03-17	Luxembourg
EPI_ISL_418811	hCoV-19	2020-03-12	Canada
EPI_ISL_416573	hCoV-19	2020-02-15	Japan
EPI_ISL_418260	hCoV-19	2020-03-16	Italy
EPI_ISL_426362	hCoV-19	2020-03-10	Mexico
EPI_ISL_416028	hCoV-19	2020-03-03	Brazil
EPI_ISL_413023	hCoV-19	2020-02-29	Switzerland
EPI_ISL_417530	hCoV-19	2020-03-18	Luxembourg
EPI_ISL_421176	hCoV-19	2020-03-27	Spain
EPI_ISL_421665	hCoV-19	2020-03-10	India
EPI_ISL_417484	hCoV-19	2020-02-26	Norway
EPI_ISL_417181	hCoV-19	2020-02-05	Hong Kong
EPI_ISL_415128	hCoV-19	2020-02-29	Brazil
EPI_ISL_425127	hCoV-19	2020-03-19	Germany
EPI_ISL_416627	hCoV-19	2020-02-17	Japan
EPI_ISL_416607	hCoV-19	2020-02-17	Japan
EPI_ISL_422412	hCoV-19	2020-03-14	Taiwan
EPI_ISL_421472	hCoV-19	2020-03-21	Portugal
EPI_ISL_418210	hCoV-19	2020-03-10	Senegal
EPI_ISL_417483	hCoV-19	2020-02-27	Norway
EPI_ISL_413516	hCoV-19	2020-02-27	South Korea
EPI_ISL_426358	hCoV-19	2020-03-19	Czech Republic
EPI_ISL_419530	hCoV-19	2020-03-11	Germany
EPI_ISL_417989	hCoV-19	2020-03-04	Portugal
EPI_ISL_413996	hCoV-19	2020-02-24	Switzerland
EPI_ISL_418394	hCoV-19	2020-03-13	Finland
EPI_ISL_419596	hCoV-19	2020-03-12	Luxembourg
EPI_ISL_425122	hCoV-19	2020-03-16	Germany
EPI_ISL_426163	hCoV-19	2020-02-23	South Korea
EPI_ISL_418335	hCoV-19	2020-03-14	Canada
EPI_ISL_425178	hCoV-19	2020-02-28	Spain
EPI_ISL_414022	hCoV-19	2020-02-27	Switzerland
EPI_ISL_413016	hCoV-19	2020-02-28	Brazil
EPI_ISL_418821	hCoV-19	2020-03-10	Canada
EPI_ISL_418580	hCoV-19	2020-03-08	Ireland
EPI_ISL_426173	hCoV-19	2020-02-07	South Korea
EPI_ISL_413593	hCoV-19	2020-02-29	Luxembourg
EPI_ISL_414646	hCoV-19	2020-03-04	Finland
EPI_ISL_412869	hCoV-19	2020-01-30	South Korea
EPI_ISL_412912	hCoV-19	2020-02-25	Germany
EPI_ISL_419219	hCoV-19	2020-02-10	Hong Kong
EPI_ISL_418392	hCoV-19	2020-03-13	Finland
EPI_ISL_407987	hCoV-19	2020-01-25	Singapore
EPI_ISL_412872	hCoV-19	2020-02-01	South Korea
EPI_ISL_421458	hCoV-19	2020-03-19	Portugal
EPI_ISL_416525	hCoV-19	2020-03-11	Japan
EPI_ISL_420846	hCoV-19	2020-03-XX	Democratic Republic of the Congo
EPI_ISL_419302	hCoV-19	2020-03-12	Japan
EPI_ISL_420115	hCoV-19	2020-03-09	Spain
EPI_ISL_419310	hCoV-19	2020-03-13	Japan
EPI_ISL_421455	hCoV-19	2020-03-18	Portugal
EPI_ISL_424969	hCoV-19	2020-03-17	Taiwan
EPI_ISL_417438	hCoV-19	2020-03-17	Democratic Republic of the Congo
EPI_ISL_418400	hCoV-19	2020-03-13	Finland
EPI_ISL_419676	hCoV-19	2020-03-09	Spain
EPI_ISL_413488	hCoV-19	2020-02-28	Germany
EPI_ISL_415642	hCoV-19	2020-03-10	Georgia
EPI_ISL_415584	hCoV-19	2020-03-02	Canada
EPI_ISL_417981	hCoV-19	2020-03-02	Spain
EPI_ISL_425201	hCoV-19	2020-03-19	Spain
EPI_ISL_419538	hCoV-19	2020-03-14	Germany
EPI_ISL_424667	hCoV-19	2020-03-04	Mexico
EPI_ISL_416612	hCoV-19	2020-02-17	Japan
EPI_ISL_421180	hCoV-19	2020-03-27	Spain
EPI_ISL_414020	hCoV-19	2020-02-27	Switzerland
EPI_ISL_421466	hCoV-19	2020-03-20	Portugal
EPI_ISL_418347	hCoV-19	2020-03-11	Canada
EPI_ISL_418372	hCoV-19	2020-03-12	Canada
EPI_ISL_421491	hCoV-19	2020-03-22	Portugal
EPI_ISL_418365	hCoV-19	2020-03-10	Canada
EPI_ISL_420033	hCoV-19	2020-03-22	Democratic Republic of the Congo
EPI_ISL_420127	hCoV-19	2020-03-12	Spain
EPI_ISL_418404	hCoV-19	2020-03-14	Finland
EPI_ISL_412972	hCoV-19	2020-02-27	Mexico
EPI_ISL_419597	hCoV-19	2020-03-15	Luxembourg
EPI_ISL_414023	hCoV-19	2020-03-01	Switzerland
EPI_ISL_424673	hCoV-19	2020-03-12	Mexico
EPI_ISL_416029	hCoV-19	2020-03-04	Brazil
EPI_ISL_415741	hCoV-19	2020-02-26	Taiwan
EPI_ISL_419654	hCoV-19	2020-03-03	Austria
EPI_ISL_414528	hCoV-19	2020-02-10	Hong Kong
EPI_ISL_419584	hCoV-19	2020-03-13	Luxembourg
EPI_ISL_417447	hCoV-19	2020-02-24	Italy
EPI_ISL_417995	hCoV-19	2020-03-08	Portugal
EPI_ISL_414517	hCoV-19	2020-02-25	Hong Kong
EPI_ISL_419307	hCoV-19	2020-03-20	Japan
EPI_ISL_421464	hCoV-19	2020-03-17	Portugal
EPI_ISL_419549	hCoV-19	2020-03-15	Germany
EPI_ISL_421453	hCoV-19	2020-03-18	Portugal
EPI_ISL_410537	hCoV-19	2020-02-09	Singapore
EPI_ISL_420072	hCoV-19	2020-03-18	Senegal
EPI_ISL_418383	hCoV-19	2020-XX-XX	Canada
EPI_ISL_417529	hCoV-19	2020-03-18	Luxembourg
EPI_ISL_420543	hCoV-19	2020-03-03	India
EPI_ISL_418376	hCoV-19	2020-03-12	Canada
EPI_ISL_418848	hCoV-19	2020-03-05	Canada
EPI_ISL_416480	hCoV-19	2020-03-11	Georgia
EPI_ISL_419580	hCoV-19	2020-03-12	Luxembourg
EPI_ISL_422435	hCoV-19	2020-03-31	Singapore
EPI_ISL_420144	hCoV-19	2020-04-01	Georgia
EPI_ISL_414016	hCoV-19	2020-02-29	Brazil
EPI_ISL_421469	hCoV-19	2020-03-21	Portugal
EPI_ISL_418334	hCoV-19	2020-03-07	Canada
EPI_ISL_417944	hCoV-19	2020-03-18	Democratic Republic of the Congo
EPI_ISL_421475	hCoV-19	2020-03-21	Portugal
EPI_ISL_417986	hCoV-19	2020-03-03	Portugal
EPI_ISL_421174	hCoV-19	2020-03-29	Spain
EPI_ISL_419681	hCoV-19	2020-03-10	Spain
EPI_ISL_417176	hCoV-19	2020-01-21	Hong Kong
EPI_ISL_425213	hCoV-19	2020-03-11	Spain
EPI_ISL_419678	hCoV-19	2020-03-09	Spain
EPI_ISL_418410	hCoV-19	2020-03-14	Finland
EPI_ISL_420546	hCoV-19	2020-XX-XX	India
EPI_ISL_418386	hCoV-19	2020-03-13	Finland
EPI_ISL_417990	hCoV-19	2020-03-06	Portugal
EPI_ISL_420565	hCoV-19	2020-03-19	Italy
EPI_ISL_418018	hCoV-19	2020-03-16	Portugal
EPI_ISL_422420	hCoV-19	2020-03-19	Taiwan
EPI_ISL_419566	hCoV-19	2020-03-05	Luxembourg
EPI_ISL_419308	hCoV-19	2020-03-19	Japan
EPI_ISL_418391	hCoV-19	2020-03-13	Finland
EPI_ISL_418813	hCoV-19	2020-03-13	Canada
EPI_ISL_418835	hCoV-19	2020-03-11	Canada
EPI_ISL_418005	hCoV-19	2020-03-12	Portugal
EPI_ISL_417525	hCoV-19	2020-03-14	Taiwan
EPI_ISL_418351	hCoV-19	2020-03-12	Canada
EPI_ISL_418358	hCoV-19	2020-03-12	Canada
EPI_ISL_418820	hCoV-19	2020-03-09	Canada
EPI_ISL_422419	hCoV-19	2020-03-19	Taiwan
EPI_ISL_419548	hCoV-19	2020-03-15	Germany
EPI_ISL_418019	hCoV-19	2020-03-15	Portugal
EPI_ISL_420902	hCoV-19	2020-03-13	Germany
EPI_ISL_421752	hCoV-19	2020-03-17	Luxembourg
EPI_ISL_408666	hCoV-19	2020-01-31	Japan
EPI_ISL_416481	hCoV-19	2020-03-16	Georgia
EPI_ISL_406031	hCoV-19	2020-01-23	Taiwan
EPI_ISL_420889	hCoV-19	2020-02-14	Japan
EPI_ISL_420569	hCoV-19	2020-03-23	Italy
EPI_ISL_419671	hCoV-19	2020-03-19	Austria
EPI_ISL_418402	hCoV-19	2020-03-14	Finland
EPI_ISL_421477	hCoV-19	2020-03-21	Portugal
EPI_ISL_414527	hCoV-19	2020-02-09	Hong Kong
EPI_ISL_406862	hCoV-19	2020-01-28	Germany
EPI_ISL_420126	hCoV-19	2020-03-12	Spain
EPI_ISL_426179	hCoV-19	2020-03-02	India
EPI_ISL_418861	hCoV-19	2020-03-24	Spain
EPI_ISL_418408	hCoV-19	2020-03-14	Finland
EPI_ISL_419541	hCoV-19	2020-03-14	Germany
EPI_ISL_425123	hCoV-19	2020-03-17	Germany
EPI_ISL_420556	hCoV-19	2020-XX-XX	India
EPI_ISL_418399	hCoV-19	2020-03-13	Finland
EPI_ISL_414598	hCoV-19	2020-03-05	Spain
EPI_ISL_419569	hCoV-19	2020-03-07	Luxembourg
EPI_ISL_417418	hCoV-19	2020-03-01	Italy
EPI_ISL_419542	hCoV-19	2020-03-15	Germany
EPI_ISL_425217	hCoV-19	2020-03-17	Spain
EPI_ISL_410716	hCoV-19	2020-02-04	Singapore
EPI_ISL_416742	hCoV-19	2020-02-XX	Czech Republic
EPI_ISL_420838	hCoV-19	2020-03-22	Democratic Republic of the Congo
EPI_ISL_420108	hCoV-19	2020-03-10	Singapore
EPI_ISL_421172	hCoV-19	2020-03-09	Spain
EPI_ISL_418840	hCoV-19	2020-03-12	Canada
EPI_ISL_426167	hCoV-19	2020-02-23	South Korea
EPI_ISL_419540	hCoV-19	2020-03-16	Germany
EPI_ISL_425193	hCoV-19	2020-03-17	Spain
EPI_ISL_420549	hCoV-19	2020-03-03	India
EPI_ISL_421664	hCoV-19	2020-03-10	India
EPI_ISL_417950	hCoV-19	2020-03-20	Democratic Republic of the Congo
EPI_ISL_417991	hCoV-19	2020-03-08	Portugal
EPI_ISL_418829	hCoV-19	2020-03-10	Canada
EPI_ISL_410713	hCoV-19	2020-01-27	Singapore
EPI_ISL_418362	hCoV-19	2020-03-10	Canada
EPI_ISL_417459	hCoV-19	2020-03-11	Germany
EPI_ISL_420551	hCoV-19	2020-03-03	India
EPI_ISL_417921	hCoV-19	2020-03-01	Italy
EPI_ISL_418256	hCoV-19	2020-03-14	Italy
EPI_ISL_418020	hCoV-19	2020-03-16	Portugal
EPI_ISL_424344	hCoV-19	2020-03-04	Italy
EPI_ISL_418389	hCoV-19	2020-03-13	Finland
EPI_ISL_418381	hCoV-19	2020-XX-XX	Canada
EPI_ISL_418853	hCoV-19	2020-03-11	Canada
EPI_ISL_425118	hCoV-19	2020-01-30	South Korea
EPI_ISL_418353	hCoV-19	2020-03-09	Canada
EPI_ISL_421515	hCoV-19	2020-03-07	Spain
EPI_ISL_418004	hCoV-19	2020-03-12	Portugal
EPI_ISL_413523	hCoV-19	2020-01-31	India
EPI_ISL_420084	hCoV-19	2020-03-21	Taiwan
EPI_ISL_418331	hCoV-19	2020-03-08	Canada
EPI_ISL_418855	hCoV-19	2020-03-11	Canada
EPI_ISL_415454	hCoV-19	2020-02-28	Switzerland
EPI_ISL_419543	hCoV-19	2020-03-15	Germany
EPI_ISL_419305	hCoV-19	2020-03-18	Japan
EPI_ISL_419227	hCoV-19	2020-02-15	Hong Kong
EPI_ISL_420150	hCoV-19	2020-03-09	Norway
EPI_ISL_418209	hCoV-19	2020-03-03	Senegal
EPI_ISL_418836	hCoV-19	2020-03-10	Canada
EPI_ISL_420554	hCoV-19	2020-XX-XX	India
EPI_ISL_420907	hCoV-19	2020-03-16	Germany
EPI_ISL_418409	hCoV-19	2020-03-14	Finland
EPI_ISL_420841	hCoV-19	2020-03-22	Democratic Republic of the Congo
EPI_ISL_420141	hCoV-19	2020-03-10	Norway
EPI_ISL_422421	hCoV-19	2020-03-19	Taiwan
EPI_ISL_426356	hCoV-19	2020-03-21	Czech Republic
EPI_ISL_418328	hCoV-19	2020-03-20	Canada
EPI_ISL_424971	hCoV-19	2020-03-17	Taiwan
EPI_ISL_416598	hCoV-19	2020-02-16	Japan
EPI_ISL_418374	hCoV-19	2020-03-11	Canada
EPI_ISL_419532	hCoV-19	2020-03-11	Germany
EPI_ISL_415700	hCoV-19	2020-02-28	Switzerland
EPI_ISL_418375	hCoV-19	2020-03-12	Canada
EPI_ISL_414477	hCoV-19	2020-03-01	Czech Republic
EPI_ISL_412873	hCoV-19	2020-02-06	South Korea
EPI_ISL_422430	hCoV-19	2020-03-13	Singapore
EPI_ISL_420563	hCoV-19	2020-03-18	Italy
EPI_ISL_413014	hCoV-19	2020-01-25	Canada
EPI_ISL_419655	hCoV-19	2020-02-26	Austria
EPI_ISL_420899	hCoV-19	2020-03-11	Germany
EPI_ISL_420552	hCoV-19	2020-XX-XX	India
EPI_ISL_419579	hCoV-19	2020-03-14	Luxembourg
EPI_ISL_420545	hCoV-19	2020-03-03	India
EPI_ISL_416478	hCoV-19	2020-03-14	Georgia
EPI_ISL_426181	hCoV-19	2020-02-23	South Korea
EPI_ISL_414487	hCoV-19	2020-03-04	Ireland
EPI_ISL_413592	hCoV-19	2020-03-02	Taiwan
EPI_ISL_426182	hCoV-19	2020-02-09	South Korea
EPI_ISL_416601	hCoV-19	2020-02-16	Japan
EPI_ISL_420849	hCoV-19	2020-03-28	Democratic Republic of the Congo
EPI_ISL_419539	hCoV-19	2020-03-15	Germany
EPI_ISL_418388	hCoV-19	2020-03-13	Finland
EPI_ISL_422428	hCoV-19	2020-02-06	Singapore
EPI_ISL_422422	hCoV-19	2020-03-19	Taiwan
EPI_ISL_418009	hCoV-19	2020-03-15	Portugal
EPI_ISL_416589	hCoV-19	2020-02-16	Japan
