strain	virus	date	country
EPI_ISL_420210	hCoV-19	2020-03-27	England
EPI_ISL_421584	hCoV-19	2020-03-18	USA
EPI_ISL_419298	hCoV-19	2020-03-10	Japan
EPI_ISL_425759	hCoV-19	2020-03-13	Scotland
EPI_ISL_416491	hCoV-19	2020-03-15	USA
EPI_ISL_414625	hCoV-19	2020-02-26	France
EPI_ISL_420244	hCoV-19	2020-03-26	England
EPI_ISL_417958	hCoV-19	2020-03-10	USA
EPI_ISL_417475	hCoV-19	2020-03-12	USA
EPI_ISL_414414	hCoV-19	2020-02-29	Australia
EPI_ISL_423639	hCoV-19	2020-03-21	England
EPI_ISL_418014	hCoV-19	2020-03-09	Portugal
EPI_ISL_421669	hCoV-19	2020-03-12	India
EPI_ISL_419704	hCoV-19	2020-03-18	USA
EPI_ISL_419958	hCoV-19	2020-03-22	Australia
EPI_ISL_417122	hCoV-19	2020-03-05	USA
EPI_ISL_419785	hCoV-19	2020-03-14	Australia
EPI_ISL_426171	hCoV-19	2020-02-05	South Korea
EPI_ISL_422039	hCoV-19	2020-03-24	Wales
EPI_ISL_417538	hCoV-19	2020-03-17	Iceland
EPI_ISL_416657	hCoV-19	2020-03-11	USA
EPI_ISL_423798	hCoV-19	2020-03-23	England
EPI_ISL_420796	hCoV-19	2020-02-29	USA
EPI_ISL_421357	hCoV-19	2020-03-17	USA
EPI_ISL_422559	hCoV-19	2020-03-22	USA
EPI_ISL_417188	hCoV-19	2020-02-08	Hong Kong
EPI_ISL_419604	hCoV-19	2020-03-15	Luxembourg
EPI_ISL_416456	hCoV-19	2020-03-06	USA
EPI_ISL_422920	hCoV-19	2020-03-19	Netherlands
EPI_ISL_424414	hCoV-19	2020-03-19	Iceland
EPI_ISL_425309	hCoV-19	2020-03-30	England
EPI_ISL_417390	hCoV-19	2020-03-08	Australia
EPI_ISL_413999	hCoV-19	2020-02-27	Switzerland
EPI_ISL_419222	hCoV-19	2020-02-11	Hong Kong
EPI_ISL_421759	hCoV-19	2020-03-17	Luxembourg
EPI_ISL_417201	hCoV-19	2020-03-21	USA
EPI_ISL_422516	hCoV-19	2020-03-20	USA
EPI_ISL_415485	hCoV-19	2020-03-12	Netherlands
EPI_ISL_424492	hCoV-19	2020-03-21	Iceland
EPI_ISL_414510	hCoV-19	2020-02-02	China
EPI_ISL_423074	hCoV-19	2020-03-24	England
EPI_ISL_424890	hCoV-19	2020-03-07	USA
EPI_ISL_425335	hCoV-19	2020-03-28	England
EPI_ISL_416662	hCoV-19	2020-03-12	USA
EPI_ISL_424525	hCoV-19	2020-03-21	Iceland
EPI_ISL_419585	hCoV-19	2020-03-14	Luxembourg
EPI_ISL_416665	hCoV-19	2020-03-12	USA
EPI_ISL_420746	hCoV-19	2020-03-25	England
EPI_ISL_418987	hCoV-19	2020-03-01	Belgium
EPI_ISL_417621	hCoV-19	2020-03-18	Iceland
EPI_ISL_418182	hCoV-19	2020-03-12	Spain
EPI_ISL_418824	hCoV-19	2020-03-03	Canada
EPI_ISL_426299	hCoV-19	2020-03-28	USA
EPI_ISL_423113	hCoV-19	2020-03-24	England
EPI_ISL_420151	hCoV-19	2020-03-17	Norway
EPI_ISL_417158	hCoV-19	2020-02-28	USA
EPI_ISL_417967	hCoV-19	2020-03-12	Spain
EPI_ISL_424391	hCoV-19	2020-03-19	Iceland
