name,date,location,area
EPI_ISL_423438,2020-03-30,United Kingdom,England
EPI_ISL_422939,2020-03-24,Netherlands,Zuid Holland
EPI_ISL_421461,2020-03-20,Portugal,
EPI_ISL_414631,2020-03-04,France,Grand-Est
EPI_ISL_423815,2020-03-23,United Kingdom,England
EPI_ISL_417634,2020-03-18,Iceland,Reykjavik
EPI_ISL_417064,2020-01-21,Hong Kong,
EPI_ISL_416384,2020-02-04,China,Shanghai
EPI_ISL_419170,2020-03-21,France,ARA
EPI_ISL_424605,2020-03-27,Iceland,Reykjavik
EPI_ISL_418692,2020-03-17,United Kingdom,England
EPI_ISL_419939,2020-03-21,Australia,Victoria
EPI_ISL_416505,2020-03-02,France,Bretagne
EPI_ISL_420130,2020-03-18,Spain,Comunitat Valenciana
EPI_ISL_425126,2020-03-18,Germany,Duesseldorf
EPI_ISL_425548,2020-03-22,England,
EPI_ISL_419917,2020-03-20,Australia,Victoria
EPI_ISL_423667,2020-03-20,United Kingdom,England
EPI_ISL_418673,2020-03-16,United Kingdom,England
EPI_ISL_418664,2020-03-22,Belgium,Liège
EPI_ISL_425820,2020-03-11,Scotland,
EPI_ISL_420625,2020-03-24,France,ARA
EPI_ISL_417625,2020-03-18,Iceland,Reykjavik
EPI_ISL_418583,2020-03-10,Ireland,Dublin
EPI_ISL_421177,2020-03-27,Spain,Madrid
EPI_ISL_420876,2020-03-24,Australia,Victoria
EPI_ISL_416042,2020-01-26,China,Hangzhou
EPI_ISL_418686,2020-03-17,United Kingdom,England
EPI_ISL_425688,2020-03-17,Scotland,
EPI_ISL_418419,2020-03-16,France,ARA
EPI_ISL_420406,2020-03-24,Belgium,Confontaine
EPI_ISL_417819,2020-03-15,Iceland,Reykjavik
EPI_ISL_419990,2020-03-23,Australia,Victoria
EPI_ISL_422167,2020-03-27,United Kingdom,Wales
EPI_ISL_424531,2020-03-20,Iceland,Reykjavik
EPI_ISL_423704,2020-03-23,United Kingdom,England
EPI_ISL_423804,2020-03-24,United Kingdom,England
EPI_ISL_418422,2020-03-17,France,ARA
EPI_ISL_423241,2020-03-24,United Kingdom,England
EPI_ISL_425948,2020-03-26,Scotland,
EPI_ISL_421877,2020-03-27,United Kingdom,England
EPI_ISL_415630,2020-03-09,United Kingdom,Scotland
EPI_ISL_420221,2020-03-29,England,South Yorkshire
EPI_ISL_424575,2020-03-28,Iceland,Reykjavik
EPI_ISL_423928,2020-03-19,United Kingdom,England
EPI_ISL_417622,2020-03-18,Iceland,Reykjavik
EPI_ISL_423170,2020-03-24,United Kingdom,England
EPI_ISL_420064,2020-03-23,France,Ile de France
EPI_ISL_424567,2020-03-28,Iceland,Reykjavik
EPI_ISL_423829,2020-03-23,United Kingdom,England
EPI_ISL_420188,2020-03-27,England,South Yorkshire
EPI_ISL_423761,2020-03-23,United Kingdom,England
EPI_ISL_413854,2020-01-30,China,Guangdong
EPI_ISL_423591,2020-04-02,United Kingdom,England
EPI_ISL_418817,2020-03-13,Canada,British Columbia
EPI_ISL_426013,2020-04-01,Scotland,
EPI_ISL_417796,2020-03-13,Iceland,Reykjavik
EPI_ISL_422009,2020-04-02,United Kingdom,England
EPI_ISL_420322,2020-03-05,Belgium,Elsene
EPI_ISL_414641,2020-03-05,Finland,
EPI_ISL_420259,2020-03-24,England,South Yorkshire
EPI_ISL_418349,2020-03-07,Canada,Ontario
EPI_ISL_420728,2020-03-28,United Kingdom,England
EPI_ISL_423358,2020-03-28,United Kingdom,England
EPI_ISL_425849,2020-03-14,Scotland,
