dataset,phylo_prec,phylo_rec,phylo_f1,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
SIR01_sl1000_mr075_nv10_12,0.947,0.6,0.735,0.833,0.833,0.833,0.8,0.8,0.8,0.833,0.833,0.833
SEIR01_sl500_mr025_nv10_11,0.786,0.647,0.71,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824
SIR003_sl250_mr05_nv10_18,0.733,0.407,0.524,0.643,0.667,0.655,0.607,0.63,0.618,0.448,0.481,0.464
SIR003_sl1000_mr05_nv10_12,0.976,0.727,0.833,0.782,0.782,0.782,0.8,0.8,0.8,0.836,0.836,0.836
SIR003_sl1000_mr05_nv5_15,1,0.452,0.622,0.742,0.742,0.742,0.774,0.774,0.774,0.758,0.758,0.758
SIR003_sl1000_mr025_nv10_16,0.875,0.412,0.56,0.647,0.647,0.647,0.667,0.706,0.686,0.611,0.647,0.629
SEIR01_sl1000_mr0125_nv10_20,0.913,0.84,0.875,0.88,0.88,0.88,0.84,0.84,0.84,0.885,0.92,0.902
SIR01_sl500_mr15_nv10_10,0.5,0.231,0.316,0.385,0.385,0.385,0.462,0.462,0.462,0.538,0.538,0.538
SIR003_sl250_mr05_nv10_7,0.545,0.391,0.456,0.412,0.457,0.433,0.5,0.565,0.531,0.385,0.435,0.408
SEIR01_sl1000_mr025_nv5_17,0.8,0.364,0.5,0.818,0.818,0.818,0.727,0.727,0.727,0.909,0.909,0.909
SEIR01_sl500_mr025_nv10_17,0.667,0.333,0.444,0.667,0.667,0.667,0.286,0.333,0.308,0.286,0.333,0.308
SIR003_sl1000_mr05_nv10_10,1,0.769,0.87,0.923,0.923,0.923,0.923,0.923,0.923,0.846,0.846,0.846
SIR003_sl1000_mr05_nv5_3,1,0.375,0.545,0.625,0.625,0.625,0.75,0.75,0.75,0.75,0.75,0.75
SEIR015_sl1000_mr025_nv10_5,0.885,0.479,0.622,0.688,0.688,0.688,0.72,0.75,0.735,0.875,0.875,0.875
SEIR01_sl1000_mr025_nv10_19,0.919,0.576,0.708,0.738,0.763,0.75,0.661,0.695,0.678,0.758,0.797,0.777
SEIR01_sl1000_mr025_nv10_3,0.943,0.673,0.786,0.796,0.796,0.796,0.804,0.837,0.82,0.86,0.878,0.869
SIR003_sl1000_mr025_nv10_15,0.867,0.542,0.667,0.542,0.542,0.542,0.667,0.667,0.667,0.708,0.708,0.708
SIR003_sl1000_mr05_nv20_7,0.778,0.583,0.667,0.75,0.75,0.75,0.692,0.75,0.72,0.615,0.667,0.64
SEIR015_sl1000_mr025_nv20_20,0.75,0.474,0.581,0.579,0.579,0.579,0.632,0.632,0.632,0.684,0.684,0.684
SEIR01_sl1000_mr05_nv10_4,0.778,0.636,0.7,0.667,0.727,0.696,0.667,0.727,0.696,0.667,0.727,0.696
SEIR015_sl1000_mr025_nv10_14,0.818,0.36,0.5,0.63,0.68,0.654,0.467,0.56,0.509,0.724,0.84,0.778
SEIR015_sl1000_mr025_nv20_8,0.736,0.582,0.65,0.582,0.687,0.63,0.554,0.687,0.613,0.637,0.761,0.694
SEIR015_sl1000_mr0125_nv10_5,0.688,0.216,0.328,0.373,0.373,0.373,0.333,0.333,0.333,0.902,0.902,0.902
SEIR015_sl500_mr025_nv10_4,0.656,0.512,0.575,0.583,0.683,0.629,0.519,0.659,0.581,0.68,0.829,0.747
SIR01_sl1000_mr15_nv5_18,1,0.444,0.615,0.889,0.889,0.889,0.778,0.778,0.778,0.778,0.778,0.778
SEIR015_sl1000_mr05_nv10_20,0.429,0.146,0.218,0.235,0.293,0.261,0.275,0.341,0.304,0.5,0.61,0.549
SIR003_sl1000_mr05_nv10_20,1,0.222,0.364,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444
SEIR01_sl1000_mr025_nv5_4,0.897,0.52,0.658,0.7,0.7,0.7,0.7,0.7,0.7,0.76,0.76,0.76
SIR003_sl1000_mr1_nv10_14,0.952,0.556,0.702,0.778,0.778,0.778,0.75,0.75,0.75,0.778,0.778,0.778
SEIR015_sl1000_mr025_nv5_19,0.5,0.455,0.476,0.333,0.455,0.385,0.312,0.455,0.37,0.333,0.455,0.385
SEIR01_sl1000_mr025_nv5_19,0.976,0.69,0.808,0.879,0.879,0.879,0.845,0.845,0.845,0.948,0.948,0.948
SEIR015_sl500_mr025_nv10_5,0.889,0.571,0.696,0.933,1,0.966,0.688,0.786,0.733,0.867,0.929,0.897
SEIR015_sl1000_mr05_nv10_8,0.875,0.583,0.7,0.744,0.806,0.773,0.707,0.806,0.753,0.821,0.889,0.853
SIR01_sl1000_mr15_nv10_1,0.862,0.397,0.543,0.625,0.635,0.63,0.554,0.571,0.562,0.636,0.667,0.651
SIR003_sl1000_mr1_nv10_19,1,0.484,0.653,0.75,0.75,0.75,0.672,0.672,0.672,0.672,0.672,0.672
SIR003_sl1000_mr05_nv20_8,0.875,0.519,0.651,0.667,0.667,0.667,0.593,0.593,0.593,0.63,0.63,0.63
SEIR01_sl500_mr025_nv10_13,0.833,0.5,0.625,0.667,0.7,0.683,0.714,0.75,0.732,0.667,0.7,0.683
SEIR01_sl1000_mr0125_nv10_19,0.917,0.733,0.815,0.806,0.833,0.82,0.839,0.867,0.852,0.839,0.867,0.852
SIR003_sl500_mr05_nv10_20,1,0.375,0.545,0.5,0.5,0.5,0.625,0.625,0.625,0.625,0.625,0.625
