dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1
SEIR01_sl1000_mr0125_nv10_17,0.833,0.833,0.833,0.833,0.833,0.833
SEIR01_sl1000_mr0125_nv10_18,0.881,0.822,0.851,0.87,0.889,0.879
SEIR01_sl1000_mr0125_nv10_19,0.926,0.833,0.877,0.903,0.933,0.918
SEIR01_sl1000_mr0125_nv10_2,0.923,0.923,0.923,0.923,0.923,0.923
SEIR01_sl1000_mr0125_nv10_20,0.857,0.96,0.906,0.852,0.92,0.885
SEIR01_sl1000_mr0125_nv10_3,0.889,0.842,0.865,0.895,0.895,0.895
SEIR01_sl1000_mr0125_nv10_4,0.895,0.708,0.791,0.833,0.833,0.833
SEIR01_sl1000_mr0125_nv10_5,0.875,0.894,0.884,0.875,0.894,0.884
SEIR01_sl1000_mr0125_nv10_6,0.929,0.812,0.867,0.917,0.917,0.917
SEIR01_sl1000_mr0125_nv10_7,0.973,0.923,0.947,0.949,0.949,0.949
SEIR01_sl1000_mr0125_nv10_8,0.667,0.667,0.667,0.667,0.667,0.667
SEIR01_sl1000_mr0125_nv10_9,0.913,0.894,0.903,0.917,0.936,0.926
SEIR01_sl1000_mr025_nv10_1,0.885,0.821,0.852,0.893,0.893,0.893
SEIR01_sl1000_mr025_nv10_10,0.778,0.778,0.778,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_11,0.882,0.857,0.87,0.865,0.914,0.889
SEIR01_sl1000_mr025_nv10_12,0.667,0.75,0.706,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv10_13,0.812,0.65,0.722,0.857,0.9,0.878
SEIR01_sl1000_mr025_nv10_14,0.886,0.912,0.899,0.886,0.912,0.899
SEIR01_sl1000_mr025_nv10_15,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv10_16,0.923,0.857,0.889,0.907,0.929,0.918
SEIR01_sl1000_mr025_nv10_17,0.857,0.667,0.75,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_18,0.8,0.889,0.842,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_19,0.778,0.712,0.743,0.758,0.797,0.777
SEIR01_sl1000_mr025_nv10_2,0.913,0.955,0.933,0.913,0.955,0.933
SEIR01_sl1000_mr025_nv10_20,0.824,0.824,0.824,0.824,0.824,0.824
SEIR01_sl1000_mr025_nv10_3,0.84,0.857,0.848,0.84,0.857,0.848
SEIR01_sl1000_mr025_nv10_4,0.894,0.808,0.848,0.906,0.923,0.914
SEIR01_sl1000_mr025_nv10_5,0.95,0.864,0.905,0.909,0.909,0.909
SEIR01_sl1000_mr025_nv10_6,0.75,0.857,0.8,0.857,0.857,0.857
SEIR01_sl1000_mr025_nv10_7,0.763,0.725,0.744,0.806,0.725,0.763
SEIR01_sl1000_mr025_nv10_8,0.88,0.815,0.846,0.815,0.815,0.815
SEIR01_sl1000_mr025_nv10_9,0.897,0.745,0.814,0.894,0.894,0.894
SEIR01_sl1000_mr025_nv20_1,0.912,0.969,0.939,0.912,0.969,0.939
SEIR01_sl1000_mr025_nv20_10,0.857,0.667,0.75,0.667,0.667,0.667
SEIR01_sl1000_mr025_nv20_11,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv20_12,0.842,0.889,0.865,0.889,0.889,0.889
SEIR01_sl1000_mr025_nv20_13,0.873,0.828,0.85,0.879,0.879,0.879
SEIR01_sl1000_mr025_nv20_14,0.786,0.846,0.815,0.857,0.923,0.889
SEIR01_sl1000_mr025_nv20_15,0.917,0.957,0.936,0.957,0.957,0.957
SEIR01_sl1000_mr025_nv20_16,0.545,0.857,0.667,0.6,0.857,0.706
SEIR01_sl1000_mr025_nv20_17,0.88,0.88,0.88,0.88,0.88,0.88
SEIR01_sl1000_mr025_nv20_18,0.885,0.885,0.885,0.885,0.885,0.885
SEIR01_sl1000_mr025_nv20_19,0.926,0.943,0.935,0.943,0.943,0.943
SEIR01_sl1000_mr025_nv20_2,0.907,0.929,0.918,0.907,0.929,0.918
SEIR01_sl1000_mr025_nv20_20,0.889,0.774,0.828,0.875,0.903,0.889
SEIR01_sl1000_mr025_nv20_3,0.826,0.905,0.864,0.864,0.905,0.884
SEIR01_sl1000_mr025_nv20_4,0.75,0.75,0.75,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv20_5,0.875,0.848,0.862,0.848,0.848,0.848
SEIR01_sl1000_mr025_nv20_6,0.917,1,0.957,0.917,1,0.957
SEIR01_sl1000_mr025_nv20_7,0.882,0.882,0.882,0.882,0.882,0.882
SEIR01_sl1000_mr025_nv20_8,0.6,0.6,0.6,0.6,0.6,0.6
SEIR01_sl1000_mr025_nv20_9,0.923,1,0.96,1,1,1
SEIR01_sl1000_mr025_nv5_1,0.824,0.683,0.747,0.756,0.756,0.756
SEIR01_sl1000_mr025_nv5_10,0.92,0.697,0.793,0.824,0.848,0.836
SEIR01_sl1000_mr025_nv5_11,0.765,0.684,0.722,0.75,0.789,0.769
SEIR01_sl1000_mr025_nv5_12,0.824,0.737,0.778,0.842,0.842,0.842
SEIR01_sl1000_mr025_nv5_13,0.917,0.917,0.917,0.917,0.917,0.917
SEIR01_sl1000_mr025_nv5_14,0.864,0.95,0.905,0.905,0.95,0.927
SEIR01_sl1000_mr025_nv5_15,0.731,0.704,0.717,0.724,0.778,0.75
SEIR01_sl1000_mr025_nv5_16,0.944,0.944,0.944,0.944,0.944,0.944
SEIR01_sl1000_mr025_nv5_17,0.909,0.909,0.909,0.909,0.909,0.909
SEIR01_sl1000_mr025_nv5_18,0.821,0.681,0.744,0.796,0.83,0.812
SEIR01_sl1000_mr025_nv5_19,0.948,0.948,0.948,0.948,0.948,0.948
SEIR01_sl1000_mr025_nv5_2,0.75,0.562,0.643,0.647,0.688,0.667
SEIR01_sl1000_mr025_nv5_20,0.652,0.625,0.638,0.625,0.625,0.625
SEIR01_sl1000_mr025_nv5_3,0.75,0.9,0.818,0.727,0.8,0.762
