dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1
SEIR01_sl1000_mr0125_nv10_3,0.872,0.895,0.883,0.895,0.895,0.895
SEIR01_sl1000_mr0125_nv10_4,0.833,0.833,0.833,0.833,0.833,0.833
SEIR01_sl1000_mr0125_nv10_5,0.875,0.894,0.884,0.875,0.894,0.884
SEIR01_sl1000_mr0125_nv10_6,0.854,0.854,0.854,0.917,0.917,0.917
SEIR01_sl1000_mr0125_nv10_7,0.872,0.872,0.872,0.949,0.949,0.949
SEIR01_sl1000_mr0125_nv10_8,0.667,0.667,0.667,0.667,0.667,0.667
SEIR01_sl1000_mr0125_nv10_9,0.938,0.957,0.947,0.917,0.936,0.926
SEIR01_sl1000_mr025_nv10_1,0.893,0.893,0.893,0.893,0.893,0.893
SEIR01_sl1000_mr025_nv10_10,0.778,0.778,0.778,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_11,0.865,0.914,0.889,0.865,0.914,0.889
SEIR01_sl1000_mr025_nv10_12,0.625,0.625,0.625,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv10_13,0.857,0.9,0.878,0.857,0.9,0.878
SEIR01_sl1000_mr025_nv10_14,0.886,0.912,0.899,0.886,0.912,0.899
SEIR01_sl1000_mr025_nv10_15,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv10_16,0.884,0.905,0.894,0.907,0.929,0.918
SEIR01_sl1000_mr025_nv10_17,0.711,0.711,0.711,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_18,0.778,0.778,0.778,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_19,0.774,0.814,0.793,0.758,0.797,0.777
SEIR01_sl1000_mr025_nv10_2,0.913,0.955,0.933,0.913,0.955,0.933
SEIR01_sl1000_mr025_nv10_20,0.824,0.824,0.824,0.824,0.824,0.824
SEIR01_sl1000_mr025_nv10_3,0.843,0.878,0.86,0.84,0.857,0.848
SEIR01_sl1000_mr025_nv10_4,0.887,0.904,0.895,0.906,0.923,0.914
SEIR01_sl1000_mr025_nv10_5,0.932,0.932,0.932,0.909,0.909,0.909
SEIR01_sl1000_mr025_nv10_6,0.714,0.714,0.714,0.857,0.857,0.857
SEIR01_sl1000_mr025_nv10_7,0.725,0.725,0.725,0.806,0.725,0.763
SEIR01_sl1000_mr025_nv10_8,0.75,0.778,0.764,0.815,0.815,0.815
SEIR01_sl1000_mr025_nv10_9,0.872,0.872,0.872,0.894,0.894,0.894
SEIR01_sl1000_mr025_nv20_1,0.912,0.969,0.939,0.912,0.969,0.939
SEIR01_sl1000_mr025_nv20_10,0.667,0.667,0.667,0.667,0.667,0.667
SEIR01_sl1000_mr025_nv20_11,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv20_12,0.889,0.889,0.889,0.889,0.889,0.889
SEIR01_sl1000_mr025_nv20_13,0.879,0.879,0.879,0.879,0.879,0.879
SEIR01_sl1000_mr025_nv20_14,0.786,0.846,0.815,0.857,0.923,0.889
SEIR01_sl1000_mr025_nv20_15,0.957,0.957,0.957,0.957,0.957,0.957
SEIR01_sl1000_mr025_nv20_16,0.556,0.714,0.625,0.6,0.857,0.706
SEIR01_sl1000_mr025_nv20_17,0.88,0.88,0.88,0.88,0.88,0.88
SEIR01_sl1000_mr025_nv20_18,0.885,0.885,0.885,0.885,0.885,0.885
SEIR01_sl1000_mr025_nv20_19,0.943,0.943,0.943,0.943,0.943,0.943
SEIR01_sl1000_mr025_nv20_2,0.907,0.929,0.918,0.907,0.929,0.918
SEIR01_sl1000_mr025_nv20_20,0.875,0.903,0.889,0.875,0.903,0.889
SEIR01_sl1000_mr025_nv20_3,0.864,0.905,0.884,0.864,0.905,0.884
SEIR01_sl1000_mr025_nv20_4,0.75,0.75,0.75,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv20_5,0.794,0.818,0.806,0.848,0.848,0.848
SEIR01_sl1000_mr025_nv20_6,0.917,1,0.957,0.917,1,0.957
SEIR01_sl1000_mr025_nv20_7,0.882,0.882,0.882,0.882,0.882,0.882
SEIR01_sl1000_mr025_nv20_8,0.6,0.6,0.6,0.6,0.6,0.6
SEIR01_sl1000_mr025_nv20_9,0.917,0.917,0.917,1,1,1
SEIR01_sl1000_mr025_nv5_1,0.756,0.756,0.756,0.756,0.756,0.756
SEIR01_sl1000_mr025_nv5_10,0.629,0.667,0.647,0.824,0.848,0.836
SEIR01_sl1000_mr025_nv5_11,0.75,0.789,0.769,0.75,0.789,0.769
SEIR01_sl1000_mr025_nv5_12,0.842,0.842,0.842,0.842,0.842,0.842
SEIR01_sl1000_mr025_nv5_13,0.769,0.833,0.8,0.917,0.917,0.917
SEIR01_sl1000_mr025_nv5_14,0.818,0.9,0.857,0.905,0.95,0.927
SEIR01_sl1000_mr025_nv5_15,0.714,0.741,0.727,0.724,0.778,0.75
SEIR01_sl1000_mr025_nv5_16,0.789,0.833,0.811,0.944,0.944,0.944
SEIR01_sl1000_mr025_nv5_17,0.75,0.818,0.783,0.909,0.909,0.909
SEIR01_sl1000_mr025_nv5_18,0.7,0.745,0.722,0.796,0.83,0.812
SEIR01_sl1000_mr025_nv5_19,0.915,0.931,0.923,0.948,0.948,0.948
SEIR01_sl1000_mr025_nv5_2,0.562,0.562,0.562,0.647,0.688,0.667
SEIR01_sl1000_mr025_nv5_20,0.625,0.625,0.625,0.625,0.625,0.625
SEIR01_sl1000_mr025_nv5_3,0.727,0.8,0.762,0.727,0.8,0.762
SEIR01_sl1000_mr025_nv5_4,0.76,0.76,0.76,0.76,0.76,0.76
SEIR01_sl1000_mr025_nv5_5,0.704,0.745,0.724,0.722,0.765,0.743
SEIR01_sl1000_mr025_nv5_6,0.75,0.75,0.75,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv5_7,0.9,0.9,0.9,0.9,0.9,0.9
SEIR01_sl1000_mr025_nv5_8,0.913,0.913,0.913,0.913,0.913,0.913
SEIR01_sl1000_mr025_nv5_9,0.778,0.778,0.778,0.778,0.778,0.778
SEIR01_sl1000_mr05_nv10_1,0.769,0.769,0.769,0.923,0.923,0.923
SEIR01_sl1000_mr05_nv10_10,0.857,0.857,0.857,0.857,0.857,0.857
SEIR01_sl1000_mr05_nv10_11,0.686,0.75,0.716,0.794,0.844,0.818
SEIR01_sl1000_mr05_nv10_12,0.898,0.914,0.906,0.881,0.897,0.889
SEIR01_sl1000_mr05_nv10_13,0.778,0.875,0.824,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_14,0.925,0.949,0.937,0.85,0.872,0.861
SEIR01_sl1000_mr05_nv10_15,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_16,0.955,0.955,0.955,0.955,0.955,0.955
SEIR01_sl1000_mr05_nv10_17,0.957,1,0.978,0.87,0.909,0.889
SEIR01_sl1000_mr05_nv10_18,0.763,0.804,0.783,0.828,0.857,0.842
SEIR01_sl1000_mr05_nv10_19,0.286,0.286,0.286,0.286,0.286,0.286
SEIR01_sl1000_mr05_nv10_2,0.889,1,0.941,0.889,1,0.941
SEIR01_sl1000_mr05_nv10_20,0.87,0.904,0.887,0.87,0.904,0.887
SEIR01_sl1000_mr05_nv10_3,0.808,0.84,0.824,0.92,0.92,0.92
SEIR01_sl1000_mr05_nv10_4,0.667,0.727,0.696,0.667,0.727,0.696
SEIR01_sl1000_mr05_nv10_5,0.889,0.889,0.889,0.889,0.889,0.889
SEIR01_sl1000_mr05_nv10_6,0.9,0.9,0.9,0.9,0.9,0.9
SEIR01_sl1000_mr05_nv10_7,0.792,0.826,0.809,0.792,0.826,0.809
SEIR01_sl1000_mr05_nv10_8,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_9,0.893,0.962,0.926,0.926,0.962,0.943
SEIR01_sl250_mr025_nv10_1,0.593,0.711,0.646,0.583,0.622,0.602
SEIR01_sl250_mr025_nv10_10,0.778,0.824,0.8,0.778,0.824,0.8
SEIR01_sl250_mr025_nv10_11,0.65,0.812,0.722,0.684,0.812,0.743
SEIR01_sl250_mr025_nv10_12,0.771,0.86,0.813,0.792,0.884,0.835
SEIR01_sl250_mr025_nv10_13,0.429,0.5,0.462,0.429,0.5,0.462
SEIR01_sl250_mr025_nv10_14,0.481,0.543,0.51,0.532,0.543,0.538
SEIR01_sl250_mr025_nv10_15,0.6,0.857,0.706,0.7,1,0.824
SEIR01_sl250_mr025_nv10_16,0.46,0.63,0.532,0.469,0.652,0.545
SEIR01_sl250_mr025_nv10_17,0.231,0.375,0.286,0.462,0.75,0.571
SEIR01_sl250_mr025_nv10_18,0.632,0.75,0.686,0.676,0.781,0.725
SEIR01_sl250_mr025_nv10_19,0.714,0.833,0.769,0.714,0.833,0.769
SEIR01_sl250_mr025_nv10_2,0.588,0.714,0.645,0.625,0.714,0.667
SEIR01_sl250_mr025_nv10_20,0.571,0.667,0.615,0.65,0.722,0.684
SEIR01_sl250_mr025_nv10_3,0.71,0.815,0.759,0.71,0.815,0.759
SEIR01_sl250_mr025_nv10_4,0.812,0.929,0.867,0.812,0.929,0.867
SEIR01_sl250_mr025_nv10_5,0.653,0.78,0.711,0.633,0.756,0.689
SEIR01_sl250_mr025_nv10_6,0.567,0.773,0.654,0.607,0.773,0.68
SEIR01_sl250_mr025_nv10_7,0.706,0.857,0.774,0.706,0.857,0.774
SEIR01_sl250_mr025_nv10_8,0.634,0.765,0.693,0.634,0.765,0.693
SEIR01_sl250_mr025_nv10_9,0.708,0.836,0.767,0.718,0.836,0.773
SEIR01_sl500_mr025_nv10_1,0.455,0.5,0.476,0.455,0.5,0.476
SEIR01_sl500_mr025_nv10_10,0.688,0.786,0.733,0.688,0.786,0.733
SEIR01_sl500_mr025_nv10_11,0.667,0.706,0.686,0.824,0.824,0.824
SEIR01_sl500_mr025_nv10_12,0.889,0.941,0.914,0.889,0.941,0.914
SEIR01_sl500_mr025_nv10_13,0.636,0.7,0.667,0.714,0.75,0.732
SEIR01_sl500_mr025_nv10_14,0.667,0.667,0.667,0.667,0.667,0.667
SEIR01_sl500_mr025_nv10_15,0.8,0.828,0.814,0.8,0.828,0.814
SEIR01_sl500_mr025_nv10_16,0.75,0.8,0.774,0.75,0.8,0.774
SEIR01_sl500_mr025_nv10_17,0.286,0.333,0.308,0.571,0.667,0.615
SEIR01_sl500_mr025_nv10_18,0.333,0.333,0.333,0.333,0.333,0.333
SEIR01_sl500_mr025_nv10_19,0.5,0.625,0.556,0.545,0.75,0.632
SEIR01_sl500_mr025_nv10_2,0.5,0.5,0.5,0.5,0.5,0.5
SEIR01_sl500_mr025_nv10_20,0.781,0.781,0.781,0.781,0.781,0.781
SEIR01_sl500_mr025_nv10_3,0.75,0.857,0.8,0.792,0.905,0.844
SEIR01_sl500_mr025_nv10_4,0.714,0.714,0.714,0.625,0.714,0.667
SEIR01_sl500_mr025_nv10_5,0.8,0.8,0.8,0.667,0.8,0.727
SEIR01_sl500_mr025_nv10_6,0.877,0.943,0.909,0.86,0.925,0.891
SEIR01_sl500_mr025_nv10_7,0.757,0.824,0.789,0.757,0.824,0.789
SEIR01_sl500_mr025_nv10_8,0.636,0.875,0.737,0.737,0.875,0.8
SEIR01_sl500_mr025_nv10_9,0.778,0.778,0.778,0.778,0.778,0.778
SIR003_sl1000_mr025_nv10_1,0.714,0.714,0.714,0.786,0.786,0.786
SIR003_sl1000_mr025_nv10_10,0.769,0.769,0.769,0.692,0.692,0.692
SIR003_sl1000_mr025_nv10_11,0.613,0.633,0.623,0.581,0.6,0.59
SIR003_sl1000_mr025_nv10_12,0.765,0.796,0.78,0.765,0.796,0.78
SIR003_sl1000_mr025_nv10_13,0.455,0.455,0.455,0.545,0.545,0.545
SIR003_sl1000_mr025_nv10_14,0.8,0.8,0.8,0.8,0.8,0.8
SIR003_sl1000_mr025_nv10_15,0.625,0.625,0.625,0.708,0.708,0.708
SIR003_sl1000_mr025_nv10_16,0.526,0.588,0.556,0.611,0.647,0.629
SIR003_sl1000_mr025_nv10_17,0.826,0.826,0.826,0.826,0.826,0.826
SIR003_sl1000_mr025_nv10_18,1,1,1,1,1,1
SIR003_sl1000_mr025_nv10_19,0.577,0.625,0.6,0.68,0.708,0.694
SIR003_sl1000_mr025_nv10_2,0.737,0.737,0.737,0.75,0.789,0.769
SIR003_sl1000_mr025_nv10_20,0.6,0.667,0.632,0.667,0.667,0.667
SIR003_sl1000_mr025_nv10_3,0.741,0.769,0.755,1,0.731,0.844
SIR003_sl1000_mr025_nv10_4,0.71,0.71,0.71,0.71,0.71,0.71
SIR003_sl1000_mr025_nv10_5,0.857,0.857,0.857,0.714,0.714,0.714
SIR003_sl1000_mr025_nv10_6,0.609,0.609,0.609,0.652,0.652,0.652
SIR003_sl1000_mr025_nv10_7,0.562,0.562,0.562,0.625,0.625,0.625
SIR003_sl1000_mr025_nv10_8,0.867,0.867,0.867,0.867,0.867,0.867
SIR003_sl1000_mr025_nv10_9,0.655,0.679,0.667,0.679,0.679,0.679
SIR003_sl1000_mr05_nv10_1,0.556,0.588,0.571,0.706,0.706,0.706
SIR003_sl1000_mr05_nv10_10,0.786,0.846,0.815,0.846,0.846,0.846
SIR003_sl1000_mr05_nv10_11,0.6,0.6,0.6,0.629,0.629,0.629
SIR003_sl1000_mr05_nv10_12,0.836,0.836,0.836,0.836,0.836,0.836
SIR003_sl1000_mr05_nv10_13,0.768,0.768,0.768,0.768,0.768,0.768
SIR003_sl1000_mr05_nv10_14,0.818,0.9,0.857,1,1,1
SIR003_sl1000_mr05_nv10_15,0.846,0.846,0.846,0.923,0.923,0.923
SIR003_sl1000_mr05_nv10_16,0.769,0.8,0.784,0.64,0.64,0.64
SIR003_sl1000_mr05_nv10_17,0.643,0.643,0.643,0.75,0.429,0.545
SIR003_sl1000_mr05_nv10_18,0.625,0.652,0.638,0.696,0.696,0.696
