dataset,single,10,20,30,40,50,60,70,80,90,100
SEIR015_sl500_mr025_nv10_17,0.788,0.667,0.667,0.703,0.839,0.839,0.839,0.839,0.8,0.8,0.8
SEIR015_sl500_mr025_nv10_18,0.604,0.59,0.548,0.507,0.612,0.622,0.605,0.55,0.513,0.513,0.513
SEIR015_sl500_mr025_nv10_19,0.857,0.741,0.741,0.769,0.9,0.9,0.947,0.947,0.889,0.889,0.889
SEIR015_sl500_mr025_nv10_2,0.375,0.5,0.5,0.526,0.625,0.625,0.625,0.462,0.333,0.333,0.333
SEIR015_sl500_mr025_nv10_20,0.697,0.679,0.679,0.693,0.75,0.746,0.748,0.741,0.708,0.696,0.696
SEIR015_sl500_mr025_nv10_3,0.6,0.552,0.563,0.589,0.675,0.648,0.657,0.606,0.571,0.571,0.571
SEIR015_sl500_mr025_nv10_4,0.645,0.569,0.569,0.566,0.645,0.659,0.674,0.571,0.587,0.587,0.587
SEIR015_sl500_mr025_nv10_5,0.867,0.778,0.778,0.765,0.867,0.867,0.897,0.769,0.696,0.696,0.696
SEIR015_sl500_mr025_nv10_6,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769
SEIR015_sl500_mr025_nv10_7,0.448,0.511,0.497,0.503,0.534,0.579,0.566,0.529,0.531,0.536,0.536
SEIR015_sl500_mr025_nv10_8,0.631,0.52,0.534,0.567,0.648,0.662,0.672,0.587,0.576,0.576,0.576
SEIR015_sl500_mr025_nv10_9,0.667,0.714,0.714,0.741,0.692,0.692,0.636,0.667,0.7,0.7,0.7
SEIR01_sl1000_mr0125_nv10_1,0.703,0.698,0.698,0.667,0.684,0.703,0.722,0.688,0.71,0.71,0.71
SEIR01_sl1000_mr0125_nv10_10,0.87,0.803,0.79,0.797,0.844,0.865,0.851,0.825,0.821,0.821,0.821
SEIR01_sl1000_mr0125_nv10_11,0.846,0.857,0.857,0.857,0.889,0.923,0.923,0.833,0.833,0.833,0.833
SEIR01_sl1000_mr0125_nv10_12,0.2,0.4,0.4,0.429,0.222,0.25,0.286,0.286,0.286,0.286,0.286
SEIR01_sl1000_mr0125_nv10_13,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857
SEIR01_sl1000_mr0125_nv10_14,0.933,0.879,0.879,0.892,0.951,0.951,0.951,0.893,0.873,0.873,0.873
SEIR01_sl1000_mr0125_nv10_15,0.792,0.742,0.742,0.746,0.851,0.826,0.826,0.75,0.667,0.667,0.667
SEIR01_sl1000_mr0125_nv10_16,0.571,0.667,0.667,0.706,0.857,0.857,0.857,0.545,0.4,0.4,0.4
SEIR01_sl1000_mr0125_nv10_17,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833
SEIR01_sl1000_mr0125_nv10_18,0.796,0.808,0.808,0.792,0.804,0.822,0.841,0.871,0.871,0.871,0.871
SEIR01_sl1000_mr0125_nv10_19,0.852,0.841,0.841,0.853,0.915,0.915,0.915,0.877,0.836,0.836,0.836
SEIR01_sl1000_mr0125_nv10_2,0.846,0.8,0.8,0.814,0.923,0.923,0.923,0.826,0.773,0.773,0.773
SEIR01_sl1000_mr0125_nv10_20,0.92,0.923,0.923,0.923,0.923,0.941,0.939,0.939,0.939,0.939,0.939
SEIR01_sl1000_mr0125_nv10_3,0.842,0.773,0.773,0.795,0.842,0.865,0.849,0.765,0.727,0.727,0.727
SEIR01_sl1000_mr0125_nv10_4,0.792,0.759,0.764,0.741,0.826,0.773,0.791,0.791,0.791,0.791,0.791
SEIR01_sl1000_mr0125_nv10_5,0.821,0.846,0.846,0.863,0.875,0.884,0.894,0.876,0.837,0.837,0.837
SEIR01_sl1000_mr0125_nv10_6,0.763,0.767,0.78,0.761,0.837,0.872,0.901,0.775,0.759,0.759,0.759
SEIR01_sl1000_mr0125_nv10_7,0.897,0.841,0.841,0.871,0.937,0.949,0.949,0.873,0.824,0.824,0.824
SEIR01_sl1000_mr0125_nv10_8,0.5,0.571,0.571,0.615,0.615,0.667,0.545,0.545,0.4,0.4,0.4
SEIR01_sl1000_mr0125_nv10_9,0.821,0.829,0.829,0.876,0.926,0.925,0.913,0.857,0.815,0.815,0.815
SEIR01_sl1000_mr025_nv10_1,0.821,0.765,0.765,0.813,0.873,0.852,0.852,0.776,0.723,0.723,0.723
SEIR01_sl1000_mr025_nv10_10,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_11,0.833,0.786,0.786,0.795,0.845,0.857,0.857,0.825,0.806,0.806,0.806
SEIR01_sl1000_mr025_nv10_12,0.75,0.737,0.737,0.778,0.706,0.75,0.667,0.714,0.769,0.769,0.769
SEIR01_sl1000_mr025_nv10_13,0.488,0.621,0.593,0.588,0.769,0.757,0.722,0.516,0.467,0.467,0.467
SEIR01_sl1000_mr025_nv10_14,0.853,0.8,0.8,0.831,0.873,0.899,0.866,0.8,0.737,0.737,0.737
SEIR01_sl1000_mr025_nv10_15,0.7,0.727,0.727,0.727,0.762,0.8,0.8,0.667,0.667,0.667,0.667
SEIR01_sl1000_mr025_nv10_16,0.847,0.766,0.788,0.788,0.892,0.892,0.889,0.8,0.765,0.765,0.765
SEIR01_sl1000_mr025_nv10_17,0.711,0.703,0.692,0.699,0.697,0.738,0.723,0.734,0.701,0.701,0.701
