strain	date	division	division_exposure
EPI_ISL_463114	2020-05-08	Virginia	Virginia
EPI_ISL_463116	2020-05-08	Virginia	Virginia
EPI_ISL_463118	2020-05-08	Virginia	Virginia
EPI_ISL_463119	2020-05-08	Virginia	Virginia
EPI_ISL_463120	2020-05-08	Virginia	Virginia
EPI_ISL_467941	2020-05-04	Virginia	Virginia
EPI_ISL_463128	2020-05-08	Virginia	Virginia
EPI_ISL_463131	2020-05-11	Virginia	Virginia
EPI_ISL_463132	2020-05-12	Virginia	Virginia
EPI_ISL_463133	2020-05-12	Virginia	Virginia
EPI_ISL_463134	2020-05-13	Virginia	Virginia
EPI_ISL_463136	2020-05-13	Virginia	Virginia
EPI_ISL_467782	2020-04-16	Virginia	Virginia
EPI_ISL_467786	2020-04-18	Virginia	Virginia
EPI_ISL_467794	2020-04-21	Virginia	Virginia
EPI_ISL_467801	2020-04-22	Virginia	Virginia
EPI_ISL_477632	2020-04-25	Virginia	Virginia
EPI_ISL_477637	2020-04-28	Virginia	Virginia
EPI_ISL_477639	2020-04-29	Virginia	Virginia
EPI_ISL_477661	2020-05-03	Virginia	Virginia
EPI_ISL_477663	2020-05-04	Virginia	Virginia
EPI_ISL_477664	2020-05-05	Virginia	Virginia
EPI_ISL_477666	2020-05-05	Virginia	Virginia
EPI_ISL_477671	2020-05-05	Virginia	Virginia
EPI_ISL_485816	2020-05-24	Virginia	Virginia
EPI_ISL_485820	2020-05-29	Virginia	Virginia
EPI_ISL_485822	2020-05-29	Virginia	Virginia
EPI_ISL_485823	2020-05-29	Virginia	Virginia
EPI_ISL_485824	2020-05-29	Virginia	Virginia
EPI_ISL_485826	2020-05-29	Virginia	Virginia
EPI_ISL_485833	2020-03-11	Virginia	Virginia
EPI_ISL_485836	2020-03-13	Virginia	Virginia
EPI_ISL_485838	2020-03-12	Virginia	Virginia
EPI_ISL_485842	2020-03-12	Virginia	Virginia
EPI_ISL_485844	2020-03-12	Virginia	Virginia
EPI_ISL_485847	2020-03-14	Virginia	Virginia
EPI_ISL_485848	2020-03-15	Virginia	Virginia
EPI_ISL_485856	2020-03-18	Virginia	Virginia
EPI_ISL_485858	2020-03-18	Virginia	Virginia
EPI_ISL_485859	2020-03-18	Virginia	Virginia
EPI_ISL_485861	2020-03-17	Virginia	Virginia
EPI_ISL_485863	2020-03-18	Virginia	Virginia
EPI_ISL_485870	2020-03-17	Virginia	Virginia
EPI_ISL_424893	2020-03-08	Virginia	Virginia
EPI_ISL_424894	2020-03-08	Virginia	Virginia
EPI_ISL_491912	2020-03-25	Virginia	Virginia
EPI_ISL_491913	2020-03-25	Virginia	Virginia
EPI_ISL_491914	2020-03-26	Virginia	Virginia
EPI_ISL_491922	2020-04-03	Virginia	Virginia
EPI_ISL_491925	2020-04-06	Virginia	Virginia
EPI_ISL_463505	2020-04-30	Washington	Washington
EPI_ISL_417156	2020-02-28	Washington	Washington
EPI_ISL_463524	2020-05-01	Washington	Washington
EPI_ISL_463527	2020-05-03	Washington	Washington
EPI_ISL_417159	2020-02-29	Washington	Washington
EPI_ISL_417160	2020-02-29	Washington	Washington
EPI_ISL_463579	2020-04-29	Washington	Washington
EPI_ISL_463583	2020-05-02	Washington	Washington
EPI_ISL_463600	2020-05-04	Washington	Washington
EPI_ISL_463602	2020-05-04	Washington	Washington
EPI_ISL_463611	2020-05-04	Washington	Washington
EPI_ISL_463622	2020-05-04	Washington	Washington
EPI_ISL_463647	2020-05-04	Washington	Washington
EPI_ISL_463648	2020-05-04	Washington	Washington
EPI_ISL_463654	2020-05-06	Washington	Washington
EPI_ISL_463664	2020-05-05	Washington	Washington
EPI_ISL_463666	2020-05-05	Washington	Washington
EPI_ISL_463677	2020-05-06	Washington	Washington
EPI_ISL_463686	2020-05-06	Washington	Washington
EPI_ISL_463688	2020-05-06	Washington	Washington
EPI_ISL_463692	2020-05-07	Washington	Washington
EPI_ISL_463699	2020-05-07	Washington	Washington
EPI_ISL_463700	2020-05-07	Washington	Washington
EPI_ISL_430162	2020-03-13	Washington	Washington
EPI_ISL_430201	2020-03-04	Washington	Washington
EPI_ISL_430272	2020-02-28	Washington	Washington
EPI_ISL_430281	2020-02-29	Washington	Washington
EPI_ISL_430292	2020-02-24	Washington	Washington
EPI_ISL_430295	2020-02-25	Washington	Washington
EPI_ISL_430131	2020-02-22	Washington	Washington
EPI_ISL_430135	2020-02-29	Washington	Washington
EPI_ISL_434097	2020-04-01	Washington	Washington
EPI_ISL_434100	2020-04-04	Washington	Washington
EPI_ISL_434107	2020-04-01	Washington	Washington
EPI_ISL_434130	2020-03-28	Washington	Washington
EPI_ISL_417095	2020-02-28	Washington	Washington
EPI_ISL_417096	2020-02-27	Washington	Washington
EPI_ISL_434206	2020-04-01	Washington	Washington
EPI_ISL_417098	2020-02-29	Washington	Washington
EPI_ISL_434231	2020-04-06	Washington	Washington
EPI_ISL_417108	2020-02-29	Washington	Washington
EPI_ISL_438159	2020-04-20	Washington	Washington
EPI_ISL_438176	2020-04-18	Washington	Washington
EPI_ISL_438205	2020-04-20	Washington	Washington
EPI_ISL_438209	2020-04-21	Washington	Washington
EPI_ISL_449864	2020-04-08	Washington	Washington
EPI_ISL_416462	2020-02-24	Washington	Washington
EPI_ISL_449873	2020-04-10	Washington	Washington
EPI_ISL_449909	2020-04-13	Washington	Washington
EPI_ISL_449945	2020-04-14	Washington	Washington
EPI_ISL_449962	2020-04-15	Washington	Washington
EPI_ISL_417135	2020-02-22	Washington	Washington
EPI_ISL_463327	2020-04-20	Washington	Washington
EPI_ISL_463333	2020-04-22	Washington	Washington
EPI_ISL_463378	2020-04-22	Washington	Washington
EPI_ISL_417142	2020-02-29	Washington	Washington
EPI_ISL_417148	2020-02-28	Washington	Washington
EPI_ISL_463444	2020-05-01	Washington	Washington
EPI_ISL_417150	2020-02-28	Washington	Washington
EPI_ISL_463460	2020-05-01	Washington	Washington
EPI_ISL_463464	2020-05-01	Washington	Washington
EPI_ISL_417151	2020-02-29	Washington	Washington
EPI_ISL_463479	2020-04-28	Washington	Washington
EPI_ISL_461452	2020-05-29	Washington	Washington
EPI_ISL_461458	2020-05-29	Washington	Washington
EPI_ISL_461464	2020-05-29	Washington	Washington
EPI_ISL_461468	2020-05-29	Washington	Washington
EPI_ISL_461471	2020-05-29	Washington	Washington
EPI_ISL_422973	2020-03-17	Washington	Washington
EPI_ISL_422999	2020-03-18	Washington	Washington
EPI_ISL_477691	2020-03-20	Washington	Washington
EPI_ISL_424241	2020-03-21	Washington	Washington
EPI_ISL_424244	2020-03-22	Washington	Washington
EPI_ISL_424290	2020-03-23	Washington	Washington
EPI_ISL_426130	2020-03-24	Washington	Washington
EPI_ISL_485988	2020-03-30	Washington	Washington
EPI_ISL_477716	2020-03-30	Washington	Washington
EPI_ISL_485997	2020-03-30	Washington	Washington
EPI_ISL_486018	2020-03-30	Washington	Washington
EPI_ISL_486050	2020-03-29	Washington	Washington
EPI_ISL_491026	2020-03-27	Washington	Washington
EPI_ISL_427182	2020-03-26	Washington	Washington
EPI_ISL_429638	2020-04-07	Washington	Washington
EPI_ISL_429649	2020-04-02	Washington	Washington
EPI_ISL_430905	2020-04-05	Washington	Washington
EPI_ISL_476906	2020-03-12	Washington	Washington
EPI_ISL_430891	2020-03-12	Washington	Washington
EPI_ISL_430932	2020-04-07	Washington	Washington
EPI_ISL_430895	2020-03-13	Washington	Washington
EPI_ISL_430980	2020-04-03	Washington	Washington
EPI_ISL_461421	2020-04-05	Washington	Washington
EPI_ISL_416643	2020-03-11	Washington	Washington
EPI_ISL_416728	2020-03-13	Washington	Washington
EPI_ISL_417350	2020-03-12	Washington	Washington
EPI_ISL_418080	2020-03-15	Washington	Washington
EPI_ISL_418905	2020-03-16	Washington	Washington
EPI_ISL_414622	2020-03-08	Washington	Washington
EPI_ISL_404895	2020-01-19	Washington	Hubei
EPI_ISL_426451	2020-03-19	Washington	Washington
EPI_ISL_419555	2020-02-27	Washington	Washington
EPI_ISL_422459	2020-04-02	Wisconsin	Wisconsin
EPI_ISL_422461	2020-04-06	Iowa	Iowa
EPI_ISL_422462	2020-04-03	Iowa	Iowa
EPI_ISL_429844	2020-04-09	Iowa	Iowa
EPI_ISL_426160	2020-04-03	Iowa	Iowa
EPI_ISL_426161	2020-04-06	Iowa	Iowa
EPI_ISL_426159	2020-04-06	Minnesota	Minnesota
EPI_ISL_429845	2020-04-14	Iowa	Iowa
EPI_ISL_429846	2020-04-16	Iowa	Iowa
EPI_ISL_429847	2020-04-16	Iowa	Iowa
EPI_ISL_429848	2020-04-06	Iowa	Iowa
EPI_ISL_435394	2020-04-21	Iowa	Iowa
EPI_ISL_435397	2020-04-21	Iowa	Iowa
EPI_ISL_435398	2020-04-22	Iowa	Iowa
EPI_ISL_435399	2020-04-23	Iowa	Iowa
EPI_ISL_436895	2020-04-28	Wisconsin	Wisconsin
EPI_ISL_436896	2020-05-02	Wisconsin	Wisconsin
EPI_ISL_436900	2020-05-04	Iowa	Iowa
EPI_ISL_455569	2020-05-08	Wisconsin	Wisconsin
EPI_ISL_455571	2020-05-12	Wisconsin	Wisconsin
EPI_ISL_455572	2020-05-12	Wisconsin	Wisconsin
EPI_ISL_455578	2020-05-25	Wisconsin	Wisconsin
EPI_ISL_471147	2020-06-08	Wisconsin	Wisconsin
EPI_ISL_471153	2020-06-13	Wisconsin	Wisconsin
EPI_ISL_489919	2020-06-22	Wisconsin	Wisconsin
EPI_ISL_489923	2020-06-23	Wisconsin	Wisconsin
EPI_ISL_489937	2020-07-02	Wisconsin	Wisconsin
EPI_ISL_489938	2020-07-02	Wisconsin	Wisconsin
EPI_ISL_489939	2020-07-02	Wisconsin	Wisconsin
EPI_ISL_489940	2020-07-03	Wisconsin	Wisconsin
EPI_ISL_489941	2020-07-04	Wisconsin	Wisconsin
EPI_ISL_489942	2020-07-04	Wisconsin	Wisconsin
EPI_ISL_489943	2020-07-03	Wisconsin	Wisconsin
EPI_ISL_489945	2020-07-06	Wisconsin	Wisconsin
EPI_ISL_489949	2020-07-06	Wisconsin	Wisconsin
EPI_ISL_489950	2020-07-07	Wisconsin	Wisconsin
EPI_ISL_489951	2020-07-07	Wisconsin	Wisconsin
EPI_ISL_489953	2020-07-07	Wisconsin	Wisconsin
EPI_ISL_489954	2020-07-07	Wisconsin	Wisconsin
EPI_ISL_455574	2020-05-10	Wisconsin	Wisconsin
EPI_ISL_455581	2020-05-24	Wisconsin	Wisconsin
EPI_ISL_417200	2020-03-21	Wisconsin	Wisconsin
EPI_ISL_425167	2020-03-31	Wisconsin	Wisconsin
EPI_ISL_427429	2020-04-07	Wisconsin	Wisconsin
EPI_ISL_427430	2020-04-11	Illinois	Illinois
EPI_ISL_427434	2020-04-07	Wisconsin	Wisconsin
EPI_ISL_427435	2020-04-07	Wisconsin	Wisconsin
EPI_ISL_427437	2020-04-13	Illinois	Illinois
EPI_ISL_427440	2020-04-12	Illinois	Illinois
EPI_ISL_427443	2020-04-09	Wisconsin	Wisconsin
EPI_ISL_427446	2020-04-12	Illinois	Illinois
EPI_ISL_417513	2020-03-16	Wisconsin	Wisconsin
EPI_ISL_427449	2020-04-10	Illinois	Illinois
EPI_ISL_427450	2020-04-13	Illinois	Illinois
EPI_ISL_427456	2020-04-07	Illinois	Illinois
EPI_ISL_417517	2020-03-13	Wisconsin	Wisconsin
EPI_ISL_428294	2020-03-24	Wisconsin	Wisconsin
EPI_ISL_428306	2020-03-24	Wisconsin	Wisconsin
EPI_ISL_428329	2020-03-27	Wisconsin	Wisconsin
EPI_ISL_428341	2020-03-28	Wisconsin	Wisconsin
EPI_ISL_428732	2020-04-06	Wisconsin	Wisconsin
EPI_ISL_434613	2020-04-08	Wisconsin	Wisconsin
EPI_ISL_436584	2020-04-08	Wisconsin	Wisconsin
EPI_ISL_436588	2020-04-09	Wisconsin	Wisconsin
EPI_ISL_436589	2020-04-11	Wisconsin	Wisconsin
EPI_ISL_436600	2020-04-14	Wisconsin	Wisconsin
EPI_ISL_436603	2020-04-16	Wisconsin	Wisconsin
EPI_ISL_436604	2020-04-15	Wisconsin	Wisconsin
EPI_ISL_436605	2020-04-14	Wisconsin	Wisconsin
EPI_ISL_436621	2020-04-25	Wisconsin	Wisconsin
EPI_ISL_436627	2020-03-24	Wisconsin	Wisconsin
EPI_ISL_436635	2020-04-02	Wisconsin	Wisconsin
EPI_ISL_450705	2020-04-14	Wisconsin	Wisconsin
EPI_ISL_480352	2020-05-20	Wisconsin	Wisconsin
EPI_ISL_480355	2020-05-20	Wisconsin	Wisconsin
EPI_ISL_480360	2020-05-21	Wisconsin	Wisconsin
EPI_ISL_480363	2020-05-22	Wisconsin	Wisconsin
EPI_ISL_480364	2020-05-22	Wisconsin	Wisconsin
EPI_ISL_480366	2020-05-22	Wisconsin	Wisconsin
EPI_ISL_480368	2020-05-21	Wisconsin	Wisconsin
EPI_ISL_480370	2020-05-21	Wisconsin	Wisconsin
EPI_ISL_480375	2020-05-14	Wisconsin	Wisconsin
EPI_ISL_480411	2020-05-01	Wisconsin	Wisconsin
EPI_ISL_484818	2020-06-19	Wisconsin	Wisconsin
EPI_ISL_484842	2020-06-06	Wisconsin	Wisconsin
EPI_ISL_484843	2020-06-18	Wisconsin	Wisconsin
EPI_ISL_421305	2020-03-19	Wisconsin	Wisconsin
EPI_ISL_484854	2020-06-10	Wisconsin	Wisconsin
EPI_ISL_484856	2020-06-18	Wisconsin	Wisconsin
EPI_ISL_484891	2020-05-27	Wisconsin	Wisconsin
EPI_ISL_484895	2020-06-24	Wisconsin	Wisconsin
EPI_ISL_484913	2020-06-24	Wisconsin	Wisconsin
EPI_ISL_484927	2020-06-23	Wisconsin	Wisconsin
EPI_ISL_484940	2020-06-25	Wisconsin	Wisconsin
EPI_ISL_484947	2020-06-19	Wisconsin	Wisconsin
EPI_ISL_484978	2020-06-25	Wisconsin	Wisconsin
EPI_ISL_484993	2020-06-24	Wisconsin	Wisconsin
EPI_ISL_484998	2020-06-24	Wisconsin	Wisconsin
EPI_ISL_491330	2020-06-28	Wisconsin	Wisconsin
EPI_ISL_491344	2020-06-26	Wisconsin	Wisconsin
EPI_ISL_491366	2020-06-25	Wisconsin	Wisconsin
EPI_ISL_491373	2020-06-29	Wisconsin	Wisconsin
EPI_ISL_491375	2020-07-02	Wisconsin	Wisconsin
EPI_ISL_491376	2020-06-29	Wisconsin	Wisconsin
EPI_ISL_491377	2020-06-29	Wisconsin	Wisconsin
EPI_ISL_491385	2020-07-02	Wisconsin	Wisconsin
EPI_ISL_491403	2020-07-01	Wisconsin	Wisconsin
EPI_ISL_491404	2020-07-02	Wisconsin	Wisconsin
EPI_ISL_491408	2020-07-01	Wisconsin	Wisconsin
EPI_ISL_491409	2020-07-01	Wisconsin	Wisconsin
EPI_ISL_491410	2020-07-02	Wisconsin	Wisconsin
EPI_ISL_491417	2020-06-29	Wisconsin	Wisconsin
EPI_ISL_421333	2020-03-26	Wisconsin	Wisconsin
EPI_ISL_425144	2020-04-02	Wisconsin	Wisconsin
EPI_ISL_425146	2020-03-31	Wisconsin	Wisconsin
EPI_ISL_425156	2020-04-02	Wisconsin	Wisconsin
EPI_ISL_471190	2020-04-17	Wisconsin	Wisconsin
EPI_ISL_471201	2020-03-27	Wisconsin	Wisconsin
EPI_ISL_471212	2020-03-25	Wisconsin	Wisconsin
EPI_ISL_471252	2020-03-17	Wisconsin	Wisconsin
EPI_ISL_471256	2020-03-23	Wisconsin	Wisconsin
EPI_ISL_408670	2020-01-31	Wisconsin	Hubei
EPI_ISL_462915	2020-03-20	Wyoming	Wyoming
EPI_ISL_462917	2020-03-22	Wyoming	Wyoming
EPI_ISL_462918	2020-03-24	Wyoming	Wyoming
EPI_ISL_462919	2020-03-21	Wyoming	Wyoming
EPI_ISL_462924	2020-03-23	Wyoming	Wyoming
EPI_ISL_462925	2020-03-23	Wyoming	Wyoming
EPI_ISL_462927	2020-03-24	Wyoming	Wyoming
EPI_ISL_462929	2020-03-25	Wyoming	Wyoming
EPI_ISL_462933	2020-03-24	Wyoming	Wyoming
EPI_ISL_462935	2020-03-25	Wyoming	Wyoming
EPI_ISL_462940	2020-03-25	Wyoming	Wyoming
EPI_ISL_462952	2020-03-26	Wyoming	Wyoming
EPI_ISL_462956	2020-03-25	Wyoming	Wyoming
EPI_ISL_462957	2020-03-26	Wyoming	Wyoming
EPI_ISL_462958	2020-03-27	Wyoming	Wyoming
EPI_ISL_462965	2020-03-28	Wyoming	Wyoming
EPI_ISL_462966	2020-03-27	Wyoming	Wyoming
EPI_ISL_462969	2020-03-27	Wyoming	Wyoming
EPI_ISL_462973	2020-03-29	Wyoming	Wyoming
EPI_ISL_462975	2020-03-30	Wyoming	Wyoming
EPI_ISL_462976	2020-03-30	Wyoming	Wyoming
EPI_ISL_462977	2020-03-30	Wyoming	Wyoming
EPI_ISL_462979	2020-03-30	Wyoming	Wyoming
EPI_ISL_462982	2020-03-30	Wyoming	Wyoming
EPI_ISL_493126	2020-04-02	Wyoming	Wyoming
EPI_ISL_493127	2020-04-02	Wyoming	Wyoming
EPI_ISL_493128	2020-04-03	Wyoming	Wyoming
EPI_ISL_493001	2020-04-06	Wyoming	Wyoming
EPI_ISL_421272	2020-03-10	Wyoming	Wyoming
EPI_ISL_421545	2020-03-15	Wyoming	Wyoming
EPI_ISL_421549	2020-03-14	Wyoming	Wyoming
EPI_ISL_421550	2020-03-16	Wyoming	Wyoming
EPI_ISL_421551	2020-03-18	Wyoming	Wyoming
