strain	date	division	division_exposure
EPI_ISL_451209	2020-05-01	Louisiana	Louisiana
EPI_ISL_451214	2020-04-27	Louisiana	Louisiana
EPI_ISL_451231	2020-05-04	Louisiana	Louisiana
EPI_ISL_451236	2020-05-04	Louisiana	Louisiana
EPI_ISL_451244	2020-05-07	Louisiana	Louisiana
EPI_ISL_451246	2020-05-04	Louisiana	Louisiana
EPI_ISL_451247	2020-05-04	Louisiana	Louisiana
EPI_ISL_451248	2020-05-07	Louisiana	Louisiana
EPI_ISL_451249	2020-05-08	Louisiana	Louisiana
EPI_ISL_451251	2020-05-09	Louisiana	Louisiana
