strain	date	country	country_exposure
EPI_ISL_457707	2020-03-24	Oman	Oman
EPI_ISL_445236	2020-04-21	Sweden	Sweden
EPI_ISL_462471	2020-03-28	Bosnia and Herzegovina	BosniaandHerzegovina
EPI_ISL_437654	2020-04-04	Denmark	Denmark
EPI_ISL_455103	2020-04-27	Sweden	Sweden
EPI_ISL_445239	2020-04-19	Sweden	Sweden
EPI_ISL_434641	2020-03-25	Sweden	Sweden
EPI_ISL_445237	2020-04-21	Sweden	Sweden
EPI_ISL_445227	2020-04-01	Sweden	Sweden
EPI_ISL_455108	2020-05-13	Sweden	Sweden
EPI_ISL_420906	2020-03-16	Germany	Germany
EPI_ISL_421756	2020-03-17	Luxembourg	Luxembourg
EPI_ISL_426961	2020-03-27	Australia	Australia
EPI_ISL_447291	2020-03-26	Israel	Israel
EPI_ISL_462396	2020-03-21	Singapore	Singapore
EPI_ISL_445067	2020-04-21	Luxembourg	Luxembourg
EPI_ISL_456728	2020-05-21	United Kingdom	UnitedKingdom
EPI_ISL_456147	2020-04-01	Colombia	Colombia
EPI_ISL_445085	2020-04-02	Colombia	Colombia
EPI_ISL_456151	2020-03-19	Colombia	Colombia
EPI_ISL_445284	2020-03-19	Chile	Chile
EPI_ISL_450346	2020-03-25	Norway	Norway
EPI_ISL_445283	2020-03-19	Chile	Chile
EPI_ISL_456188	2020-03-22	New Zealand	NewZealand
EPI_ISL_429883	2020-03-23	Taiwan	Taiwan
EPI_ISL_447771	2020-04-01	Colombia	Colombia
EPI_ISL_447768	2020-03-31	Colombia	Colombia
EPI_ISL_458233	2020-03-31	Belgium	Belgium
EPI_ISL_447766	2020-04-01	Colombia	Colombia
EPI_ISL_430573	2020-04-07	Australia	Australia
EPI_ISL_436108	2020-04-02	Taiwan	Taiwan
EPI_ISL_447793	2020-04-03	Colombia	Colombia
EPI_ISL_447467	2020-04-15	Israel	Israel
EPI_ISL_447455	2020-04-20	Israel	Israel
EPI_ISL_452149	2020-04-09	Belgium	Belgium
EPI_ISL_417875	2020-03-10	Iceland	Austria
EPI_ISL_460816	2020-03-15	Netherlands	Netherlands
EPI_ISL_447374	2020-04-01	Israel	Israel
EPI_ISL_447372	2020-04-01	Israel	Israel
EPI_ISL_429378	2020-03-09	Denmark	Denmark
EPI_ISL_429395	2020-03-09	Denmark	Denmark
EPI_ISL_429358	2020-03-09	Denmark	Denmark
EPI_ISL_447795	2020-04-04	Colombia	Colombia
EPI_ISL_456214	2020-03-20	New Zealand	NewZealand
EPI_ISL_435700	2020-03-18	Singapore	Singapore
EPI_ISL_435123	2020-03-12	United Arab Emirates	UnitedArabEmirates
EPI_ISL_418351	2020-03-12	Canada	Canada
EPI_ISL_418386	2020-03-13	Finland	Finland
EPI_ISL_435130	2020-03-12	United Arab Emirates	UnitedArabEmirates
EPI_ISL_429534	2020-03-25	Denmark	Denmark
EPI_ISL_443314	2020-04-14	France	France
EPI_ISL_447297	2020-03-24	Israel	Israel
EPI_ISL_422412	2020-03-14	Taiwan	Austria
EPI_ISL_438034	2020-03-14	Austria	Austria
EPI_ISL_419541	2020-03-14	Germany	Germany
EPI_ISL_438037	2020-03-14	Austria	Austria
EPI_ISL_417742	2020-03-16	Iceland	Iceland
EPI_ISL_420905	2020-03-16	Germany	Germany
EPI_ISL_437643	2020-04-02	Denmark	Denmark
EPI_ISL_437645	2020-04-02	Denmark	Denmark
EPI_ISL_452092	2020-04-14	Denmark	Denmark
EPI_ISL_435706	2020-04-08	USA	USA
EPI_ISL_437949	2020-03-24	Austria	Austria
EPI_ISL_463996	2020-04-23	Canada	Canada
EPI_ISL_462902	2020-05-14	USA	USA
EPI_ISL_414642	2020-03-08	Finland	Finland
EPI_ISL_429352	2020-03-08	Denmark	Denmark
EPI_ISL_454477	2020-03-10	Sweden	Sweden
EPI_ISL_435129	2020-03-10	United Arab Emirates	UnitedArabEmirates
EPI_ISL_420143	2020-03-10	Norway	Norway
EPI_ISL_454898	2020-03-10	Sweden	Sweden
EPI_ISL_444841	2020-03-10	Denmark	Denmark
EPI_ISL_454446	2020-03-10	Sweden	Sweden
EPI_ISL_437392	2020-04-13	USA	USA
EPI_ISL_437382	2020-04-14	USA	USA
EPI_ISL_455429	2020-03-27	Nigeria	Nigeria
EPI_ISL_420140	2020-03-28	Georgia	Georgia
EPI_ISL_447055	2020-04-29	Georgia	Georgia
EPI_ISL_447056	2020-04-29	Georgia	Georgia
EPI_ISL_419606	2020-03-11	Luxembourg	Luxembourg
EPI_ISL_418967	2020-03-11	USA	USA
EPI_ISL_420630	2020-03-23	USA	USA
EPI_ISL_444735	2020-04-02	USA	USA
EPI_ISL_437432	2020-04-09	USA	USA
EPI_ISL_419545	2020-03-15	Germany	Germany
EPI_ISL_419543	2020-03-15	Germany	Germany
EPI_ISL_437683	2020-04-01	Denmark	Denmark
EPI_ISL_450745	2020-03-26	Vietnam	Vietnam
EPI_ISL_430386	2020-04-08	USA	USA
EPI_ISL_452054	2020-04-14	Denmark	Denmark
EPI_ISL_443284	2020-04-02	France	France
EPI_ISL_463988	2020-03-13	Canada	Canada
EPI_ISL_422430	2020-03-13	Singapore	Singapore
EPI_ISL_421417	2020-03-17	USA	USA
EPI_ISL_451803	2020-03-30	Switzerland	Switzerland
EPI_ISL_436962	2020-04-02	Denmark	Denmark
EPI_ISL_463981	2020-03-29	Canada	Canada
EPI_ISL_425132	2020-03-23	Germany	Germany
EPI_ISL_454532	2020-03-23	India	India
EPI_ISL_452195	2020-04-19	India	India
EPI_ISL_418251	2020-02-25	Spain	Spain
EPI_ISL_418247	2020-02-26	Spain	Spain
EPI_ISL_437331	2020-03-25	Turkey	SaudiArabia
EPI_ISL_437335	2020-03-25	Turkey	Turkey
EPI_ISL_437747	2020-04-20	Saudi Arabia	SaudiArabia
EPI_ISL_450528	2020-03-30	Poland	Poland
EPI_ISL_452354	2020-03-07	China	Italy
EPI_ISL_452356	2020-03-21	China	UnitedKingdom
EPI_ISL_435136	2020-03-11	United Arab Emirates	UnitedArabEmirates
EPI_ISL_429136	2020-03-04	Sweden	Sweden
EPI_ISL_429158	2020-03-10	Sweden	Sweden
EPI_ISL_429141	2020-03-06	Sweden	Sweden
EPI_ISL_454831	2020-04-29	India	India
EPI_ISL_437472	2020-03-29	Saudi Arabia	SaudiArabia
EPI_ISL_437752	2020-04-20	Saudi Arabia	SaudiArabia
EPI_ISL_451307	2020-02-21	Italy	Italy
EPI_ISL_416482	2020-03-13	Georgia	Georgia
EPI_ISL_456365	2020-04-09	New Zealand	NewZealand
EPI_ISL_456362	2020-04-09	New Zealand	NewZealand
EPI_ISL_454252	2020-04-06	Portugal	Portugal
EPI_ISL_454272	2020-05-02	Portugal	Portugal
EPI_ISL_443307	2020-04-09	France	France
EPI_ISL_448790	2020-04-08	United Kingdom	UnitedKingdom
EPI_ISL_451978	2020-04-01	Poland	Poland
EPI_ISL_451972	2020-04-02	Poland	Poland
EPI_ISL_451979	2020-03-31	Poland	Poland
EPI_ISL_466888	2020-04-20	Germany	Germany
EPI_ISL_429137	2020-03-04	Sweden	Sweden
EPI_ISL_417563	2020-03-16	Iceland	UnitedKingdom
EPI_ISL_420139	2020-03-05	Norway	Norway
EPI_ISL_454527	2020-03-13	India	India
EPI_ISL_437301	2020-04-17	Austria	Austria
EPI_ISL_426289	2020-03-30	Latvia	Latvia
EPI_ISL_452098	2020-05-09	Denmark	Denmark
EPI_ISL_413999	2020-02-27	Switzerland	Switzerland
EPI_ISL_447240	2020-04-24	Democratic Republic of the Congo	DemocraticRepublicoftheCongo
EPI_ISL_420032	2020-03-22	Democratic Republic of the Congo	DemocraticRepublicoftheCongo
EPI_ISL_417434	2020-03-14	Democratic Republic of the Congo	DemocraticRepublicoftheCongo
EPI_ISL_443294	2020-04-06	France	France
EPI_ISL_451830	2020-03-31	Switzerland	Switzerland
EPI_ISL_447248	2020-04-25	Democratic Republic of the Congo	DemocraticRepublicoftheCongo
EPI_ISL_447235	2020-04-23	Democratic Republic of the Congo	DemocraticRepublicoftheCongo
EPI_ISL_447232	2020-04-23	Democratic Republic of the Congo	DemocraticRepublicoftheCongo
EPI_ISL_454900	2020-03-10	Sweden	Sweden
EPI_ISL_428870	2020-03-13	Russia	Russia
EPI_ISL_428879	2020-03-19	Russia	Russia
EPI_ISL_428960	2020-04-02	Luxembourg	Luxembourg
EPI_ISL_429734	2020-03-20	Luxembourg	Luxembourg
EPI_ISL_418260	2020-03-16	Italy	Italy
EPI_ISL_455445	2020-03-13	Poland	Poland
EPI_ISL_455446	2020-03-13	Poland	Poland
EPI_ISL_435128	2020-03-15	United Arab Emirates	UnitedArabEmirates
EPI_ISL_460079	2020-02-22	Italy	Italy
EPI_ISL_460083	2020-02-26	Italy	Italy
EPI_ISL_457749	2020-02-27	Italy	Italy
EPI_ISL_462462	2020-03-23	Bosnia and Herzegovina	BosniaandHerzegovina
EPI_ISL_420146	2020-03-11	Norway	Norway
EPI_ISL_418801	2020-03-14	Australia	Australia
EPI_ISL_462248	2020-04-07	Belgium	Belgium
EPI_ISL_447837	2020-03-20	Norway	Norway
EPI_ISL_455700	2020-03-25	Vietnam	Vietnam
EPI_ISL_428861	2020-03-11	Russia	Russia
EPI_ISL_420313	2020-03-10	Norway	Norway
EPI_ISL_455121	2020-04-06	Netherlands	Netherlands
EPI_ISL_461329	2020-04-28	Netherlands	Netherlands
EPI_ISL_460938	2020-04-30	Netherlands	Netherlands
EPI_ISL_450352	2020-03-11	Norway	Norway
EPI_ISL_436900	2020-05-04	USA	USA
EPI_ISL_420456	2020-02-22	Australia	Australia
EPI_ISL_445334	2020-03-29	Chile	Chile
EPI_ISL_428932	2020-03-28	Poland	Poland
EPI_ISL_414523	2020-02-27	United Kingdom	UnitedKingdom
EPI_ISL_437904	2020-03-10	Greece	Greece
EPI_ISL_445295	2020-03-21	Chile	Chile
EPI_ISL_460684	2020-03-24	Netherlands	Netherlands
EPI_ISL_435141	2020-03-12	United Arab Emirates	UnitedArabEmirates
EPI_ISL_424626	2020-03-15	Mexico	Mexico
EPI_ISL_448313	2020-04-22	United Kingdom	UnitedKingdom
EPI_ISL_451202	2020-05-01	Uganda	Uganda
EPI_ISL_429732	2020-03-23	Luxembourg	Luxembourg
EPI_ISL_413602	2020-03-03	Finland	Italy
EPI_ISL_460093	2020-02-29	Italy	Italy
EPI_ISL_434878	2020-03-24	USA	USA
EPI_ISL_455973	2020-05-10	Belgium	Belgium
EPI_ISL_414624	2020-02-26	France	France
EPI_ISL_428876	2020-03-19	Russia	Russia
EPI_ISL_413575	2020-02-29	Netherlands	Netherlands
EPI_ISL_451862	2020-04-07	Switzerland	Switzerland
EPI_ISL_445055	2020-04-22	Luxembourg	Luxembourg
EPI_ISL_435146	2020-04-07	Italy	Italy
EPI_ISL_435147	2020-04-08	Italy	Italy
EPI_ISL_437221	2020-04-06	Germany	Germany
EPI_ISL_466889	2020-04-19	Germany	Germany
EPI_ISL_452191	2020-04-03	Italy	Italy
EPI_ISL_452190	2020-04-03	Italy	Italy
EPI_ISL_413996	2020-02-24	Switzerland	Switzerland
EPI_ISL_461965	2020-06-02	United Kingdom	UnitedKingdom
EPI_ISL_418842	2020-03-11	Canada	Canada
EPI_ISL_419255	2020-03-23	Italy	Italy
EPI_ISL_429226	2020-03-17	Italy	Italy
EPI_ISL_421760	2020-03-17	Luxembourg	Luxembourg
EPI_ISL_444432	2020-04-20	United Kingdom	UnitedKingdom
EPI_ISL_437291	2020-04-06	Germany	Germany
EPI_ISL_437911	2020-03-31	Greece	Greece
EPI_ISL_437292	2020-04-07	Germany	Germany
EPI_ISL_421550	2020-03-16	USA	USA
EPI_ISL_437339	2020-04-15	Democratic Republic of the Congo	DemocraticRepublicoftheCongo
EPI_ISL_453999	2020-04-20	Portugal	Portugal
EPI_ISL_453998	2020-04-20	Portugal	Portugal
EPI_ISL_444972	2020-04-05	Spain	Spain
EPI_ISL_430796	2020-03-27	Argentina	Argentina
EPI_ISL_460090	2020-02-28	Italy	Italy
EPI_ISL_464195	2020-02-26	United Kingdom	UnitedKingdom
EPI_ISL_420346	2020-03-09	Belgium	Belgium
EPI_ISL_462236	2020-04-03	Belgium	Belgium
EPI_ISL_460088	2020-02-26	Italy	Italy
EPI_ISL_460086	2020-02-24	Italy	Italy
EPI_ISL_416524	2020-03-11	Japan	Japan
EPI_ISL_416525	2020-03-11	Japan	Japan
EPI_ISL_454000	2020-03-09	Portugal	Portugal
EPI_ISL_425140	2020-03-20	Germany	Germany
EPI_ISL_456353	2020-04-05	New Zealand	NewZealand
EPI_ISL_435431	2020-03-25	Hungary	Hungary
EPI_ISL_451879	2020-04-07	Switzerland	Switzerland
EPI_ISL_449070	2020-05-04	United Kingdom	UnitedKingdom
EPI_ISL_466949	2020-03-10	Switzerland	Switzerland
EPI_ISL_437354	2020-04-17	Democratic Republic of the Congo	DemocraticRepublicoftheCongo
EPI_ISL_418217	2020-03-13	Senegal	Senegal
EPI_ISL_424647	2020-04-04	Belgium	Belgium
EPI_ISL_451180	2020-04-14	Belgium	Belgium
EPI_ISL_416752	2020-03-04	France	France
EPI_ISL_451914	2020-04-07	Switzerland	Switzerland
EPI_ISL_420853	2020-03-26	Democratic Republic of the Congo	DemocraticRepublicoftheCongo
EPI_ISL_458195	2020-03-29	Belgium	Belgium
EPI_ISL_466977	2020-03-12	Switzerland	Switzerland
EPI_ISL_443291	2020-04-02	France	France
EPI_ISL_443261	2020-04-03	France	France
EPI_ISL_458215	2020-03-29	Belgium	Belgium
EPI_ISL_429739	2020-04-09	Luxembourg	Luxembourg
EPI_ISL_417337	2020-03-07	France	France
EPI_ISL_417339	2020-03-08	France	France
EPI_ISL_445057	2020-04-23	Luxembourg	Luxembourg
EPI_ISL_417534	2020-03-18	Luxembourg	Luxembourg
EPI_ISL_419570	2020-03-12	Luxembourg	Luxembourg
EPI_ISL_443305	2020-04-13	France	France
EPI_ISL_420030	2020-03-21	Democratic Republic of the Congo	DemocraticRepublicoftheCongo
EPI_ISL_447140	2020-04-18	Belgium	Belgium
EPI_ISL_421214	2020-03-30	Belgium	Belgium
EPI_ISL_459981	2020-04-19	Morocco	Morocco
EPI_ISL_459974	2020-03-20	Morocco	Morocco
EPI_ISL_459972	2020-03-20	Morocco	Morocco
EPI_ISL_459898	2020-05-13	Luxembourg	Luxembourg
EPI_ISL_459905	2020-05-12	Luxembourg	Luxembourg
EPI_ISL_434511	2020-04-21	Luxembourg	Luxembourg
EPI_ISL_417437	2020-03-17	Democratic Republic of the Congo	DemocraticRepublicoftheCongo
EPI_ISL_417941	2020-03-18	Democratic Republic of the Congo	DemocraticRepublicoftheCongo
EPI_ISL_417942	2020-03-18	Democratic Republic of the Congo	DemocraticRepublicoftheCongo
EPI_ISL_417442	2020-03-18	Democratic Republic of the Congo	DemocraticRepublicoftheCongo
EPI_ISL_434632	2020-04-09	France	France
EPI_ISL_420070	2020-03-17	Senegal	Senegal
EPI_ISL_434634	2020-04-11	France	France
EPI_ISL_434630	2020-04-08	France	France
EPI_ISL_434635	2020-04-11	France	France
EPI_ISL_457974	2020-03-14	Oman	Oman
EPI_ISL_461335	2020-05-14	Netherlands	Netherlands
EPI_ISL_422612	2020-04-01	Netherlands	Netherlands
EPI_ISL_420598	2020-03-22	Argentina	Argentina
EPI_ISL_418419	2020-03-16	France	France
EPI_ISL_450311	2020-03-27	Canada	Canada
EPI_ISL_420847	2020-03-26	Democratic Republic of the Congo	DemocraticRepublicoftheCongo
EPI_ISL_420409	2020-03-25	Belgium	Belgium
EPI_ISL_429811	2020-03-12	Canada	Canada
EPI_ISL_465689	2020-03-27	Canada	Canada
EPI_ISL_463930	2020-04-02	Canada	Canada
EPI_ISL_463968	2020-04-09	Canada	Canada
EPI_ISL_463917	2020-04-09	Canada	Canada
EPI_ISL_452223	2020-03-02	Germany	Israel
EPI_ISL_437778	2020-04-16	USA	USA
EPI_ISL_421506	2020-03-21	France	France
EPI_ISL_451720	2020-03-16	Switzerland	Switzerland
EPI_ISL_429766	2020-03-23	Luxembourg	Luxembourg
EPI_ISL_434507	2020-04-12	Luxembourg	Luxembourg
EPI_ISL_451810	2020-03-31	Switzerland	Switzerland
EPI_ISL_459968	2020-03-17	Morocco	Morocco
EPI_ISL_417438	2020-03-17	Democratic Republic of the Congo	DemocraticRepublicoftheCongo
EPI_ISL_421653	2020-03-25	Latvia	Latvia
EPI_ISL_426288	2020-03-30	Latvia	Latvia
EPI_ISL_451886	2020-04-06	Switzerland	Switzerland
EPI_ISL_451877	2020-04-07	Switzerland	Switzerland
EPI_ISL_417947	2020-03-19	Democratic Republic of the Congo	DemocraticRepublicoftheCongo
EPI_ISL_420365	2020-03-19	Belgium	Belgium
EPI_ISL_445216	2020-04-28	Bangladesh	Bangladesh
EPI_ISL_466939	2020-03-08	Switzerland	Switzerland
EPI_ISL_466954	2020-03-10	Switzerland	Switzerland
EPI_ISL_461490	2020-05-27	India	India
EPI_ISL_451728	2020-03-16	Switzerland	Switzerland
EPI_ISL_435429	2020-03-28	Hungary	Hungary
EPI_ISL_455978	2020-05-10	Belgium	Belgium
EPI_ISL_447236	2020-04-24	Democratic Republic of the Congo	DemocraticRepublicoftheCongo
EPI_ISL_435163	2020-04-12	Democratic Republic of the Congo	DemocraticRepublicoftheCongo
EPI_ISL_450519	2020-04-14	Latvia	Latvia
EPI_ISL_450523	2020-04-28	Latvia	Latvia
EPI_ISL_434489	2020-04-13	Luxembourg	Luxembourg
EPI_ISL_451755	2020-03-25	Switzerland	Switzerland
EPI_ISL_462474	2020-03-29	Bosnia and Herzegovina	BosniaandHerzegovina
EPI_ISL_424658	2020-04-05	Belgium	Belgium
EPI_ISL_462458	2020-03-21	Bosnia and Herzegovina	BosniaandHerzegovina
EPI_ISL_462451	2020-03-19	Bosnia and Herzegovina	BosniaandHerzegovina
EPI_ISL_415705	2020-03-06	Switzerland	Switzerland
EPI_ISL_420611	2020-03-23	France	France
EPI_ISL_426806	2020-03-24	Australia	Australia
EPI_ISL_462475	2020-03-30	Bosnia and Herzegovina	BosniaandHerzegovina
EPI_ISL_462473	2020-03-29	Bosnia and Herzegovina	BosniaandHerzegovina
EPI_ISL_462472	2020-04-01	Bosnia and Herzegovina	BosniaandHerzegovina
EPI_ISL_464072	2020-04-06	Belgium	Belgium
EPI_ISL_458192	2020-03-29	Belgium	Belgium
EPI_ISL_462468	2020-03-27	Bosnia and Herzegovina	BosniaandHerzegovina
EPI_ISL_462466	2020-04-21	Bosnia and Herzegovina	BosniaandHerzegovina
EPI_ISL_462461	2020-04-11	Bosnia and Herzegovina	BosniaandHerzegovina
EPI_ISL_418422	2020-03-17	France	France
EPI_ISL_421752	2020-03-17	Luxembourg	Luxembourg
EPI_ISL_420838	2020-03-22	Democratic Republic of the Congo	DemocraticRepublicoftheCongo
EPI_ISL_420035	2020-03-22	Democratic Republic of the Congo	DemocraticRepublicoftheCongo
EPI_ISL_421204	2020-03-31	Belgium	Belgium
EPI_ISL_444969	2020-04-16	China	China
EPI_ISL_445071	2020-04-23	Luxembourg	Luxembourg
EPI_ISL_435421	2020-03-25	Hungary	Hungary
EPI_ISL_420854	2020-03-25	Democratic Republic of the Congo	DemocraticRepublicoftheCongo
EPI_ISL_451977	2020-04-03	Poland	Poland
EPI_ISL_420543	2020-03-03	India	Italy
EPI_ISL_420553	2020-03-03	India	Italy
EPI_ISL_420547	2020-03-03	India	Italy
EPI_ISL_462270	2020-05-06	Belgium	Belgium
EPI_ISL_436099	2020-04-02	Taiwan	Taiwan
EPI_ISL_428229	2020-03-18	Taiwan	Taiwan
EPI_ISL_451987	2020-04-01	Poland	Poland
EPI_ISL_428929	2020-03-29	Poland	Poland
EPI_ISL_428927	2020-03-28	Poland	Poland
EPI_ISL_427002	2020-03-27	Australia	Australia
EPI_ISL_430669	2020-04-03	Australia	Australia
EPI_ISL_456455	2020-04-25	Australia	Australia
EPI_ISL_430598	2020-04-09	Australia	Australia
EPI_ISL_426910	2020-03-28	Australia	Australia
EPI_ISL_414015	2020-02-29	Brazil	Brazil
EPI_ISL_430469	2020-02-29	Greece	Greece
EPI_ISL_416742	2020-02-29	Czech Republic	CzechRepublic
EPI_ISL_414477	2020-03-01	Czech Republic	Italy
EPI_ISL_427445	2020-04-12	USA	USA
EPI_ISL_454290	2020-04-14	Portugal	Portugal
EPI_ISL_426888	2020-03-31	Czech Republic	CzechRepublic
EPI_ISL_451976	2020-04-07	Poland	Poland
EPI_ISL_428925	2020-03-28	Poland	Poland
EPI_ISL_428926	2020-03-28	Poland	Poland
EPI_ISL_417186	2020-03-07	South Africa	SouthAfrica
EPI_ISL_416143	2020-02-28	Denmark	Denmark
EPI_ISL_414016	2020-02-29	Brazil	Brazil
EPI_ISL_451794	2020-03-25	Switzerland	Switzerland
EPI_ISL_424572	2020-03-26	Iceland	Iceland
EPI_ISL_456789	2020-05-02	United Kingdom	UnitedKingdom
EPI_ISL_460094	2020-02-25	Italy	Italy
EPI_ISL_428686	2020-03-22	Spain	Spain
EPI_ISL_464204	2020-02-26	United Kingdom	UnitedKingdom
EPI_ISL_417639	2020-03-18	Iceland	Iceland
EPI_ISL_452345	2020-03-07	China	Spain
EPI_ISL_445263	2020-03-11	Chile	Chile
EPI_ISL_445376	2020-04-04	Chile	Chile
EPI_ISL_445323	2020-03-16	Chile	Chile
EPI_ISL_445332	2020-03-11	Chile	Chile
EPI_ISL_444835	2020-03-09	Denmark	Denmark
EPI_ISL_452002	2020-03-11	Denmark	Denmark
EPI_ISL_452615	2020-04-01	Spain	Spain
EPI_ISL_457998	2020-03-28	Oman	Oman
EPI_ISL_418009	2020-03-15	Portugal	Portugal
EPI_ISL_426365	2020-03-12	Mexico	Mexico
EPI_ISL_434657	2020-04-01	Sweden	Sweden
EPI_ISL_424345	2020-03-12	Mexico	Mexico
EPI_ISL_454533	2020-03-23	India	India
EPI_ISL_421495	2020-03-23	Portugal	Portugal
EPI_ISL_423438	2020-03-30	United Kingdom	UnitedKingdom
EPI_ISL_447756	2020-03-31	Colombia	Colombia
EPI_ISL_444975	2020-04-10	Spain	Spain
EPI_ISL_445252	2020-03-09	Chile	Chile
EPI_ISL_455468	2020-05-13	Romania	Romania
EPI_ISL_451643	2020-04-07	Australia	Australia
EPI_ISL_444973	2020-04-06	Spain	Spain
EPI_ISL_462997	2020-05-30	Spain	Spain
EPI_ISL_438055	2020-03-16	Austria	Austria
EPI_ISL_452480	2020-03-22	Spain	Spain
EPI_ISL_452578	2020-03-28	Spain	Spain
EPI_ISL_414019	2020-02-27	Switzerland	Switzerland
EPI_ISL_451303	2020-03-04	Italy	Italy
EPI_ISL_418410	2020-03-14	Finland	Finland
EPI_ISL_454332	2020-03-14	Portugal	Portugal
EPI_ISL_466997	2020-05-05	Switzerland	Switzerland
EPI_ISL_467003	2020-05-06	Switzerland	Switzerland
EPI_ISL_456219	2020-03-21	New Zealand	NewZealand
EPI_ISL_464094	2020-04-11	Taiwan	Taiwan
EPI_ISL_455469	2020-05-12	Romania	Romania
EPI_ISL_455472	2020-05-13	Romania	Romania
EPI_ISL_466999	2020-05-05	Switzerland	Switzerland
EPI_ISL_458248	2020-05-17	USA	USA
EPI_ISL_467004	2020-05-06	Switzerland	Switzerland
EPI_ISL_460084	2020-02-29	Italy	Italy
EPI_ISL_455438	2020-03-14	Mexico	Mexico
EPI_ISL_430806	2020-04-01	Argentina	Israel
EPI_ISL_435418	2020-04-02	Hungary	Hungary
EPI_ISL_430803	2020-04-01	Argentina	Argentina
EPI_ISL_460092	2020-02-28	Italy	Italy
EPI_ISL_435420	2020-03-23	Hungary	Hungary
EPI_ISL_416426	2020-03-17	Hungary	Hungary
EPI_ISL_437973	2020-03-18	Austria	Austria
EPI_ISL_417623	2020-03-18	Iceland	Iceland
EPI_ISL_424393	2020-03-19	Iceland	Iceland
EPI_ISL_424576	2020-03-27	Iceland	Iceland
EPI_ISL_445183	2020-03-23	Japan	Japan
EPI_ISL_459975	2020-03-21	Morocco	Morocco
EPI_ISL_452670	2020-03-26	Spain	Spain
EPI_ISL_435422	2020-03-27	Hungary	Hungary
EPI_ISL_444974	2020-04-06	Spain	Spain
EPI_ISL_451181	2020-04-14	Belgium	Belgium
EPI_ISL_447523	2020-04-01	Spain	Spain
EPI_ISL_462998	2020-05-30	Spain	Spain
EPI_ISL_447746	2020-03-28	Colombia	Colombia
EPI_ISL_452517	2020-03-15	Spain	Spain
EPI_ISL_416481	2020-03-16	Georgia	Georgia
EPI_ISL_451653	2020-05-04	Poland	Poland
EPI_ISL_428908	2020-03-25	Russia	Russia
EPI_ISL_435425	2020-03-19	Hungary	Hungary
EPI_ISL_445371	2020-03-28	Chile	Chile
EPI_ISL_444989	2020-03-28	Spain	Spain
EPI_ISL_463000	2020-05-30	Spain	Spain
EPI_ISL_462999	2020-05-30	Spain	Spain
EPI_ISL_435403	2020-03-20	Hungary	Hungary
EPI_ISL_452681	2020-03-25	Spain	Spain
EPI_ISL_452610	2020-04-01	Spain	Spain
EPI_ISL_452612	2020-04-01	Spain	Spain
EPI_ISL_430799	2020-03-30	Argentina	Argentina
EPI_ISL_427311	2020-03-29	Russia	Russia
EPI_ISL_462995	2020-05-30	Spain	Spain
EPI_ISL_462996	2020-05-30	Spain	Spain
EPI_ISL_430804	2020-04-01	Argentina	Spain
EPI_ISL_430801	2020-03-31	Argentina	Brazil
EPI_ISL_448307	2020-04-12	United Kingdom	UnitedKingdom
EPI_ISL_447759	2020-03-31	Colombia	Colombia
EPI_ISL_430800	2020-03-30	Argentina	Argentina
EPI_ISL_435424	2020-03-27	Hungary	Hungary
EPI_ISL_435423	2020-03-27	Hungary	Hungary
EPI_ISL_451400	2020-04-23	Morocco	Morocco
EPI_ISL_445244	2020-04-25	Bangladesh	Bangladesh
EPI_ISL_412964	2020-02-25	Brazil	Italy
EPI_ISL_460087	2020-02-26	Italy	Italy
EPI_ISL_422688	2020-03-20	Netherlands	Netherlands
EPI_ISL_435046	2020-03-25	Kazakhstan	Kazakhstan
EPI_ISL_417921	2020-03-01	Italy	Italy
EPI_ISL_413591	2020-03-02	Netherlands	Netherlands
EPI_ISL_422913	2020-03-18	Netherlands	Netherlands
EPI_ISL_461321	2020-04-17	Netherlands	Netherlands
EPI_ISL_455269	2020-04-13	Netherlands	Netherlands
EPI_ISL_451306	2020-02-21	Italy	Italy
EPI_ISL_412973	2020-02-20	Italy	Italy
EPI_ISL_450288	2020-04-23	Russia	Russia
EPI_ISL_435140	2020-03-12	United Arab Emirates	UnitedArabEmirates
EPI_ISL_419562	2020-02-29	Luxembourg	Luxembourg
EPI_ISL_424342	2020-03-07	Italy	Italy
EPI_ISL_418402	2020-03-14	Finland	Finland
EPI_ISL_413593	2020-02-29	Luxembourg	Italy
EPI_ISL_417423	2020-03-01	Italy	Italy
EPI_ISL_460085	2020-03-01	Italy	Italy
EPI_ISL_417421	2020-03-01	Italy	Italy
EPI_ISL_415154	2020-03-01	Belgium	Italy
EPI_ISL_418215	2020-03-12	Senegal	Senegal
EPI_ISL_418213	2020-03-12	Senegal	Senegal
EPI_ISL_418212	2020-03-11	Senegal	Senegal
EPI_ISL_418211	2020-03-11	Senegal	Senegal
EPI_ISL_418210	2020-03-10	Senegal	Senegal
EPI_ISL_438009	2020-03-06	Austria	Italy
EPI_ISL_455861	2020-03-05	Sweden	Sweden
EPI_ISL_454875	2020-03-04	Sweden	Sweden
EPI_ISL_451707	2020-03-16	Switzerland	Switzerland
EPI_ISL_422665	2020-03-16	Netherlands	Netherlands
EPI_ISL_455444	2020-03-05	Poland	Poland
EPI_ISL_457985	2020-03-18	Oman	Oman
EPI_ISL_457972	2020-04-21	Uruguay	Uruguay
EPI_ISL_455306	2020-04-09	Netherlands	Netherlands
