strain	date	country
EPI_ISL_445131	2020-03-31	Louisiana
EPI_ISL_445134	2020-03-31	Louisiana
EPI_ISL_445136	2020-03-31	Louisiana
EPI_ISL_445137	2020-04-01	Louisiana
EPI_ISL_445138	2020-03-31	Louisiana
EPI_ISL_445141	2020-03-31	Louisiana
EPI_ISL_445145	2020-04-01	Louisiana
EPI_ISL_445147	2020-04-07	Louisiana
EPI_ISL_450231	2020-03-31	Louisiana
EPI_ISL_450175	2020-04-04	Louisiana
EPI_ISL_490998	2020-03-18	Louisiana
EPI_ISL_460311	2020-03-09	Massachusetts
EPI_ISL_460319	2020-03-25	Massachusetts
EPI_ISL_460102	2020-03-25	Massachusetts
EPI_ISL_460206	2020-03-25	Massachusetts
EPI_ISL_460348	2020-03-26	Massachusetts
EPI_ISL_460170	2020-03-26	Massachusetts
EPI_ISL_460331	2020-03-26	Massachusetts
EPI_ISL_460238	2020-03-26	Massachusetts
EPI_ISL_460107	2020-03-26	Massachusetts
EPI_ISL_460183	2020-03-26	Massachusetts
EPI_ISL_460457	2020-03-26	Massachusetts
EPI_ISL_460124	2020-03-26	Massachusetts
EPI_ISL_460221	2020-03-26	Massachusetts
EPI_ISL_460372	2020-03-26	Massachusetts
EPI_ISL_460242	2020-03-27	Massachusetts
EPI_ISL_460365	2020-04-06	Massachusetts
EPI_ISL_460100	2020-04-01	Massachusetts
EPI_ISL_460133	2020-04-01	Massachusetts
EPI_ISL_460265	2020-04-01	Massachusetts
EPI_ISL_460430	2020-04-01	Massachusetts
EPI_ISL_460418	2020-04-05	Massachusetts
EPI_ISL_460395	2020-03-07	Massachusetts
EPI_ISL_460198	2020-04-01	Massachusetts
EPI_ISL_460352	2020-04-01	Massachusetts
EPI_ISL_460383	2020-04-04	Massachusetts
EPI_ISL_460177	2020-04-04	Massachusetts
EPI_ISL_460230	2020-04-04	Massachusetts
EPI_ISL_460392	2020-04-04	Massachusetts
EPI_ISL_460400	2020-03-27	Massachusetts
EPI_ISL_460350	2020-03-27	Massachusetts
EPI_ISL_460376	2020-03-28	Massachusetts
EPI_ISL_460344	2020-03-18	Massachusetts
EPI_ISL_460138	2020-03-20	Massachusetts
EPI_ISL_460363	2020-03-20	Massachusetts
EPI_ISL_460349	2020-03-20	Massachusetts
EPI_ISL_460380	2020-03-22	Massachusetts
EPI_ISL_460125	2020-03-22	Massachusetts
EPI_ISL_460140	2020-03-22	Massachusetts
