strain,real,nextstrain_0,nextstrain_1,nextstrain_2,nextstrain_3,nextstrain_4,nextstrain_5,nextstrain_6,nextstrain_7,nextstrain_8,nextstrain_9,tnet
EPI_ISL_428929,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland
EPI_ISL_430796,Argentina,Portugal,Spain,Spain,Spain,Argentina,Spain,Luxembourg,Spain,Argentina,Spain,Spain
EPI_ISL_453998,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal
EPI_ISL_453999,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal
EPI_ISL_421550,USA,USA,USA,CzechRepublic,Brazil,USA,USA,USA,Luxembourg,Chile,Luxembourg,Spain
EPI_ISL_437339,DemocraticRepublicoftheCongo,Spain,Luxembourg,Netherlands,Netherlands,DemocraticRepublicoftheCongo,Luxembourg,Luxembourg,DemocraticRepublicoftheCongo,Belgium,DemocraticRepublicoftheCongo,Luxembourg
EPI_ISL_444972,Spain,Spain,Spain,Spain,Spain,Spain,Spain,USA,Spain,Poland,Spain,Spain
EPI_ISL_416143,Denmark,Italy,UnitedKingdom,Denmark,Russia,UnitedKingdom,Netherlands,Senegal,Denmark,Italy,Sweden,India
EPI_ISL_412973,Italy,Italy,Italy,France,Italy,Italy,Sweden,Italy,Italy,Italy,Sweden,Italy
EPI_ISL_417337,France,France,France,France,France,DemocraticRepublicoftheCongo,France,France,France,France,France,France
EPI_ISL_417186,SouthAfrica,France,SouthAfrica,Switzerland,Italy,Sweden,Taiwan,Netherlands,Belgium,India,SouthAfrica,Sweden
EPI_ISL_415705,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Luxembourg,Switzerland,Switzerland,Latvia,Switzerland,France
EPI_ISL_438009,Italy,Switzerland,Italy,Austria,Austria,Sweden,Senegal,UnitedKingdom,Italy,Austria,Italy,Italy
EPI_ISL_428861,Russia,BosniaandHerzegovina,Russia,Luxembourg,Switzerland,Russia,Italy,Norway,Norway,Norway,Russia,Russia
EPI_ISL_462462,BosniaandHerzegovina,BosniaandHerzegovina,Italy,France,Switzerland,Norway,Italy,NewZealand,Norway,Norway,BosniaandHerzegovina,Norway
EPI_ISL_460088,Italy,Italy,Belgium,Italy,Belgium,Italy,Italy,Italy,Italy,Italy,India,Italy
EPI_ISL_464094,Taiwan,Taiwan,Spain,Taiwan,Taiwan,Switzerland,Spain,Taiwan,Taiwan,USA,SaudiArabia,Spain
EPI_ISL_456219,NewZealand,Taiwan,Iceland,Taiwan,Switzerland,Switzerland,Spain,NewZealand,USA,Switzerland,Chile,Switzerland
EPI_ISL_455472,Romania,Romania,Romania,Romania,Romania,Romania,Denmark,Oman,Romania,Romania,Romania,Romania
EPI_ISL_455469,Romania,Romania,Romania,Romania,Romania,Romania,Spain,BosniaandHerzegovina,Romania,Romania,Romania,Romania
EPI_ISL_458248,USA,Switzerland,Switzerland,Taiwan,USA,Switzerland,Spain,USA,USA,USA,Switzerland,Spain
EPI_ISL_466999,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Spain,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland
EPI_ISL_467004,Switzerland,Switzerland,Spain,Switzerland,Switzerland,Switzerland,Hungary,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland
EPI_ISL_418215,Senegal,Sweden,Senegal,Senegal,Luxembourg,Italy,Senegal,Senegal,Senegal,Senegal,Senegal,Senegal
EPI_ISL_429137,Sweden,Sweden,Luxembourg,Sweden,Luxembourg,Sweden,Luxembourg,Italy,Luxembourg,Sweden,Luxembourg,Sweden
EPI_ISL_414016,Brazil,Italy,Brazil,Poland,Brazil,Brazil,SouthAfrica,Brazil,Brazil,Brazil,Greece,Spain
EPI_ISL_460085,Italy,Italy,Italy,Denmark,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy
EPI_ISL_466954,Switzerland,Switzerland,Switzerland,Switzerland,Germany,Switzerland,Switzerland,Switzerland,Switzerland,India,Switzerland,Switzerland
EPI_ISL_418210,Senegal,Switzerland,Senegal,Senegal,Portugal,Senegal,Senegal,Senegal,Senegal,Senegal,Senegal,Senegal
EPI_ISL_454000,Portugal,Switzerland,Netherlands,Portugal,Portugal,Switzerland,France,Portugal,Portugal,Portugal,India,Germany
EPI_ISL_466939,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland
EPI_ISL_455438,Mexico,Switzerland,Chile,Spain,Chile,Mexico,Spain,Italy,Mexico,Poland,Mexico,Spain
EPI_ISL_424647,Belgium,Switzerland,Belgium,Switzerland,Belgium,USA,Belgium,France,Belgium,Belgium,Switzerland,Belgium
