strain,real,nextstrain_0,nextstrain_1,nextstrain_2,nextstrain_3,nextstrain_4,nextstrain_5,nextstrain_6,nextstrain_7,nextstrain_8,nextstrain_9,tnet
EPI_ISL_429996,Jordan,USA,Jordan,Jordan,Finland,USA,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan
EPI_ISL_416506,France,France,France,Denmark,France,France,France,France,France,France,France,France
EPI_ISL_447771,Colombia,Colombia,Colombia,Australia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia
EPI_ISL_430573,Australia,Colombia,Colombia,Australia,Colombia,Belgium,Australia,Australia,Colombia,Belgium,Taiwan,USA
EPI_ISL_465692,Canada,Germany,France,Israel,USA,USA,Canada,USA,Israel,UnitedArabEmirates,Canada,Canada
EPI_ISL_420906,Germany,Germany,Germany,Denmark,Germany,Germany,Germany,USA,Chile,Germany,Luxembourg,Germany
EPI_ISL_435410,Hungary,Germany,France,DemocraticRepublicoftheCongo,Denmark,Denmark,Netherlands,Israel,Belgium,Germany,NewZealand,Israel
EPI_ISL_419549,Germany,Germany,Germany,Germany,Germany,USA,Netherlands,Germany,Denmark,Germany,Germany,Denmark
EPI_ISL_417742,Iceland,Austria,Germany,Denmark,Germany,Colombia,Australia,Iceland,Austria,USA,USA,France
EPI_ISL_438037,Austria,Austria,Germany,Israel,Taiwan,Germany,Austria,Germany,Germany,Austria,Austria,Germany
EPI_ISL_419541,Germany,Germany,Norway,Denmark,Colombia,Germany,Germany,Germany,Germany,Germany,Denmark,Germany
EPI_ISL_460835,Netherlands,Germany,Senegal,Senegal,Senegal,Senegal,Senegal,Senegal,Senegal,France,Senegal,Senegal
EPI_ISL_421756,Luxembourg,France,Luxembourg,Luxembourg,Denmark,Luxembourg,Germany,Israel,France,France,Luxembourg,Luxembourg
EPI_ISL_443284,France,France,France,France,Sweden,USA,France,France,France,France,France,France
EPI_ISL_456151,Colombia,USA,Taiwan,Colombia,Colombia,Colombia,Colombia,Colombia,Germany,Colombia,Colombia,France
EPI_ISL_421417,USA,USA,USA,Germany,USA,USA,Germany,USA,USA,USA,USA,USA
EPI_ISL_447795,Colombia,Colombia,France,Colombia,USA,USA,Luxembourg,Finland,Canada,USA,NewZealand,Colombia
EPI_ISL_447463,Israel,Colombia,Israel,Israel,Israel,Israel,France,Israel,Israel,Israel,Israel,Israel
EPI_ISL_437432,USA,USA,USA,USA,Sweden,USA,USA,USA,USA,USA,USA,USA
EPI_ISL_451867,Switzerland,USA,Switzerland,Switzerland,Switzerland,USA,France,USA,Switzerland,Switzerland,USA,Switzerland
EPI_ISL_437949,Austria,Denmark,Austria,Austria,Norway,Austria,Colombia,Colombia,Vietnam,Austria,Colombia,USA
EPI_ISL_452092,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark
EPI_ISL_435706,USA,Denmark,USA,Denmark,USA,Canada,Canada,USA,Israel,USA,Denmark,USA
EPI_ISL_437645,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark
EPI_ISL_437300,Austria,Switzerland,Austria,Austria,Austria,China,Austria,Austria,Austria,France,Austria,Austria
EPI_ISL_434635,France,France,France,France,France,France,France,France,France,France,France,France
EPI_ISL_434630,France,France,France,Sweden,France,France,France,France,France,France,France,France
EPI_ISL_434626,France,Switzerland,Russia,Poland,France,France,France,Italy,France,Italy,UnitedKingdom,France
EPI_ISL_462753,BosniaandHerzegovina,BosniaandHerzegovina,Italy,Brazil,Turkey,Belgium,BosniaandHerzegovina,Italy,India,Uganda,Uganda,Austria
EPI_ISL_451196,Uganda,India,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda,India,Uganda,Uganda,Uganda
EPI_ISL_454565,India,India,Uganda,India,Bangladesh,Portugal,Spain,Uganda,India,UnitedKingdom,India,India
EPI_ISL_429233,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy
EPI_ISL_437601,Japan,Italy,Japan,Japan,Japan,Netherlands,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_426356,CzechRepublic,Italy,Austria,Italy,CzechRepublic,CzechRepublic,Jordan,Portugal,Vietnam,CzechRepublic,Japan,Italy
EPI_ISL_427784,Australia,Italy,Jordan,Germany,Netherlands,Portugal,Morocco,Jordan,Switzerland,Austria,Jordan,Jordan
EPI_ISL_438965,Japan,Italy,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_430007,Jordan,Italy,Jordan,Jordan,Chile,Vietnam,Oman,Italy,Jordan,Italy,Jordan,Italy
EPI_ISL_429235,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,UnitedKingdom,Italy
EPI_ISL_429232,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy
EPI_ISL_451664,Poland,Italy,Poland,Poland,Poland,Poland,Portugal,Poland,Vietnam,Poland,Poland,Poland
EPI_ISL_418257,Italy,Italy,Japan,Italy,Russia,Italy,Italy,Jordan,Italy,Italy,Portugal,Italy
EPI_ISL_430802,Argentina,Italy,Russia,India,Italy,Argentina,Portugal,Netherlands,Sweden,Poland,Australia,Italy
EPI_ISL_452189,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Jordan,Vietnam,Italy,Italy,Italy
EPI_ISL_455979,Belgium,Italy,Belgium,Belgium,Portugal,Belgium,Switzerland,Belgium,Vietnam,Italy,Portugal,Belgium
EPI_ISL_413021,Switzerland,Switzerland,Italy,Russia,Switzerland,Switzerland,Switzerland,Italy,Switzerland,Switzerland,UnitedKingdom,Oman
EPI_ISL_457992,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman
EPI_ISL_436413,India,Oman,Netherlands,Poland,Luxembourg,DemocraticRepublicoftheCongo,Austria,Oman,DemocraticRepublicoftheCongo,Italy,UnitedKingdom,Vietnam
EPI_ISL_458117,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman
EPI_ISL_412912,Italy,Oman,Italy,Chile,Chile,Switzerland,Chile,Germany,Germany,Switzerland,UnitedKingdom,Oman
EPI_ISL_445378,Chile,Oman,Italy,Chile,Chile,Switzerland,Switzerland,Chile,Chile,Switzerland,Portugal,Chile
EPI_ISL_457705,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Belgium,Chile,Oman,Oman,Oman
EPI_ISL_458122,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman
EPI_ISL_457981,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman
EPI_ISL_458120,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Italy,Oman,Oman,Oman,Oman
EPI_ISL_458121,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Austria,Oman,Oman,Oman,Oman
EPI_ISL_458119,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman
EPI_ISL_458118,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman
EPI_ISL_458116,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman
EPI_ISL_437268,Germany,Russia,Italy,Poland,Russia,Russia,Russia,Germany,Russia,Russia,Russia,Russia
EPI_ISL_428887,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia
EPI_ISL_428889,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia
EPI_ISL_445350,Chile,Argentina,Belgium,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile
EPI_ISL_421275,Russia,Argentina,Argentina,Russia,Russia,Argentina,Argentina,Argentina,Russia,Russia,Argentina,Russia
EPI_ISL_430809,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina
EPI_ISL_436686,SouthAfrica,Argentina,Argentina,Uruguay,Argentina,SouthAfrica,Argentina,Argentina,SouthAfrica,Russia,Russia,Russia
EPI_ISL_430808,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina
EPI_ISL_457963,Uruguay,Russia,Russia,Uruguay,Poland,Russia,Russia,Russia,Russia,Belgium,Argentina,Argentina
EPI_ISL_428910,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia
EPI_ISL_430812,Argentina,Argentina,Argentina,Australia,Argentina,Poland,Argentina,Argentina,Argentina,Argentina,Poland,Argentina
EPI_ISL_430811,UnitedKingdom,Argentina,Argentina,Austria,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Poland,Argentina
EPI_ISL_418389,Finland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Russia,Poland,Poland,DemocraticRepublicoftheCongo
EPI_ISL_445374,Chile,Poland,Poland,Chile,Chile,Poland,Chile,Chile,Chile,Chile,Chile,Chile
EPI_ISL_451647,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland
EPI_ISL_450746,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland
EPI_ISL_451654,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland
EPI_ISL_437939,Austria,Poland,Poland,Austria,Poland,Poland,Poland,Poland,Argentina,Argentina,Poland,DemocraticRepublicoftheCongo
EPI_ISL_420393,Belgium,Poland,Poland,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium
EPI_ISL_451649,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland
EPI_ISL_451650,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Belgium,Poland,Poland,Poland,Poland
EPI_ISL_431012,DemocraticRepublicoftheCongo,Belgium,Poland,Poland,Belgium,Argentina,Poland,Belgium,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,Poland,DemocraticRepublicoftheCongo
EPI_ISL_455961,Belgium,Belgium,Poland,Austria,Poland,Poland,Poland,Belgium,Belgium,Poland,Poland,Belgium
EPI_ISL_445375,Chile,Belgium,Poland,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile
EPI_ISL_462272,Belgium,Belgium,Belgium,Austria,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium
EPI_ISL_462273,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium
EPI_ISL_420849,DemocraticRepublicoftheCongo,Poland,Poland,Belgium,Poland,Belgium,Poland,Belgium,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,Belgium,DemocraticRepublicoftheCongo
EPI_ISL_451644,Poland,Poland,Poland,Austria,Poland,Poland,Poland,Belgium,DemocraticRepublicoftheCongo,Poland,Poland,Poland
EPI_ISL_451645,Poland,Poland,Poland,Poland,Poland,Poland,Belgium,Poland,Belgium,Belgium,Poland,Poland
EPI_ISL_451648,Poland,Poland,Poland,Austria,Poland,Poland,Poland,Poland,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,Poland,Poland
EPI_ISL_462274,Belgium,Belgium,Poland,Chile,Poland,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium
EPI_ISL_456754,UnitedKingdom,Belgium,Poland,Poland,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Poland
EPI_ISL_424535,Iceland,Switzerland,Belgium,Hungary,Belgium,Belgium,Switzerland,Italy,Brazil,Italy,Switzerland,Switzerland
EPI_ISL_450518,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia
EPI_ISL_450524,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia
EPI_ISL_423653,UnitedKingdom,Switzerland,UnitedKingdom,Morocco,DemocraticRepublicoftheCongo,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom
EPI_ISL_419689,Spain,Switzerland,UnitedKingdom,DemocraticRepublicoftheCongo,Germany,UnitedKingdom,Spain,Switzerland,Spain,UnitedKingdom,Russia,DemocraticRepublicoftheCongo
EPI_ISL_429679,Brazil,Switzerland,Bangladesh,Brazil,Brazil,Italy,BosniaandHerzegovina,Brazil,Brazil,Brazil,Brazil,Italy
EPI_ISL_418273,Switzerland,Switzerland,Bangladesh,Austria,Switzerland,Italy,Switzerland,Brazil,Brazil,Oman,Switzerland,Switzerland
EPI_ISL_445214,Bangladesh,Switzerland,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Switzerland,Bangladesh,Switzerland,UnitedKingdom,Bangladesh
EPI_ISL_429222,Switzerland,Switzerland,Turkey,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland
EPI_ISL_454229,Portugal,Portugal,Portugal,Netherlands,Romania,Russia,Netherlands,Germany,Netherlands,UnitedKingdom,Netherlands,Netherlands
EPI_ISL_445220,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania
EPI_ISL_455477,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania
EPI_ISL_414021,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Brazil,Switzerland,Switzerland,Switzerland
EPI_ISL_415455,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland
EPI_ISL_414022,Italy,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland
EPI_ISL_415456,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland
EPI_ISL_413024,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Italy,Switzerland,Switzerland,Switzerland,Switzerland
EPI_ISL_454733,Italy,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Italy,Switzerland,Italy,Switzerland,Switzerland
EPI_ISL_462271,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium
EPI_ISL_462270,Belgium,Belgium,Italy,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Italy,Belgium,Belgium
EPI_ISL_416744,Hungary,Hungary,Hungary,Hungary,Hungary,Belgium,Hungary,Hungary,Hungary,Hungary,Hungary,Hungary
EPI_ISL_435406,Hungary,Hungary,Hungary,Hungary,Hungary,Belgium,Hungary,Hungary,Hungary,Hungary,Hungary,Hungary
EPI_ISL_437333,Turkey,Turkey,Turkey,Turkey,Turkey,Romania,Turkey,Turkey,Switzerland,Turkey,Turkey,Turkey
EPI_ISL_435417,Hungary,Vietnam,Belgium,Hungary,UnitedKingdom,Belgium,Belgium,Jordan,Jordan,BosniaandHerzegovina,Belgium,Belgium
EPI_ISL_455703,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam
EPI_ISL_455705,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam
EPI_ISL_455708,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Switzerland,Vietnam,Vietnam,Japan,Vietnam,Vietnam,Vietnam
EPI_ISL_455718,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Switzerland,Vietnam,Vietnam,Vietnam,Switzerland,Vietnam
EPI_ISL_451691,Switzerland,Switzerland,Belgium,Hungary,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland
EPI_ISL_429223,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Russia,Switzerland,Switzerland
EPI_ISL_437308,Turkey,Turkey,Turkey,Switzerland,Switzerland,Switzerland,Switzerland,Bangladesh,Brazil,Russia,Switzerland,Switzerland
EPI_ISL_455473,Romania,Turkey,Turkey,Switzerland,Switzerland,Romania,Switzerland,Bangladesh,Sweden,Romania,Switzerland,Romania
EPI_ISL_420399,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Luxembourg,Latvia,Italy,Belgium,Belgium
EPI_ISL_458227,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Switzerland,Belgium,Belgium,Belgium,Belgium,Belgium
EPI_ISL_458217,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Switzerland,Belgium,Belgium,Belgium,Belgium,Belgium
EPI_ISL_451167,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Turkey,Belgium,Belgium,Belgium,Belgium,Belgium
EPI_ISL_455711,Vietnam,Romania,Belgium,Belgium,UnitedKingdom,Romania,Switzerland,Vietnam,Vietnam,UnitedKingdom,Belgium,Vietnam
EPI_ISL_455475,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania
EPI_ISL_455474,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania
EPI_ISL_460618,Turkey,Turkey,Turkey,Switzerland,Switzerland,Switzerland,Switzerland,Bangladesh,Sweden,Italy,Switzerland,Turkey
EPI_ISL_451884,Switzerland,Turkey,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland
EPI_ISL_421946,UnitedKingdom,Turkey,Switzerland,Switzerland,UnitedKingdom,Turkey,Switzerland,UnitedKingdom,Vietnam,UnitedKingdom,Switzerland,UnitedKingdom
EPI_ISL_460619,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey
EPI_ISL_460617,Turkey,Turkey,Turkey,Turkey,Turkey,Switzerland,Turkey,Turkey,Turkey,Portugal,Turkey,Turkey
EPI_ISL_466615,UnitedKingdom,UnitedKingdom,Italy,Austria,Brazil,Russia,Switzerland,Italy,UnitedKingdom,UnitedKingdom,UnitedKingdom,Russia
EPI_ISL_459966,Morocco,UnitedKingdom,UnitedKingdom,Poland,Brazil,Russia,UnitedKingdom,Switzerland,Morocco,Morocco,UnitedKingdom,Latvia
EPI_ISL_435313,Vietnam,UnitedKingdom,Italy,Japan,Vietnam,Vietnam,Switzerland,Switzerland,Brazil,Switzerland,Japan,Switzerland
EPI_ISL_424731,Mexico,UnitedKingdom,Italy,Russia,CzechRepublic,Russia,Chile,Oman,Brazil,UnitedKingdom,UnitedKingdom,UnitedKingdom
EPI_ISL_430818,Argentina,UnitedKingdom,Italy,Japan,Vietnam,Japan,Switzerland,Switzerland,Brazil,Switzerland,Japan,Switzerland
EPI_ISL_455326,Spain,UnitedKingdom,Russia,Luxembourg,Spain,Switzerland,Spain,Netherlands,Brazil,Italy,Italy,Switzerland
EPI_ISL_464214,UnitedKingdom,UnitedKingdom,Netherlands,Luxembourg,UnitedKingdom,Switzerland,Spain,Netherlands,Brazil,UnitedKingdom,Italy,Switzerland
EPI_ISL_420310,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway
EPI_ISL_420153,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway
EPI_ISL_413022,Italy,Italy,Jordan,Luxembourg,Switzerland,Switzerland,Switzerland,Switzerland,Brazil,Switzerland,Switzerland,Switzerland
EPI_ISL_460089,Italy,Italy,Italy,Italy,Italy,Switzerland,Italy,Italy,Italy,Italy,Italy,Italy
EPI_ISL_435154,Italy,Italy,Greece,Russia,Italy,UnitedKingdom,Italy,Italy,Switzerland,Italy,Italy,Italy
EPI_ISL_447796,Colombia,Italy,Japan,UnitedKingdom,Portugal,Portugal,Australia,Germany,Portugal,Italy,Vietnam,Portugal
EPI_ISL_416431,Vietnam,Italy,Vietnam,Poland,Vietnam,Switzerland,Austria,Vietnam,Vietnam,UnitedKingdom,Vietnam,Vietnam
EPI_ISL_420144,Georgia,Italy,Vietnam,Italy,DemocraticRepublicoftheCongo,Vietnam,Germany,Jordan,Greece,Portugal,Portugal,Switzerland
EPI_ISL_422437,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Poland,Italy,Switzerland
EPI_ISL_438052,Austria,Austria,Portugal,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria
EPI_ISL_419656,Italy,Austria,Italy,Austria,Austria,Austria,Switzerland,Austria,Austria,Austria,Austria,Austria
EPI_ISL_437995,Austria,Austria,Italy,Austria,Austria,Austria,Italy,Austria,Brazil,Austria,Austria,Austria
EPI_ISL_437993,Austria,Austria,Portugal,Austria,Austria,Austria,Switzerland,Austria,Austria,Austria,Austria,Austria
EPI_ISL_437994,Austria,Austria,Russia,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria
EPI_ISL_438003,Austria,Austria,Russia,Sweden,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria
EPI_ISL_438025,Austria,Austria,Netherlands,Vietnam,Austria,Austria,Austria,Austria,UnitedKingdom,Austria,Austria,Austria
EPI_ISL_438053,Austria,Austria,Russia,Poland,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria
EPI_ISL_458056,India,India,India,Japan,India,Japan,India,India,Morocco,Switzerland,India,India
EPI_ISL_454524,India,India,India,India,India,Japan,India,India,India,Switzerland,India,India
EPI_ISL_436731,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy
EPI_ISL_436725,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy
EPI_ISL_418397,Finland,Netherlands,Netherlands,Poland,Bangladesh,Portugal,Spain,Germany,Sweden,Italy,UnitedKingdom,Germany
EPI_ISL_460766,Netherlands,Netherlands,Italy,Netherlands,Netherlands,Netherlands,Netherlands,Germany,Netherlands,Netherlands,Netherlands,Netherlands
EPI_ISL_454783,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Bangladesh,Netherlands,Netherlands,Netherlands,Netherlands
EPI_ISL_455962,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium
EPI_ISL_455958,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium
EPI_ISL_455967,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium
EPI_ISL_425229,CzechRepublic,Austria,CzechRepublic,CzechRepublic,CzechRepublic,Italy,CzechRepublic,CzechRepublic,CzechRepublic,Italy,Italy,CzechRepublic
EPI_ISL_460080,Italy,Austria,Italy,Switzerland,Italy,Vietnam,Italy,Netherlands,Brazil,Italy,Italy,Italy
EPI_ISL_437932,Austria,Austria,Portugal,Austria,Italy,Austria,Austria,Italy,Austria,Austria,Italy,Russia
EPI_ISL_435310,Vietnam,Vietnam,Austria,Vietnam,Vietnam,Austria,Vietnam,Germany,Vietnam,Italy,Vietnam,Vietnam
EPI_ISL_452043,Denmark,CzechRepublic,Denmark,CzechRepublic,Italy,Belgium,Switzerland,Japan,Denmark,Luxembourg,Sweden,CzechRepublic
EPI_ISL_426894,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic
EPI_ISL_426897,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic
EPI_ISL_426896,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic
EPI_ISL_429169,Thailand,Vietnam,Portugal,Belgium,Jordan,Morocco,Spain,Germany,Japan,Sweden,Taiwan,Poland
EPI_ISL_435303,Vietnam,Vietnam,Russia,Vietnam,Vietnam,Vietnam,Vietnam,Italy,Vietnam,Vietnam,Vietnam,Vietnam
EPI_ISL_427301,Brazil,Vietnam,Italy,Austria,Brazil,Portugal,Switzerland,Germany,Brazil,Russia,Jordan,Poland
EPI_ISL_455697,Vietnam,Vietnam,Russia,Latvia,Vietnam,Vietnam,Vietnam,Singapore,Vietnam,Vietnam,UnitedKingdom,Russia
EPI_ISL_427308,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Japan,Russia,UnitedKingdom,Russia
EPI_ISL_428895,Russia,Russia,Russia,Russia,Brazil,Russia,Russia,Russia,Australia,Russia,UnitedKingdom,Russia
EPI_ISL_424485,Iceland,Iceland,Russia,UnitedArabEmirates,India,Switzerland,Switzerland,Germany,Iceland,Latvia,UnitedKingdom,Vietnam
EPI_ISL_447620,USA,Iceland,Italy,Russia,Taiwan,Russia,Switzerland,UnitedArabEmirates,Taiwan,Switzerland,UnitedKingdom,Russia
EPI_ISL_455699,Vietnam,Vietnam,Vietnam,Italy,Vietnam,CzechRepublic,Italy,Portugal,Sweden,Vietnam,Italy,Vietnam
EPI_ISL_419301,Egypt,Vietnam,Japan,Japan,Sweden,Sweden,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_430074,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia
EPI_ISL_454041,Portugal,Russia,Portugal,Portugal,Portugal,UnitedArabEmirates,Portugal,Portugal,Switzerland,Portugal,Japan,Portugal
EPI_ISL_426889,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic
EPI_ISL_462464,BosniaandHerzegovina,CzechRepublic,Russia,Russia,Japan,Russia,Luxembourg,BosniaandHerzegovina,Netherlands,BosniaandHerzegovina,UnitedKingdom,Russia
EPI_ISL_445317,Chile,CzechRepublic,Jordan,UnitedArabEmirates,Argentina,Chile,Germany,Chile,Chile,CzechRepublic,CzechRepublic,Vietnam
EPI_ISL_426360,CzechRepublic,CzechRepublic,CzechRepublic,Jordan,CzechRepublic,CzechRepublic,CzechRepublic,Japan,Poland,CzechRepublic,Poland,CzechRepublic
EPI_ISL_460604,Russia,Russia,Netherlands,Russia,Russia,Russia,UnitedKingdom,UnitedKingdom,Japan,UnitedKingdom,Portugal,Russia
EPI_ISL_463649,USA,USA,USA,Russia,USA,CzechRepublic,Italy,USA,Poland,Bangladesh,USA,USA
EPI_ISL_463648,USA,USA,USA,Poland,USA,Russia,USA,Oman,Japan,UnitedKingdom,UnitedKingdom,USA
EPI_ISL_462091,Bangladesh,Russia,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh
EPI_ISL_450250,Russia,Russia,Russia,Russia,Italy,Russia,Russia,Russia,Switzerland,Russia,Russia,Russia
EPI_ISL_450248,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Vietnam,Russia,Russia,Russia
