edges/dates,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
Greece->UnitedKingdom,0,0,1,0,0,0,0
UnitedKingdom->Luxembourg,0,0,1,0,0,0,0
Spain->Poland,0,0,1,0,0,0,0
Spain->Netherlands,0,0,1,0,0,0,0
Belgium->Uganda,0,0,1,0,0,0,0
Italy->Morocco,0,0,1,0,0,0,0
Morocco->Greece,0,0,1,0,0,0,0
Germany->Netherlands,0,0,1,0,0,0,0
UnitedArabEmirates->Germany,0,0,1,0,0,0,0
Spain->France,0,0,1,0,0,0,0
Italy->Denmark,0,0,1,0,0,0,0
Chile->Germany,0,0,1,0,0,0,0
Chile->India,0,0,1,0,0,0,0
Australia->Norway,0,0,1,0,0,0,0
Uganda->USA,0,0,1,0,0,0,0
France->UnitedKingdom,0,0,1,0,0,0,0
France->NewZealand,0,0,1,0,0,0,0
NewZealand->Greece,0,0,1,0,0,0,0
NewZealand->Switzerland,0,0,1,0,0,0,0
NewZealand->Israel,0,0,1,0,0,0,0
UnitedKingdom->DemocraticRepublicoftheCongo,0,0,1,0,0,0,0
Brazil->Romania,0,0,1,0,0,0,0
Brazil->NewZealand,0,0,1,0,0,0,0
Brazil->USA,0,0,1,0,0,0,0
Italy->Sweden,0,0,1,0,0,0,0
Netherlands->Denmark,0,0,1,0,0,0,0
Spain->Jordan,0,0,1,0,0,0,0
Poland->Australia,0,0,1,0,0,0,0
Spain->Brazil,0,0,1,0,0,0,0
Spain->Luxembourg,0,0,1,0,0,0,0
Norway->India,0,0,1,0,0,0,0
Norway->Latvia,0,0,1,0,0,0,0
Norway->Netherlands,0,0,1,0,0,0,0
Norway->DemocraticRepublicoftheCongo,0,0,1,0,0,0,0
Italy->France,0,0,1,0,0,0,0
CzechRepublic->France,0,0,1,0,0,0,0
Norway->Vietnam,0,0,1,0,0,0,0
Vietnam->Switzerland,0,0,1,0,0,0,0
Italy->Belgium,0,0,1,0,0,0,0
Spain->Hungary,0,0,1,0,0,0,0
India->Spain,0,0,1,0,0,0,0
Italy->Uganda,0,0,1,0,0,0,0
Malaysia->USA,0,0,1,0,0,0,0
UnitedArabEmirates->NewZealand,0,0,1,0,0,0,0
UnitedKingdom->Australia,0,0,1,0,0,0,0
UnitedKingdom->Oman,0,0,1,0,0,0,0
USA->Senegal,0,0,1,0,0,0,0
USA->Brazil,0,0,1,0,0,0,0
USA->Hungary,0,0,1,0,0,0,0
USA->Belgium,0,0,1,0,0,0,0
Germany->Luxembourg,0,0,1,0,0,0,0
Switzerland->Latvia,0,0,1,0,0,0,0
Iceland->China,0,0,1,0,0,0,0
UnitedKingdom->Italy,0,0,1,0,0,0,0
UnitedKingdom->Jordan,0,0,1,0,0,0,0
Russia->Bangladesh,0,0,1,0,0,0,0
HongKong->UnitedKingdom,0,0,1,0,0,0,0
Switzerland->India,0,0,1,0,0,0,0
Switzerland->Morocco,0,0,1,0,0,0,0
NewZealand->Spain,0,0,1,0,0,0,0
Hungary->Iceland,0,0,1,0,0,0,0
Morocco->UnitedArabEmirates,0,0,1,0,0,0,0
Morocco->Switzerland,0,0,1,0,0,0,0
Germany->Chile,0,0,1,0,0,0,0
Germany->Oman,0,0,1,0,0,0,0
